date,Charter,isPartial
2010-08-24,100,False
2010-08-25,100,False
2010-08-26,88,False
2010-08-27,85,False
2010-08-28,69,False
2010-08-29,72,False
2010-08-30,95,False
2010-08-31,90,False
2010-09-01,91,False
2010-09-02,88,False
2010-09-03,85,False
2010-09-04,69,False
2010-09-05,60,False
2010-09-06,63,False
2010-09-07,93,False
2010-09-08,88,False
2010-09-09,90,False
2010-09-10,86,False
2010-09-11,63,False
2010-09-12,66,False
2010-09-13,91,False
2010-09-14,90,False
2010-09-15,82,False
2010-09-16,84,False
2010-09-17,80,False
2010-09-18,60,False
2010-09-19,62,False
2010-09-20,97,False
2010-09-21,97,False
2010-09-22,92,False
2010-09-23,87,False
2010-09-24,82,False
2010-09-25,64,False
2010-09-26,64,False
2010-09-27,87,False
2010-09-28,86,False
2010-09-29,87,False
2010-09-30,89,False
2010-10-01,80,False
2010-10-02,64,False
2010-10-03,62,False
2010-10-04,88,False
2010-10-05,84,False
2010-10-06,82,False
2010-10-07,85,False
2010-10-08,82,False
2010-10-09,61,False
2010-10-10,62,False
2010-10-11,82,False
2010-10-12,84,False
2010-10-13,83,False
2010-10-14,83,False
2010-10-15,82,False
2010-10-16,59,False
2010-10-17,58,False
2010-10-18,84,False
2010-10-19,86,False
2010-10-20,82,False
2010-10-21,76,False
2010-10-22,73,False
2010-10-23,59,False
2010-10-24,60,False
2010-10-25,84,False
2010-10-26,83,False
2010-10-27,84,False
2010-10-28,77,False
2010-10-29,78,False
2010-10-30,59,False
2010-10-31,59,False
2010-11-01,86,False
2010-11-02,90,False
2010-11-03,83,False
2010-11-04,84,False
2010-11-05,76,False
2010-11-06,63,False
2010-11-07,58,False
2010-11-08,83,False
2010-11-09,82,False
2010-11-10,80,False
2010-11-11,75,False
2010-11-12,75,False
2010-11-13,66,False
2010-11-14,59,False
2010-11-15,83,False
2010-11-16,85,False
2010-11-17,79,False
2010-11-18,78,False
2010-11-19,83,False
2010-11-20,57,False
2010-11-21,51,False
2010-11-22,72,False
2010-11-23,79,False
2010-11-24,64,False
2010-11-25,47,False
2010-11-26,57,False
2010-11-27,56,False
2010-11-28,56,False
2010-11-29,73,False
2010-11-30,81,False
2010-12-01,82,False
2010-12-02,78,False
2010-12-03,78,False
2010-12-04,58,False
2010-12-05,55,False
2010-12-06,79,False
2010-12-07,81,False
2010-12-08,77,False
2010-12-09,78,False
2010-12-10,76,False
2010-12-11,58,False
2010-12-12,57,False
2010-12-13,78,False
2010-12-14,78,False
2010-12-15,74,False
2010-12-16,78,False
2010-12-17,71,False
2010-12-18,57,False
2010-12-19,57,False
2010-12-20,64,False
2010-12-21,65,False
2010-12-22,60,False
2010-12-23,56,False
2010-12-24,48,False
2010-12-25,46,False
2010-12-26,52,False
2010-12-27,65,False
2010-12-28,71,False
2010-12-29,73,False
2010-12-30,66,False
2010-12-31,69,False
2011-01-01,63,False
2011-01-02,76,False
2011-01-03,94,False
2011-01-04,88,False
2011-01-05,90,False
2011-01-06,90,False
2011-01-07,87,False
2011-01-08,68,False
2011-01-09,63,False
2011-01-10,92,False
2011-01-11,90,False
2011-01-12,91,False
2011-01-13,87,False
2011-01-14,84,False
2011-01-15,67,False
2011-01-16,63,False
2011-01-17,76,False
2011-01-18,94,False
2011-01-19,88,False
2011-01-20,89,False
2011-01-21,87,False
2011-01-22,66,False
2011-01-23,69,False
2011-01-24,90,False
2011-01-25,91,False
2011-01-26,92,False
2011-01-27,86,False
2011-01-28,86,False
2011-01-29,66,False
2011-01-30,64,False
2011-01-31,87,False
2011-02-01,94,False
2011-02-02,86,False
2011-02-03,86,False
2011-02-04,84,False
2011-02-05,67,False
2011-02-06,66,False
2011-02-07,81,False
2011-02-08,89,False
2011-02-09,83,False
2011-02-10,86,False
2011-02-11,84,False
2011-02-12,61,False
2011-02-13,61,False
2011-02-14,82,False
2011-02-15,86,False
2011-02-16,84,False
2011-02-17,88,False
2011-02-18,79,False
2011-02-19,65,False
2011-02-20,61,False
2011-02-21,77,False
2011-02-22,85,False
2011-02-23,90,False
2011-02-24,84,False
2011-02-25,83,False
2011-02-26,66,False
2011-02-27,61,False
2011-02-28,86,False
2011-03-01,90,False
2011-03-02,88,False
2011-03-03,90,False
2011-03-04,84,False
2011-03-05,69,False
2011-03-06,64,False
2011-03-07,88,False
2011-03-08,87,False
2011-03-09,89,False
2011-03-10,89,False
2011-03-11,77,False
2011-03-12,57,False
2011-03-13,56,False
2011-03-14,81,False
2011-03-15,83,False
2011-03-16,86,False
2011-03-17,83,False
2011-03-18,77,False
2011-03-19,64,False
2011-03-20,66,False
2011-03-21,89,False
2011-03-22,90,False
2011-03-23,87,False
2011-03-24,86,False
2011-03-25,81,False
2011-03-26,65,False
2011-03-27,65,False
2011-03-28,91,False
2011-03-29,90,False
2011-03-30,92,False
2011-03-31,89,False
2011-04-01,81,False
2011-04-02,68,False
2011-04-03,66,False
2011-04-04,92,False
2011-04-05,90,False
2011-04-06,88,False
2011-04-07,83,False
2011-04-08,79,False
2011-04-09,61,False
2011-04-10,63,False
2011-04-11,88,False
2011-04-12,84,False
2011-04-13,88,False
2011-04-14,85,False
2011-04-15,81,False
2011-04-16,67,False
2011-04-17,61,False
2011-04-18,87,False
2011-04-19,84,False
2011-04-20,83,False
2011-04-21,78,False
2011-04-22,75,False
2011-04-23,63,False
2011-04-24,58,False
2011-04-25,90,False
2011-04-26,83,False
2011-04-27,83,False
2011-04-28,82,False
2011-04-29,79,False
2011-04-30,61,False
2011-05-01,64,False
2011-05-02,85,False
2011-05-03,89,False
2011-05-04,85,False
2011-05-05,86,False
2011-05-06,80,False
2011-05-07,60,False
2011-05-08,57,False
2011-05-09,94,False
2011-05-10,89,False
2011-05-11,88,False
