date,Charter,isPartial
2011-05-11,87,False
2011-05-12,81,False
2011-05-13,74,False
2011-05-14,64,False
2011-05-15,66,False
2011-05-16,84,False
2011-05-17,88,False
2011-05-18,88,False
2011-05-19,83,False
2011-05-20,80,False
2011-05-21,61,False
2011-05-22,61,False
2011-05-23,81,False
2011-05-24,85,False
2011-05-25,84,False
2011-05-26,80,False
2011-05-27,80,False
2011-05-28,58,False
2011-05-29,57,False
2011-05-30,57,False
2011-05-31,93,False
2011-06-01,95,False
2011-06-02,93,False
2011-06-03,88,False
2011-06-04,68,False
2011-06-05,66,False
2011-06-06,87,False
2011-06-07,86,False
2011-06-08,90,False
2011-06-09,78,False
2011-06-10,83,False
2011-06-11,62,False
2011-06-12,65,False
2011-06-13,87,False
2011-06-14,87,False
2011-06-15,85,False
2011-06-16,82,False
2011-06-17,79,False
2011-06-18,67,False
2011-06-19,61,False
2011-06-20,88,False
2011-06-21,84,False
2011-06-22,85,False
2011-06-23,83,False
2011-06-24,75,False
2011-06-25,68,False
2011-06-26,60,False
2011-06-27,87,False
2011-06-28,85,False
2011-06-29,83,False
2011-06-30,79,False
2011-07-01,77,False
2011-07-02,57,False
2011-07-03,57,False
2011-07-04,55,False
2011-07-05,84,False
2011-07-06,85,False
2011-07-07,86,False
2011-07-08,79,False
2011-07-09,64,False
2011-07-10,65,False
2011-07-11,92,False
2011-07-12,88,False
2011-07-13,87,False
2011-07-14,84,False
2011-07-15,84,False
2011-07-16,62,False
2011-07-17,68,False
2011-07-18,82,False
2011-07-19,83,False
2011-07-20,85,False
2011-07-21,80,False
2011-07-22,81,False
2011-07-23,64,False
2011-07-24,65,False
2011-07-25,93,False
2011-07-26,90,False
2011-07-27,87,False
2011-07-28,86,False
2011-07-29,77,False
2011-07-30,63,False
2011-07-31,71,False
2011-08-01,92,False
2011-08-02,99,False
2011-08-03,91,False
2011-08-04,91,False
2011-08-05,80,False
2011-08-06,71,False
2011-08-07,65,False
2011-08-08,93,False
2011-08-09,96,False
2011-08-10,98,False
2011-08-11,90,False
2011-08-12,76,False
2011-08-13,69,False
2011-08-14,73,False
2011-08-15,99,False
2011-08-16,100,False
2011-08-17,97,False
2011-08-18,86,False
2011-08-19,85,False
2011-08-20,72,False
2011-08-21,70,False
2011-08-22,96,False
2011-08-23,96,False
2011-08-24,92,False
2011-08-25,87,False
2011-08-26,82,False
2011-08-27,69,False
2011-08-28,63,False
2011-08-29,89,False
2011-08-30,96,False
2011-08-31,87,False
2011-09-01,88,False
2011-09-02,82,False
2011-09-03,71,False
2011-09-04,60,False
2011-09-05,61,False
2011-09-06,90,False
2011-09-07,88,False
2011-09-08,95,False
2011-09-09,80,False
2011-09-10,61,False
2011-09-11,63,False
2011-09-12,88,False
2011-09-13,87,False
2011-09-14,87,False
2011-09-15,89,False
2011-09-16,75,False
2011-09-17,59,False
2011-09-18,65,False
2011-09-19,84,False
2011-09-20,85,False
2011-09-21,85,False
2011-09-22,78,False
2011-09-23,79,False
2011-09-24,59,False
2011-09-25,60,False
2011-09-26,80,False
2011-09-27,82,False
2011-09-28,78,False
2011-09-29,75,False
2011-09-30,78,False
2011-10-01,62,False
2011-10-02,64,False
2011-10-03,89,False
2011-10-04,76,False
2011-10-05,73,False
2011-10-06,78,False
2011-10-07,72,False
2011-10-08,57,False
2011-10-09,60,False
2011-10-10,79,False
2011-10-11,80,False
2011-10-12,85,False
2011-10-13,84,False
2011-10-14,75,False
2011-10-15,60,False
2011-10-16,53,False
2011-10-17,82,False
2011-10-18,78,False
2011-10-19,80,False
2011-10-20,76,False
2011-10-21,72,False
2011-10-22,52,False
2011-10-23,57,False
2011-10-24,76,False
2011-10-25,75,False
2011-10-26,74,False
2011-10-27,72,False
2011-10-28,77,False
2011-10-29,56,False
2011-10-30,59,False
2011-10-31,78,False
2011-11-01,80,False
2011-11-02,79,False
2011-11-03,75,False
2011-11-04,71,False
2011-11-05,62,False
