date,NVDA stock
2015-08-18,6
2015-08-19,6
2015-08-20,13
2015-08-21,40
2015-08-22,8
2015-08-23,15
2015-08-24,25
2015-08-25,19
2015-08-26,19
2015-08-27,13
2015-08-28,27
2015-08-29,0
2015-08-30,8
2015-08-31,12
2015-09-01,31
2015-09-02,31
2015-09-03,19
2015-09-04,33
2015-09-05,0
2015-09-06,0
2015-09-07,7
2015-09-08,19
2015-09-09,12
2015-09-10,31
2015-09-11,13
2015-09-12,0
2015-09-13,14
2015-09-14,25
2015-09-15,18
2015-09-16,25
2015-09-17,25
2015-09-18,13
2015-09-19,7
2015-09-20,21
2015-09-21,18
2015-09-22,25
2015-09-23,6
2015-09-24,6
2015-09-25,20
2015-09-26,15
2015-09-27,14
2015-09-28,43
2015-09-29,24
2015-09-30,31
2015-10-01,24
2015-10-02,26
2015-10-03,15
2015-10-04,14
2015-10-05,49
2015-10-06,12
2015-10-07,49
2015-10-08,24
2015-10-09,44
2015-10-10,14
2015-10-11,21
2015-10-12,6
2015-10-13,30
2015-10-14,49
2015-10-15,49
2015-10-16,38
2015-10-17,0
2015-10-18,14
2015-10-19,12
2015-10-20,36
2015-10-21,18
2015-10-22,24
2015-10-23,51
2015-10-24,14
2015-10-25,0
2015-10-26,18
2015-10-27,24
2015-10-28,54
2015-10-29,24
2015-10-30,32
2015-10-31,15
2015-11-01,14
2015-11-02,30
2015-11-03,6
2015-11-04,12
2015-11-05,48
2015-11-06,100
2015-11-07,36
2015-11-08,7
2015-11-09,47
2015-11-10,42
2015-11-11,12
2015-11-12,12
2015-11-13,13
2015-11-14,7
2015-11-15,14
2015-11-16,12
2015-11-17,42
2015-11-18,12
2015-11-19,30
2015-11-20,19
2015-11-21,21
2015-11-22,0
2015-11-23,24
2015-11-24,30
2015-11-25,42
2015-11-26,19
2015-11-27,13
2015-11-28,0
2015-11-29,7
2015-11-30,29
2015-12-01,30
2015-12-02,18
2015-12-03,25
2015-12-04,38
2015-12-05,21
2015-12-06,21
2015-12-07,55
2015-12-08,30
2015-12-09,30
2015-12-10,42
2015-12-11,44
2015-12-12,7
2015-12-13,14
2015-12-14,30
2015-12-15,31
2015-12-16,19
2015-12-17,0
2015-12-18,40
2015-12-19,8
2015-12-20,0
2015-12-21,13
2015-12-22,33
2015-12-23,35
2015-12-24,8
2015-12-25,8
2015-12-26,0
2015-12-27,7
2015-12-28,13
2015-12-29,40
2015-12-30,41
2015-12-31,52
2016-01-01,0
2016-01-02,0
2016-01-03,7
2016-01-04,33
2016-01-05,20
2016-01-06,53
2016-01-07,32
2016-01-08,47
2016-01-09,7
2016-01-10,7
2016-01-11,19
2016-01-12,44
2016-01-13,26
2016-01-14,38
2016-01-15,40
2016-01-16,0
2016-01-17,0
2016-01-18,6
2016-01-19,38
2016-01-20,44
2016-01-21,33
2016-01-22,40
2016-01-23,0
2016-01-24,7
2016-01-25,0
2016-01-26,32
2016-01-27,45
2016-01-28,19
2016-01-29,20
2016-01-30,0
2016-01-31,0
2016-02-01,19
2016-02-02,25
2016-02-03,19
2016-02-04,32
2016-02-05,13
2016-02-06,0
2016-02-07,0
2016-02-08,32
2016-02-09,19
2016-02-10,25
2016-02-11,13
2016-02-12,20
2016-02-13,0
2016-02-14,14
2016-02-15,19
2016-02-16,12
2016-02-17,44
2016-02-18,62
2016-02-19,33
2016-02-20,0
2016-02-21,7
2016-02-22,37
2016-02-23,6
2016-02-24,31
2016-02-25,51
2016-02-26,46
2016-02-27,7
2016-02-28,7
2016-02-29,43
2016-03-01,18
2016-03-02,37
2016-03-03,31
2016-03-04,58
2016-03-05,7
2016-03-06,0
2016-03-07,74
2016-03-08,19
2016-03-09,38
2016-03-10,6
2016-03-11,20
2016-03-12,14
2016-03-13,21
2016-03-14,31
2016-03-15,44
2016-03-16,38
2016-03-17,6
2016-03-18,47
2016-03-19,0
2016-03-20,21
2016-03-21,38
2016-03-22,13
2016-03-23,26
2016-03-24,40
2016-03-25,14
2016-03-26,15
2016-03-27,8
2016-03-28,53
2016-03-29,25
2016-03-30,63
2016-03-31,44
2016-04-01,13
2016-04-02,22
2016-04-03,22
2016-04-04,37
2016-04-05,51
2016-04-06,38
2016-04-07,44
2016-04-08,7
2016-04-09,7
2016-04-10,0
2016-04-11,38
2016-04-12,25
2016-04-13,51
2016-04-14,26
2016-04-15,13
2016-04-16,0
2016-04-17,0
2016-04-18,37
2016-04-19,38
2016-04-20,25
2016-04-21,19
2016-04-22,33
2016-04-23,7
2016-04-24,7
2016-04-25,31
2016-04-26,43
2016-04-27,32
2016-04-28,13
2016-04-29,27
2016-04-30,7
2016-05-01,7
2016-05-02,26
2016-05-03,13
2016-05-04,25
