date,NVDA stock
2017-01-19,14
2017-01-20,19
2017-01-21,5
2017-01-22,2
2017-01-23,9
2017-01-24,13
2017-01-25,20
2017-01-26,19
2017-01-27,19
2017-01-28,5
2017-01-29,2
2017-01-30,19
2017-01-31,12
2017-02-01,25
2017-02-02,20
2017-02-03,24
2017-02-04,4
2017-02-05,2
2017-02-06,14
2017-02-07,28
2017-02-08,31
2017-02-09,54
2017-02-10,64
2017-02-11,13
2017-02-12,5
2017-02-13,34
2017-02-14,26
2017-02-15,24
2017-02-16,21
2017-02-17,24
2017-02-18,4
2017-02-19,4
2017-02-20,11
2017-02-21,21
2017-02-22,28
2017-02-23,39
2017-02-24,39
2017-02-25,7
2017-02-26,5
2017-02-27,28
2017-02-28,28
2017-03-01,29
2017-03-02,27
2017-03-03,18
2017-03-04,7
2017-03-05,4
2017-03-06,25
2017-03-07,20
2017-03-08,24
2017-03-09,20
2017-03-10,19
2017-03-11,4
2017-03-12,2
2017-03-13,21
2017-03-14,21
2017-03-15,20
2017-03-16,23
2017-03-17,20
2017-03-18,4
2017-03-19,2
2017-03-20,32
2017-03-21,24
2017-03-22,23
2017-03-23,15
2017-03-24,20
2017-03-25,3
2017-03-26,2
2017-03-27,14
2017-03-28,18
2017-03-29,20
2017-03-30,13
2017-03-31,17
2017-04-01,2
2017-04-02,3
2017-04-03,12
2017-04-04,30
2017-04-05,26
2017-04-06,25
2017-04-07,19
2017-04-08,3
2017-04-09,2
2017-04-10,18
2017-04-11,22
2017-04-12,25
2017-04-13,20
2017-04-14,6
2017-04-15,3
2017-04-16,2
2017-04-17,19
2017-04-18,14
2017-04-19,22
2017-04-20,19
2017-04-21,11
2017-04-22,3
2017-04-23,2
2017-04-24,17
2017-04-25,13
2017-04-26,15
2017-04-27,21
2017-04-28,14
2017-04-29,3
2017-04-30,3
2017-05-01,18
2017-05-02,25
2017-05-03,15
2017-05-04,16
2017-05-05,14
2017-05-06,3
2017-05-07,2
2017-05-08,22
2017-05-09,55
2017-05-10,75
2017-05-11,69
2017-05-12,47
2017-05-13,9
2017-05-14,5
2017-05-15,37
2017-05-16,46
2017-05-17,46
2017-05-18,35
2017-05-19,40
2017-05-20,9
2017-05-21,4
2017-05-22,30
2017-05-23,26
2017-05-24,34
2017-05-25,25
2017-05-26,32
2017-05-27,9
2017-05-28,5
2017-05-29,8
2017-05-30,33
2017-05-31,28
2017-06-01,27
2017-06-02,34
2017-06-03,11
2017-06-04,3
2017-06-05,33
2017-06-06,39
2017-06-07,34
2017-06-08,58
2017-06-09,96
2017-06-10,19
2017-06-11,10
2017-06-12,58
2017-06-13,52
2017-06-14,53
2017-06-15,43
2017-06-16,46
2017-06-17,8
2017-06-18,7
2017-06-19,36
2017-06-20,46
2017-06-21,44
2017-06-22,32
2017-06-23,34
2017-06-24,10
2017-06-25,5
2017-06-26,28
2017-06-27,25
2017-06-28,34
2017-06-29,39
2017-06-30,34
2017-07-01,6
2017-07-02,2
2017-07-03,23
2017-07-04,11
2017-07-05,29
2017-07-06,37
2017-07-07,27
2017-07-08,8
2017-07-09,5
2017-07-10,32
2017-07-11,53
2017-07-12,48
2017-07-13,42
2017-07-14,38
2017-07-15,11
2017-07-16,4
2017-07-17,36
2017-07-18,43
2017-07-19,38
2017-07-20,36
2017-07-21,27
2017-07-22,2
2017-07-23,3
2017-07-24,36
2017-07-25,33
2017-07-26,42
2017-07-27,32
2017-07-28,36
2017-07-29,7
2017-07-30,3
2017-07-31,30
2017-08-01,33
2017-08-02,37
2017-08-03,27
2017-08-04,30
2017-08-05,6
2017-08-06,7
2017-08-07,36
2017-08-08,47
2017-08-09,41
2017-08-10,93
2017-08-11,100
2017-08-12,13
2017-08-13,7
2017-08-14,59
2017-08-15,59
2017-08-16,36
2017-08-17,34
2017-08-18,36
2017-08-19,8
2017-08-20,5
2017-08-21,30
2017-08-22,33
2017-08-23,38
2017-08-24,34
2017-08-25,25
2017-08-26,6
2017-08-27,4
2017-08-28,25
2017-08-29,27
2017-08-30,26
2017-08-31,24
2017-09-01,27
2017-09-02,4
2017-09-03,6
2017-09-04,6
2017-09-05,23
2017-09-06,21
2017-09-07,27
2017-09-08,25
2017-09-09,5
2017-09-10,2
2017-09-11,26
2017-09-12,24
2017-09-13,30
2017-09-14,27
2017-09-15,49
2017-09-16,16
2017-09-17,9
2017-09-18,56
2017-09-19,44
2017-09-20,40
2017-09-21,50
2017-09-22,44
2017-09-23,8
2017-09-24,4
2017-09-25,35
2017-09-26,46
2017-09-27,31
2017-09-28,31
2017-09-29,27
2017-09-30,4
2017-10-01,6
2017-10-02,29
2017-10-03,33
2017-10-04,31
2017-10-05,28
2017-10-06,26
