date,NVDA stock
2014-12-01,0
2014-12-02,24
2014-12-03,13
2014-12-04,13
2014-12-05,13
2014-12-06,15
2014-12-07,0
2014-12-08,13
2014-12-09,0
2014-12-10,0
2014-12-11,13
2014-12-12,13
2014-12-13,15
2014-12-14,0
2014-12-15,0
2014-12-16,38
2014-12-17,13
2014-12-18,13
2014-12-19,0
2014-12-20,0
2014-12-21,0
2014-12-22,13
2014-12-23,14
2014-12-24,0
2014-12-25,17
2014-12-26,30
2014-12-27,45
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,15
2015-01-01,0
2015-01-02,28
2015-01-03,0
2015-01-04,0
2015-01-05,37
2015-01-06,0
2015-01-07,25
2015-01-08,37
2015-01-09,13
2015-01-10,14
2015-01-11,0
2015-01-12,36
2015-01-13,12
2015-01-14,24
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,12
2015-01-20,36
2015-01-21,0
2015-01-22,12
2015-01-23,37
2015-01-24,14
2015-01-25,14
2015-01-26,0
2015-01-27,24
2015-01-28,24
2015-01-29,0
2015-01-30,12
2015-01-31,0
2015-02-01,0
2015-02-02,12
2015-02-03,35
2015-02-04,0
2015-02-05,12
2015-02-06,13
2015-02-07,0
2015-02-08,0
2015-02-09,24
2015-02-10,35
2015-02-11,0
2015-02-12,98
2015-02-13,63
2015-02-14,14
2015-02-15,28
2015-02-16,12
2015-02-17,86
2015-02-18,37
2015-02-19,36
2015-02-20,38
2015-02-21,42
2015-02-22,0
2015-02-23,12
2015-02-24,47
2015-02-25,12
2015-02-26,24
2015-02-27,12
2015-02-28,14
2015-03-01,13
2015-03-02,59
2015-03-03,23
2015-03-04,24
2015-03-05,0
2015-03-06,63
2015-03-07,0
2015-03-08,0
2015-03-09,24
2015-03-10,35
2015-03-11,23
2015-03-12,36
2015-03-13,12
2015-03-14,0
2015-03-15,0
2015-03-16,24
2015-03-17,0
2015-03-18,24
2015-03-19,24
2015-03-20,12
2015-03-21,0
2015-03-22,27
2015-03-23,58
2015-03-24,23
2015-03-25,35
2015-03-26,41
2015-03-27,0
2015-03-28,15
2015-03-29,14
2015-03-30,83
2015-03-31,59
2015-04-01,36
2015-04-02,13
2015-04-03,13
2015-04-04,0
2015-04-05,0
2015-04-06,25
2015-04-07,12
2015-04-08,0
2015-04-09,12
2015-04-10,38
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,35
2015-04-16,24
2015-04-17,25
2015-04-18,0
2015-04-19,14
2015-04-20,24
2015-04-21,24
2015-04-22,12
2015-04-23,24
2015-04-24,0
2015-04-25,14
2015-04-26,14
2015-04-27,23
2015-04-28,0
2015-04-29,24
2015-04-30,37
2015-05-01,13
2015-05-02,14
2015-05-03,14
2015-05-04,12
2015-05-05,47
2015-05-06,47
2015-05-07,12
2015-05-08,100
2015-05-09,29
2015-05-10,0
2015-05-11,36
2015-05-12,35
2015-05-13,24
2015-05-14,37
2015-05-15,37
2015-05-16,14
2015-05-17,14
2015-05-18,12
2015-05-19,35
2015-05-20,12
2015-05-21,12
2015-05-22,12
2015-05-23,0
2015-05-24,0
2015-05-25,12
2015-05-26,23
2015-05-27,0
2015-05-28,71
2015-05-29,12
2015-05-30,0
2015-05-31,14
2015-06-01,70
2015-06-02,35
2015-06-03,35
2015-06-04,61
2015-06-05,38
2015-06-06,29
2015-06-07,14
2015-06-08,47
2015-06-09,35
2015-06-10,12
2015-06-11,0
2015-06-12,12
2015-06-13,0
2015-06-14,14
2015-06-15,23
2015-06-16,47
2015-06-17,23
2015-06-18,0
2015-06-19,25
2015-06-20,28
2015-06-21,0
2015-06-22,12
2015-06-23,23
2015-06-24,72
2015-06-25,12
2015-06-26,75
2015-06-27,14
2015-06-28,0
2015-06-29,36
2015-06-30,48
2015-07-01,24
2015-07-02,12
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,24
2015-07-07,35
2015-07-08,0
2015-07-09,36
2015-07-10,74
2015-07-11,14
2015-07-12,0
2015-07-13,35
2015-07-14,24
2015-07-15,24
2015-07-16,24
2015-07-17,25
2015-07-18,0
2015-07-19,0
2015-07-20,25
2015-07-21,24
2015-07-22,24
2015-07-23,12
2015-07-24,37
2015-07-25,43
2015-07-26,0
2015-07-27,23
2015-07-28,0
2015-07-29,12
2015-07-30,12
2015-07-31,13
2015-08-01,57
2015-08-02,0
2015-08-03,24
2015-08-04,0
2015-08-05,24
2015-08-06,24
2015-08-07,50
2015-08-08,57
2015-08-09,57
2015-08-10,59
2015-08-11,47
2015-08-12,12
2015-08-13,24
2015-08-14,25
2015-08-15,0
2015-08-16,0
2015-08-17,35
2015-08-18,12
