date,NVDA stock
2016-09-11,0
2016-09-12,8
2016-09-13,13
2016-09-14,7
2016-09-15,8
2016-09-16,11
2016-09-17,5
2016-09-18,1
2016-09-19,8
2016-09-20,11
2016-09-21,13
2016-09-22,13
2016-09-23,8
2016-09-24,3
2016-09-25,1
2016-09-26,9
2016-09-27,9
2016-09-28,15
2016-09-29,13
2016-09-30,14
2016-10-01,4
2016-10-02,3
2016-10-03,15
2016-10-04,9
2016-10-05,10
2016-10-06,12
2016-10-07,11
2016-10-08,2
2016-10-09,2
2016-10-10,8
2016-10-11,10
2016-10-12,13
2016-10-13,11
2016-10-14,12
2016-10-15,3
2016-10-16,2
2016-10-17,8
2016-10-18,11
2016-10-19,9
2016-10-20,9
2016-10-21,7
2016-10-22,3
2016-10-23,2
2016-10-24,8
2016-10-25,17
2016-10-26,14
2016-10-27,15
2016-10-28,11
2016-10-29,3
2016-10-30,1
2016-10-31,10
2016-11-01,11
2016-11-02,12
2016-11-03,9
2016-11-04,12
2016-11-05,4
2016-11-06,2
2016-11-07,12
2016-11-08,12
2016-11-09,22
2016-11-10,39
2016-11-11,62
2016-11-12,21
2016-11-13,4
2016-11-14,25
2016-11-15,22
2016-11-16,35
2016-11-17,31
2016-11-18,31
2016-11-19,2
2016-11-20,3
2016-11-21,23
2016-11-22,20
2016-11-23,20
2016-11-24,4
2016-11-25,12
2016-11-26,6
2016-11-27,3
2016-11-28,13
2016-11-29,15
2016-11-30,19
2016-12-01,26
2016-12-02,26
2016-12-03,6
2016-12-04,4
2016-12-05,18
2016-12-06,22
2016-12-07,20
2016-12-08,24
2016-12-09,14
2016-12-10,6
2016-12-11,5
2016-12-12,24
2016-12-13,20
2016-12-14,30
2016-12-15,32
2016-12-16,27
2016-12-17,8
2016-12-18,5
2016-12-19,26
2016-12-20,29
2016-12-21,32
2016-12-22,29
2016-12-23,30
2016-12-24,13
2016-12-25,4
2016-12-26,12
2016-12-27,49
2016-12-28,56
2016-12-29,66
2016-12-30,54
2016-12-31,15
2017-01-01,8
2017-01-02,10
2017-01-03,34
2017-01-04,40
2017-01-05,53
2017-01-06,39
2017-01-07,9
2017-01-08,7
2017-01-09,30
2017-01-10,41
2017-01-11,21
2017-01-12,37
2017-01-13,23
2017-01-14,10
2017-01-15,5
2017-01-16,7
2017-01-17,21
2017-01-18,20
2017-01-19,23
2017-01-20,20
2017-01-21,11
2017-01-22,4
2017-01-23,17
2017-01-24,19
2017-01-25,30
2017-01-26,25
2017-01-27,27
2017-01-28,9
2017-01-29,6
2017-01-30,25
2017-01-31,21
2017-02-01,30
2017-02-02,27
2017-02-03,35
2017-02-04,7
2017-02-05,4
2017-02-06,24
2017-02-07,42
2017-02-08,45
2017-02-09,75
2017-02-10,81
2017-02-11,16
2017-02-12,4
2017-02-13,56
2017-02-14,38
2017-02-15,30
2017-02-16,37
2017-02-17,31
2017-02-18,9
2017-02-19,3
2017-02-20,10
2017-02-21,29
2017-02-22,34
2017-02-23,60
2017-02-24,65
2017-02-25,11
2017-02-26,7
2017-02-27,35
2017-02-28,47
2017-03-01,43
2017-03-02,33
2017-03-03,31
2017-03-04,10
2017-03-05,4
2017-03-06,35
2017-03-07,27
2017-03-08,31
2017-03-09,33
2017-03-10,34
2017-03-11,13
2017-03-12,6
2017-03-13,34
2017-03-14,29
2017-03-15,24
2017-03-16,34
2017-03-17,28
2017-03-18,6
2017-03-19,5
2017-03-20,45
2017-03-21,38
2017-03-22,39
2017-03-23,20
2017-03-24,26
2017-03-25,5
2017-03-26,2
2017-03-27,23
2017-03-28,25
2017-03-29,24
2017-03-30,23
2017-03-31,25
2017-04-01,3
2017-04-02,4
2017-04-03,23
2017-04-04,36
2017-04-05,45
2017-04-06,32
2017-04-07,33
2017-04-08,5
2017-04-09,2
2017-04-10,26
2017-04-11,31
2017-04-12,38
2017-04-13,28
2017-04-14,12
2017-04-15,1
2017-04-16,2
2017-04-17,27
2017-04-18,18
2017-04-19,24
2017-04-20,18
2017-04-21,19
2017-04-22,2
2017-04-23,0
2017-04-24,23
2017-04-25,23
2017-04-26,19
2017-04-27,24
2017-04-28,25
2017-04-29,5
2017-04-30,5
2017-05-01,30
2017-05-02,33
2017-05-03,20
2017-05-04,21
2017-05-05,21
2017-05-06,3
2017-05-07,5
2017-05-08,23
2017-05-09,72
2017-05-10,100
2017-05-11,82
2017-05-12,64
2017-05-13,12
2017-05-14,6
2017-05-15,56
2017-05-16,58
2017-05-17,64
2017-05-18,54
2017-05-19,54
2017-05-20,11
2017-05-21,6
2017-05-22,37
2017-05-23,36
2017-05-24,57
2017-05-25,41
2017-05-26,37
2017-05-27,15
2017-05-28,7
2017-05-29,7
