date,AMGN stock
2017-05-29,0
2017-05-30,31
2017-05-31,30
2017-06-01,40
2017-06-02,57
2017-06-03,0
2017-06-04,18
2017-06-05,0
2017-06-06,23
2017-06-07,38
2017-06-08,23
2017-06-09,24
2017-06-10,0
2017-06-11,0
2017-06-12,53
2017-06-13,15
2017-06-14,31
2017-06-15,16
2017-06-16,32
2017-06-17,0
2017-06-18,0
2017-06-19,15
2017-06-20,37
2017-06-21,82
2017-06-22,61
2017-06-23,31
2017-06-24,9
2017-06-25,9
2017-06-26,16
2017-06-27,24
2017-06-28,56
2017-06-29,48
2017-06-30,16
2017-07-01,9
2017-07-02,0
2017-07-03,40
2017-07-04,24
2017-07-05,40
2017-07-06,8
2017-07-07,25
2017-07-08,28
2017-07-09,9
2017-07-10,31
2017-07-11,15
2017-07-12,24
2017-07-13,32
2017-07-14,16
2017-07-15,9
2017-07-16,27
2017-07-17,47
2017-07-18,39
2017-07-19,23
2017-07-20,31
2017-07-21,49
2017-07-22,0
2017-07-23,0
2017-07-24,55
2017-07-25,31
2017-07-26,100
2017-07-27,8
2017-07-28,32
2017-07-29,0
2017-07-30,9
2017-07-31,47
2017-08-01,52
2017-08-02,22
2017-08-03,45
2017-08-04,8
2017-08-05,0
2017-08-06,9
2017-08-07,37
2017-08-08,36
2017-08-09,22
2017-08-10,54
2017-08-11,48
2017-08-12,0
2017-08-13,0
2017-08-14,23
2017-08-15,31
2017-08-16,31
2017-08-17,15
2017-08-18,24
2017-08-19,0
2017-08-20,0
2017-08-21,15
2017-08-22,15
2017-08-23,15
2017-08-24,47
2017-08-25,8
2017-08-26,18
2017-08-27,9
2017-08-28,38
2017-08-29,22
2017-08-30,23
2017-08-31,31
2017-09-01,57
2017-09-02,0
2017-09-03,0
2017-09-04,8
2017-09-05,30
2017-09-06,7
2017-09-07,15
2017-09-08,39
2017-09-09,9
2017-09-10,0
2017-09-11,37
2017-09-12,37
2017-09-13,22
2017-09-14,38
2017-09-15,23
2017-09-16,9
2017-09-17,8
2017-09-18,30
2017-09-19,52
2017-09-20,15
2017-09-21,15
2017-09-22,16
2017-09-23,0
2017-09-24,8
2017-09-25,22
2017-09-26,22
2017-09-27,37
2017-09-28,22
2017-09-29,8
2017-09-30,17
2017-10-01,0
2017-10-02,7
2017-10-03,22
2017-10-04,15
2017-10-05,22
2017-10-06,23
2017-10-07,17
2017-10-08,17
2017-10-09,7
2017-10-10,14
2017-10-11,22
2017-10-12,22
2017-10-13,31
2017-10-14,0
2017-10-15,17
2017-10-16,37
2017-10-17,22
2017-10-18,30
2017-10-19,15
2017-10-20,16
2017-10-21,8
2017-10-22,8
2017-10-23,51
2017-10-24,14
2017-10-25,81
2017-10-26,67
2017-10-27,38
2017-10-28,0
2017-10-29,8
2017-10-30,15
2017-10-31,66
2017-11-01,37
2017-11-02,7
2017-11-03,37
2017-11-04,16
2017-11-05,0
2017-11-06,57
2017-11-07,43
2017-11-08,36
2017-11-09,14
2017-11-10,22
2017-11-11,0
2017-11-12,0
2017-11-13,36
2017-11-14,36
2017-11-15,28
2017-11-16,29
2017-11-17,15
2017-11-18,0
2017-11-19,0
2017-11-20,14
2017-11-21,0
2017-11-22,22
2017-11-23,7
2017-11-24,15
2017-11-25,24
2017-11-26,0
2017-11-27,14
2017-11-28,14
2017-11-29,50
2017-11-30,22
2017-12-01,38
2017-12-02,8
2017-12-03,0
2017-12-04,42
2017-12-05,42
2017-12-06,21
2017-12-07,43
2017-12-08,23
2017-12-09,0
2017-12-10,0
2017-12-11,56
2017-12-12,35
2017-12-13,21
2017-12-14,51
2017-12-15,30
2017-12-16,0
2017-12-17,0
2017-12-18,7
2017-12-19,15
2017-12-20,30
2017-12-21,23
2017-12-22,32
2017-12-23,0
2017-12-24,0
2017-12-25,9
2017-12-26,24
2017-12-27,0
2017-12-28,8
2017-12-29,24
2017-12-30,0
2017-12-31,0
2018-01-01,9
2018-01-02,7
2018-01-03,36
2018-01-04,43
2018-01-05,29
2018-01-06,16
2018-01-07,0
2018-01-08,35
2018-01-09,21
2018-01-10,42
2018-01-11,21
2018-01-12,44
2018-01-13,16
2018-01-14,0
2018-01-15,14
2018-01-16,14
2018-01-17,34
2018-01-18,7
2018-01-19,29
2018-01-20,0
2018-01-21,8
2018-01-22,41
2018-01-23,55
2018-01-24,21
2018-01-25,21
2018-01-26,80
2018-01-27,8
2018-01-28,8
2018-01-29,41
2018-01-30,48
2018-01-31,35
2018-02-01,84
2018-02-02,87
2018-02-03,16
2018-02-04,16
2018-02-05,35
2018-02-06,97
2018-02-07,42
2018-02-08,35
2018-02-09,43
2018-02-10,16
2018-02-11,0
2018-02-12,49
2018-02-13,35
