date,AMGN stock
2015-04-10,42
2015-04-11,0
2015-04-12,0
2015-04-13,30
2015-04-14,39
2015-04-15,20
2015-04-16,20
2015-04-17,31
2015-04-18,12
2015-04-19,12
2015-04-20,20
2015-04-21,50
2015-04-22,39
2015-04-23,51
2015-04-24,63
2015-04-25,0
2015-04-26,12
2015-04-27,20
2015-04-28,19
2015-04-29,30
2015-04-30,20
2015-05-01,23
2015-05-02,0
2015-05-03,0
2015-05-04,60
2015-05-05,40
2015-05-06,0
2015-05-07,10
2015-05-08,31
2015-05-09,12
2015-05-10,12
2015-05-11,20
2015-05-12,20
2015-05-13,10
2015-05-14,51
2015-05-15,31
2015-05-16,12
2015-05-17,35
2015-05-18,30
2015-05-19,10
2015-05-20,0
2015-05-21,30
2015-05-22,31
2015-05-23,12
2015-05-24,0
2015-05-25,0
2015-05-26,10
2015-05-27,68
2015-05-28,10
2015-05-29,41
2015-05-30,0
2015-05-31,24
2015-06-01,10
2015-06-02,20
2015-06-03,10
2015-06-04,0
2015-06-05,21
2015-06-06,0
2015-06-07,0
2015-06-08,10
2015-06-09,39
2015-06-10,0
2015-06-11,0
2015-06-12,31
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,10
2015-06-17,40
2015-06-18,0
2015-06-19,11
2015-06-20,0
2015-06-21,0
2015-06-22,30
2015-06-23,20
2015-06-24,10
2015-06-25,20
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,30
2015-06-30,20
2015-07-01,20
2015-07-02,20
2015-07-03,11
2015-07-04,24
2015-07-05,0
2015-07-06,10
2015-07-07,20
2015-07-08,20
2015-07-09,0
2015-07-10,21
2015-07-11,0
2015-07-12,0
2015-07-13,30
2015-07-14,20
2015-07-15,40
2015-07-16,20
2015-07-17,11
2015-07-18,13
2015-07-19,0
2015-07-20,31
2015-07-21,30
2015-07-22,30
2015-07-23,30
2015-07-24,52
2015-07-25,24
2015-07-26,0
2015-07-27,39
2015-07-28,68
2015-07-29,49
2015-07-30,100
2015-07-31,84
2015-08-01,36
2015-08-02,0
2015-08-03,30
2015-08-04,30
2015-08-05,30
2015-08-06,20
2015-08-07,31
2015-08-08,24
2015-08-09,0
2015-08-10,20
2015-08-11,39
2015-08-12,40
2015-08-13,10
2015-08-14,10
2015-08-15,0
2015-08-16,0
2015-08-17,20
2015-08-18,49
2015-08-19,59
2015-08-20,39
2015-08-21,20
2015-08-22,12
2015-08-23,0
2015-08-24,29
2015-08-25,67
2015-08-26,29
2015-08-27,59
2015-08-28,41
2015-08-29,12
2015-08-30,0
2015-08-31,28
2015-09-01,38
2015-09-02,29
2015-09-03,19
2015-09-04,20
2015-09-05,0
2015-09-06,11
2015-09-07,0
2015-09-08,19
2015-09-09,38
2015-09-10,38
2015-09-11,50
2015-09-12,22
2015-09-13,0
2015-09-14,9
2015-09-15,9
2015-09-16,28
2015-09-17,28
2015-09-18,10
2015-09-19,0
2015-09-20,11
2015-09-21,28
2015-09-22,28
2015-09-23,9
2015-09-24,10
2015-09-25,70
2015-09-26,0
2015-09-27,22
2015-09-28,28
2015-09-29,9
2015-09-30,37
2015-10-01,28
2015-10-02,29
2015-10-03,0
2015-10-04,0
2015-10-05,9
2015-10-06,18
2015-10-07,9
2015-10-08,47
2015-10-09,10
2015-10-10,22
2015-10-11,0
2015-10-12,10
2015-10-13,18
2015-10-14,19
2015-10-15,19
2015-10-16,10
2015-10-17,0
2015-10-18,0
2015-10-19,9
2015-10-20,27
2015-10-21,27
2015-10-22,47
2015-10-23,29
2015-10-24,11
2015-10-25,0
2015-10-26,0
2015-10-27,73
2015-10-28,63
2015-10-29,55
2015-10-30,19
2015-10-31,0
2015-11-01,0
2015-11-02,37
2015-11-03,9
2015-11-04,46
2015-11-05,9
2015-11-06,29
2015-11-07,0
2015-11-08,0
2015-11-09,45
2015-11-10,9
2015-11-11,28
2015-11-12,47
2015-11-13,29
2015-11-14,21
2015-11-15,0
2015-11-16,37
2015-11-17,9
2015-11-18,46
2015-11-19,0
2015-11-20,10
2015-11-21,11
2015-11-22,11
2015-11-23,18
2015-11-24,9
2015-11-25,27
2015-11-26,19
2015-11-27,0
2015-11-28,0
2015-11-29,0
2015-11-30,27
2015-12-01,0
2015-12-02,18
2015-12-03,28
2015-12-04,38
2015-12-05,33
2015-12-06,0
2015-12-07,18
2015-12-08,9
2015-12-09,18
2015-12-10,37
2015-12-11,29
2015-12-12,22
2015-12-13,11
2015-12-14,36
2015-12-15,38
2015-12-16,38
2015-12-17,10
2015-12-18,10
2015-12-19,0
2015-12-20,0
2015-12-21,49
2015-12-22,0
2015-12-23,10
2015-12-24,0
2015-12-25,0
2015-12-26,0
