date,AMGN stock
2016-09-11,0
2016-09-12,11
2016-09-13,11
2016-09-14,11
2016-09-15,5
2016-09-16,6
2016-09-17,0
2016-09-18,6
2016-09-19,16
2016-09-20,5
2016-09-21,11
2016-09-22,5
2016-09-23,17
2016-09-24,0
2016-09-25,0
2016-09-26,5
2016-09-27,21
2016-09-28,16
2016-09-29,16
2016-09-30,17
2016-10-01,0
2016-10-02,0
2016-10-03,10
2016-10-04,5
2016-10-05,0
2016-10-06,11
2016-10-07,0
2016-10-08,0
2016-10-09,0
2016-10-10,0
2016-10-11,16
2016-10-12,0
2016-10-13,5
2016-10-14,11
2016-10-15,6
2016-10-16,0
2016-10-17,26
2016-10-18,10
2016-10-19,5
2016-10-20,16
2016-10-21,11
2016-10-22,0
2016-10-23,0
2016-10-24,11
2016-10-25,0
2016-10-26,26
2016-10-27,11
2016-10-28,100
2016-10-29,18
2016-10-30,12
2016-10-31,11
2016-11-01,11
2016-11-02,32
2016-11-03,16
2016-11-04,11
2016-11-05,6
2016-11-06,0
2016-11-07,5
2016-11-08,20
2016-11-09,76
2016-11-10,16
2016-11-11,5
2016-11-12,6
2016-11-13,0
2016-11-14,21
2016-11-15,5
2016-11-16,10
2016-11-17,36
2016-11-18,16
2016-11-19,6
2016-11-20,0
2016-11-21,10
2016-11-22,0
2016-11-23,15
2016-11-24,0
2016-11-25,11
2016-11-26,0
2016-11-27,6
2016-11-28,0
2016-11-29,5
2016-11-30,5
2016-12-01,5
2016-12-02,16
2016-12-03,17
2016-12-04,5
2016-12-05,14
2016-12-06,19
2016-12-07,5
2016-12-08,20
2016-12-09,10
2016-12-10,0
2016-12-11,0
2016-12-12,19
2016-12-13,20
2016-12-14,15
2016-12-15,20
2016-12-16,11
2016-12-17,0
2016-12-18,0
2016-12-19,31
2016-12-20,26
2016-12-21,16
2016-12-22,5
2016-12-23,6
2016-12-24,0
2016-12-25,0
2016-12-26,6
2016-12-27,16
2016-12-28,11
2016-12-29,16
2016-12-30,23
2016-12-31,0
2017-01-01,6
2017-01-02,5
2017-01-03,15
2017-01-04,31
2017-01-05,26
2017-01-06,37
2017-01-07,17
2017-01-08,6
2017-01-09,34
2017-01-10,20
2017-01-11,29
2017-01-12,20
2017-01-13,26
2017-01-14,6
2017-01-15,0
2017-01-16,0
2017-01-17,14
2017-01-18,19
2017-01-19,19
2017-01-20,25
2017-01-21,6
2017-01-22,0
2017-01-23,5
2017-01-24,5
2017-01-25,19
2017-01-26,29
2017-01-27,15
2017-01-28,0
2017-01-29,0
2017-01-30,10
2017-01-31,34
2017-02-01,24
2017-02-02,43
2017-02-03,45
2017-02-04,0
2017-02-05,11
2017-02-06,19
2017-02-07,14
2017-02-08,10
2017-02-09,15
2017-02-10,5
2017-02-11,0
2017-02-12,11
2017-02-13,9
2017-02-14,24
2017-02-15,19
2017-02-16,5
2017-02-17,5
2017-02-18,11
2017-02-19,0
2017-02-20,5
2017-02-21,5
2017-02-22,19
2017-02-23,19
2017-02-24,30
2017-02-25,0
2017-02-26,0
2017-02-27,23
2017-02-28,14
2017-03-01,18
2017-03-02,18
2017-03-03,10
2017-03-04,5
2017-03-05,0
2017-03-06,9
2017-03-07,27
2017-03-08,9
2017-03-09,19
2017-03-10,15
2017-03-11,0
2017-03-12,16
2017-03-13,13
2017-03-14,9
2017-03-15,10
2017-03-16,34
2017-03-17,80
2017-03-18,0
2017-03-19,5
2017-03-20,42
2017-03-21,24
2017-03-22,24
2017-03-23,29
2017-03-24,10
2017-03-25,6
2017-03-26,17
2017-03-27,10
2017-03-28,0
2017-03-29,29
2017-03-30,34
2017-03-31,20
2017-04-01,11
2017-04-02,5
2017-04-03,14
2017-04-04,10
2017-04-05,9
2017-04-06,10
2017-04-07,15
2017-04-08,0
2017-04-09,0
2017-04-10,5
2017-04-11,10
2017-04-12,15
2017-04-13,5
2017-04-14,0
2017-04-15,6
2017-04-16,0
2017-04-17,5
2017-04-18,5
2017-04-19,5
2017-04-20,10
2017-04-21,20
2017-04-22,0
2017-04-23,11
2017-04-24,24
2017-04-25,5
2017-04-26,28
2017-04-27,24
2017-04-28,15
2017-04-29,0
2017-04-30,0
2017-05-01,21
2017-05-02,14
2017-05-03,19
2017-05-04,14
2017-05-05,30
2017-05-06,6
2017-05-07,0
2017-05-08,10
2017-05-09,9
2017-05-10,29
2017-05-11,34
2017-05-12,15
2017-05-13,6
2017-05-14,0
2017-05-15,0
2017-05-16,10
2017-05-17,10
2017-05-18,15
2017-05-19,27
2017-05-20,0
2017-05-21,6
2017-05-22,26
2017-05-23,10
2017-05-24,10
2017-05-25,11
2017-05-26,6
2017-05-27,12
2017-05-28,0
2017-05-29,0
