date,inheritance
2014-12-01,62
2014-12-02,60
2014-12-03,78
2014-12-04,57
2014-12-05,56
2014-12-06,39
2014-12-07,47
2014-12-08,55
2014-12-09,64
2014-12-10,59
2014-12-11,60
2014-12-12,56
2014-12-13,43
2014-12-14,40
2014-12-15,53
2014-12-16,54
2014-12-17,51
2014-12-18,51
2014-12-19,45
2014-12-20,30
2014-12-21,34
2014-12-22,50
2014-12-23,46
2014-12-24,36
2014-12-25,31
2014-12-26,39
2014-12-27,39
2014-12-28,36
2014-12-29,41
2014-12-30,47
2014-12-31,37
2015-01-01,35
2015-01-02,35
2015-01-03,47
2015-01-04,47
2015-01-05,57
2015-01-06,53
2015-01-07,57
2015-01-08,57
2015-01-09,65
2015-01-10,42
2015-01-11,46
2015-01-12,51
2015-01-13,64
2015-01-14,60
2015-01-15,60
2015-01-16,52
2015-01-17,43
2015-01-18,62
2015-01-19,65
2015-01-20,68
2015-01-21,68
2015-01-22,62
2015-01-23,57
2015-01-24,46
2015-01-25,47
2015-01-26,70
2015-01-27,61
2015-01-28,70
2015-01-29,69
2015-01-30,64
2015-01-31,44
2015-02-01,51
2015-02-02,62
2015-02-03,63
2015-02-04,67
2015-02-05,73
2015-02-06,67
2015-02-07,40
2015-02-08,60
2015-02-09,67
2015-02-10,71
2015-02-11,66
2015-02-12,68
2015-02-13,59
2015-02-14,46
2015-02-15,44
2015-02-16,65
2015-02-17,65
2015-02-18,75
2015-02-19,64
2015-02-20,63
2015-02-21,48
2015-02-22,56
2015-02-23,60
2015-02-24,77
2015-02-25,69
2015-02-26,66
2015-02-27,67
2015-02-28,46
2015-03-01,56
2015-03-02,61
2015-03-03,67
2015-03-04,64
2015-03-05,64
2015-03-06,60
2015-03-07,39
2015-03-08,48
2015-03-09,72
2015-03-10,69
2015-03-11,68
2015-03-12,65
2015-03-13,59
2015-03-14,44
2015-03-15,63
2015-03-16,76
2015-03-17,77
2015-03-18,100
2015-03-19,77
2015-03-20,68
2015-03-21,46
2015-03-22,61
2015-03-23,64
2015-03-24,61
2015-03-25,67
2015-03-26,64
2015-03-27,58
2015-03-28,47
2015-03-29,50
2015-03-30,69
2015-03-31,59
2015-04-01,67
2015-04-02,61
2015-04-03,54
2015-04-04,42
2015-04-05,48
2015-04-06,59
2015-04-07,70
2015-04-08,63
2015-04-09,61
2015-04-10,58
2015-04-11,50
2015-04-12,89
2015-04-13,74
2015-04-14,78
2015-04-15,71
2015-04-16,69
2015-04-17,58
2015-04-18,43
2015-04-19,55
2015-04-20,69
2015-04-21,73
2015-04-22,62
2015-04-23,64
2015-04-24,56
2015-04-25,42
2015-04-26,50
2015-04-27,61
2015-04-28,63
2015-04-29,63
2015-04-30,58
2015-05-01,53
2015-05-02,43
2015-05-03,40
2015-05-04,55
2015-05-05,66
2015-05-06,68
2015-05-07,64
2015-05-08,60
2015-05-09,45
2015-05-10,50
2015-05-11,62
2015-05-12,63
2015-05-13,65
2015-05-14,62
2015-05-15,54
2015-05-16,40
2015-05-17,49
2015-05-18,54
2015-05-19,66
2015-05-20,61
2015-05-21,57
2015-05-22,53
2015-05-23,34
2015-05-24,43
2015-05-25,47
2015-05-26,52
2015-05-27,59
2015-05-28,53
2015-05-29,55
2015-05-30,38
2015-05-31,40
2015-06-01,57
2015-06-02,54
2015-06-03,56
2015-06-04,57
2015-06-05,47
2015-06-06,38
2015-06-07,44
2015-06-08,52
2015-06-09,55
2015-06-10,57
2015-06-11,50
2015-06-12,53
2015-06-13,36
2015-06-14,36
2015-06-15,47
2015-06-16,52
2015-06-17,57
2015-06-18,49
2015-06-19,45
2015-06-20,31
2015-06-21,41
2015-06-22,49
2015-06-23,54
2015-06-24,51
2015-06-25,55
2015-06-26,41
2015-06-27,35
2015-06-28,40
2015-06-29,52
2015-06-30,57
2015-07-01,46
2015-07-02,50
2015-07-03,44
2015-07-04,61
2015-07-05,55
2015-07-06,48
2015-07-07,57
2015-07-08,92
2015-07-09,72
2015-07-10,50
2015-07-11,38
2015-07-12,42
2015-07-13,55
2015-07-14,54
2015-07-15,54
2015-07-16,46
2015-07-17,50
2015-07-18,44
2015-07-19,44
2015-07-20,57
2015-07-21,51
2015-07-22,54
2015-07-23,51
2015-07-24,55
2015-07-25,41
2015-07-26,39
2015-07-27,58
2015-07-28,57
2015-07-29,57
2015-07-30,54
2015-07-31,51
2015-08-01,34
2015-08-02,40
2015-08-03,50
2015-08-04,49
2015-08-05,53
2015-08-06,50
2015-08-07,47
2015-08-08,36
2015-08-09,43
2015-08-10,46
2015-08-11,53
2015-08-12,51
2015-08-13,48
2015-08-14,40
2015-08-15,41
2015-08-16,36
2015-08-17,52
2015-08-18,54
