date,inheritance
2012-06-04,57
2012-06-05,63
2012-06-06,69
2012-06-07,59
2012-06-08,51
2012-06-09,41
2012-06-10,52
2012-06-11,62
2012-06-12,70
2012-06-13,59
2012-06-14,62
2012-06-15,59
2012-06-16,53
2012-06-17,53
2012-06-18,63
2012-06-19,72
2012-06-20,58
2012-06-21,65
2012-06-22,63
2012-06-23,51
2012-06-24,48
2012-06-25,57
2012-06-26,62
2012-06-27,62
2012-06-28,51
2012-06-29,67
2012-06-30,46
2012-07-01,46
2012-07-02,62
2012-07-03,58
2012-07-04,61
2012-07-05,61
2012-07-06,48
2012-07-07,47
2012-07-08,45
2012-07-09,66
2012-07-10,50
2012-07-11,64
2012-07-12,67
2012-07-13,55
2012-07-14,51
2012-07-15,57
2012-07-16,69
2012-07-17,69
2012-07-18,59
2012-07-19,74
2012-07-20,69
2012-07-21,46
2012-07-22,42
2012-07-23,65
2012-07-24,70
2012-07-25,70
2012-07-26,55
2012-07-27,52
2012-07-28,49
2012-07-29,44
2012-07-30,63
2012-07-31,73
2012-08-01,59
2012-08-02,59
2012-08-03,53
2012-08-04,42
2012-08-05,50
2012-08-06,63
2012-08-07,67
2012-08-08,63
2012-08-09,62
2012-08-10,52
2012-08-11,44
2012-08-12,43
2012-08-13,60
2012-08-14,67
2012-08-15,57
2012-08-16,63
2012-08-17,58
2012-08-18,61
2012-08-19,39
2012-08-20,57
2012-08-21,59
2012-08-22,68
2012-08-23,68
2012-08-24,64
2012-08-25,49
2012-08-26,57
2012-08-27,70
2012-08-28,59
2012-08-29,65
2012-08-30,67
2012-08-31,49
2012-09-01,49
2012-09-02,52
2012-09-03,67
2012-09-04,63
2012-09-05,82
2012-09-06,77
2012-09-07,62
2012-09-08,62
2012-09-09,55
2012-09-10,67
2012-09-11,63
2012-09-12,66
2012-09-13,63
2012-09-14,62
2012-09-15,54
2012-09-16,51
2012-09-17,66
2012-09-18,81
2012-09-19,73
2012-09-20,72
2012-09-21,66
2012-09-22,61
2012-09-23,60
2012-09-24,79
2012-09-25,68
2012-09-26,73
2012-09-27,73
2012-09-28,60
2012-09-29,44
2012-09-30,53
2012-10-01,70
2012-10-02,70
2012-10-03,62
2012-10-04,72
2012-10-05,90
2012-10-06,49
2012-10-07,58
2012-10-08,67
2012-10-09,75
2012-10-10,67
2012-10-11,81
2012-10-12,62
2012-10-13,43
2012-10-14,59
2012-10-15,73
2012-10-16,66
2012-10-17,76
2012-10-18,71
2012-10-19,64
2012-10-20,49
2012-10-21,57
2012-10-22,72
2012-10-23,66
2012-10-24,73
2012-10-25,70
2012-10-26,59
2012-10-27,51
2012-10-28,59
2012-10-29,68
2012-10-30,66
2012-10-31,64
2012-11-01,70
2012-11-02,71
2012-11-03,49
2012-11-04,52
2012-11-05,73
2012-11-06,78
2012-11-07,81
2012-11-08,72
2012-11-09,62
2012-11-10,47
2012-11-11,56
2012-11-12,75
2012-11-13,66
2012-11-14,74
2012-11-15,79
2012-11-16,71
2012-11-17,58
2012-11-18,69
2012-11-19,59
2012-11-20,66
2012-11-21,69
2012-11-22,62
2012-11-23,57
2012-11-24,49
2012-11-25,47
2012-11-26,77
2012-11-27,74
2012-11-28,72
2012-11-29,71
2012-11-30,67
2012-12-01,57
2012-12-02,64
2012-12-03,71
2012-12-04,75
2012-12-05,85
2012-12-06,82
2012-12-07,70
2012-12-08,60
2012-12-09,53
2012-12-10,67
2012-12-11,72
2012-12-12,73
2012-12-13,63
2012-12-14,61
2012-12-15,44
2012-12-16,51
2012-12-17,66
2012-12-18,73
2012-12-19,60
2012-12-20,55
2012-12-21,60
2012-12-22,42
2012-12-23,49
2012-12-24,39
2012-12-25,37
2012-12-26,48
2012-12-27,55
2012-12-28,55
2012-12-29,50
2012-12-30,48
2012-12-31,50
2013-01-01,68
2013-01-02,78
2013-01-03,69
2013-01-04,65
2013-01-05,56
2013-01-06,55
2013-01-07,71
2013-01-08,62
2013-01-09,71
2013-01-10,71
2013-01-11,71
2013-01-12,50
2013-01-13,78
2013-01-14,75
2013-01-15,69
2013-01-16,71
2013-01-17,79
2013-01-18,73
2013-01-19,54
2013-01-20,69
2013-01-21,74
2013-01-22,80
2013-01-23,79
2013-01-24,83
2013-01-25,77
2013-01-26,66
2013-01-27,75
2013-01-28,71
2013-01-29,82
2013-01-30,71
2013-01-31,74
2013-02-01,75
2013-02-02,57
2013-02-03,84
2013-02-04,82
2013-02-05,79
2013-02-06,86
2013-02-07,78
2013-02-08,71
2013-02-09,67
2013-02-10,90
2013-02-11,100
2013-02-12,86
2013-02-13,75
2013-02-14,77
2013-02-15,72
2013-02-16,54
2013-02-17,61
2013-02-18,80
2013-02-19,72
