date,inheritance,isPartial
2014-03-16,58,False
2014-03-17,80,False
2014-03-18,92,False
2014-03-19,100,False
2014-03-20,89,False
2014-03-21,80,False
2014-03-22,63,False
2014-03-23,69,False
2014-03-24,91,False
2014-03-25,90,False
2014-03-26,83,False
2014-03-27,79,False
2014-03-28,74,False
2014-03-29,56,False
2014-03-30,64,False
2014-03-31,88,False
2014-04-01,81,False
2014-04-02,95,False
2014-04-03,86,False
2014-04-04,71,False
2014-04-05,57,False
2014-04-06,60,False
2014-04-07,84,False
2014-04-08,79,False
2014-04-09,82,False
2014-04-10,83,False
2014-04-11,71,False
2014-04-12,58,False
2014-04-13,64,False
2014-04-14,76,False
2014-04-15,81,False
2014-04-16,75,False
2014-04-17,78,False
2014-04-18,66,False
2014-04-19,54,False
2014-04-20,64,False
2014-04-21,76,False
2014-04-22,78,False
2014-04-23,83,False
2014-04-24,77,False
2014-04-25,72,False
2014-04-26,56,False
2014-04-27,65,False
2014-04-28,78,False
2014-04-29,77,False
2014-04-30,74,False
2014-05-01,77,False
2014-05-02,70,False
2014-05-03,54,False
2014-05-04,68,False
2014-05-05,80,False
2014-05-06,77,False
2014-05-07,78,False
2014-05-08,80,False
2014-05-09,70,False
2014-05-10,59,False
2014-05-11,70,False
2014-05-12,82,False
2014-05-13,74,False
2014-05-14,76,False
2014-05-15,72,False
2014-05-16,64,False
2014-05-17,54,False
2014-05-18,64,False
2014-05-19,71,False
2014-05-20,75,False
2014-05-21,77,False
2014-05-22,69,False
2014-05-23,62,False
2014-05-24,52,False
2014-05-25,59,False
2014-05-26,62,False
2014-05-27,72,False
2014-05-28,70,False
2014-05-29,71,False
2014-05-30,62,False
2014-05-31,50,False
2014-06-01,52,False
2014-06-02,68,False
2014-06-03,74,False
2014-06-04,63,False
2014-06-05,65,False
2014-06-06,58,False
2014-06-07,50,False
2014-06-08,57,False
2014-06-09,77,False
2014-06-10,68,False
2014-06-11,67,False
2014-06-12,61,False
2014-06-13,58,False
2014-06-14,48,False
2014-06-15,58,False
2014-06-16,60,False
2014-06-17,69,False
2014-06-18,64,False
2014-06-19,72,False
2014-06-20,60,False
2014-06-21,55,False
2014-06-22,58,False
2014-06-23,66,False
2014-06-24,74,False
2014-06-25,67,False
2014-06-26,64,False
2014-06-27,57,False
2014-06-28,46,False
2014-06-29,50,False
2014-06-30,65,False
2014-07-01,67,False
2014-07-02,66,False
2014-07-03,63,False
2014-07-04,51,False
2014-07-05,46,False
2014-07-06,54,False
2014-07-07,71,False
2014-07-08,73,False
2014-07-09,67,False
2014-07-10,65,False
2014-07-11,63,False
2014-07-12,52,False
2014-07-13,56,False
2014-07-14,67,False
2014-07-15,67,False
2014-07-16,64,False
2014-07-17,67,False
2014-07-18,66,False
2014-07-19,52,False
2014-07-20,49,False
2014-07-21,65,False
2014-07-22,66,False
2014-07-23,66,False
2014-07-24,60,False
2014-07-25,60,False
2014-07-26,53,False
2014-07-27,49,False
2014-07-28,65,False
2014-07-29,63,False
2014-07-30,62,False
2014-07-31,64,False
2014-08-01,56,False
2014-08-02,51,False
2014-08-03,55,False
2014-08-04,68,False
2014-08-05,70,False
2014-08-06,70,False
2014-08-07,68,False
2014-08-08,56,False
2014-08-09,46,False
2014-08-10,51,False
2014-08-11,83,False
2014-08-12,71,False
2014-08-13,74,False
2014-08-14,65,False
2014-08-15,61,False
2014-08-16,51,False
2014-08-17,51,False
2014-08-18,72,False
2014-08-19,62,False
2014-08-20,68,False
2014-08-21,66,False
2014-08-22,67,False
2014-08-23,48,False
2014-08-24,56,False
2014-08-25,75,False
2014-08-26,68,False
2014-08-27,68,False
2014-08-28,67,False
2014-08-29,61,False
2014-08-30,48,False
2014-08-31,49,False
2014-09-01,63,False
2014-09-02,64,False
2014-09-03,71,False
2014-09-04,65,False
2014-09-05,67,False
2014-09-06,51,False
2014-09-07,54,False
2014-09-08,66,False
2014-09-09,68,False
2014-09-10,70,False
2014-09-11,65,False
2014-09-12,73,False
2014-09-13,51,False
2014-09-14,56,False
2014-09-15,79,False
2014-09-16,68,False
2014-09-17,74,False
2014-09-18,72,False
2014-09-19,63,False
2014-09-20,52,False
2014-09-21,55,False
2014-09-22,79,False
2014-09-23,73,False
2014-09-24,73,False
2014-09-25,70,False
2014-09-26,65,False
2014-09-27,56,False
2014-09-28,54,False
2014-09-29,76,False
2014-09-30,71,False
2014-10-01,74,False
2014-10-02,71,False
2014-10-03,63,False
2014-10-04,46,False
2014-10-05,56,False
2014-10-06,73,False
2014-10-07,68,False
2014-10-08,75,False
2014-10-09,76,False
2014-10-10,67,False
2014-10-11,52,False
2014-10-12,61,False
2014-10-13,72,False
2014-10-14,74,False
2014-10-15,80,False
2014-10-16,67,False
2014-10-17,68,False
2014-10-18,52,False
2014-10-19,59,False
2014-10-20,76,False
2014-10-21,75,False
2014-10-22,75,False
2014-10-23,65,False
2014-10-24,65,False
2014-10-25,57,False
2014-10-26,66,False
2014-10-27,76,False
2014-10-28,78,False
2014-10-29,74,False
2014-10-30,74,False
2014-10-31,65,False
2014-11-01,57,False
2014-11-02,54,False
2014-11-03,81,False
2014-11-04,74,False
2014-11-05,81,False
2014-11-06,83,False
2014-11-07,74,False
2014-11-08,52,False
2014-11-09,58,False
2014-11-10,79,False
2014-11-11,76,False
2014-11-12,82,False
2014-11-13,87,False
2014-11-14,74,False
2014-11-15,60,False
2014-11-16,59,False
2014-11-17,78,False
2014-11-18,77,False
2014-11-19,80,False
2014-11-20,80,False
2014-11-21,74,False
2014-11-22,49,False
2014-11-23,64,False
2014-11-24,76,False
2014-11-25,71,False
2014-11-26,72,False
2014-11-27,57,False
2014-11-28,50,False
2014-11-29,46,False
2014-11-30,58,False
2014-12-01,71,False
