date,inheritance,isPartial
2010-08-24,61,False
2010-08-25,65,False
2010-08-26,55,False
2010-08-27,50,False
2010-08-28,53,False
2010-08-29,59,False
2010-08-30,55,False
2010-08-31,57,False
2010-09-01,57,False
2010-09-02,60,False
2010-09-03,55,False
2010-09-04,53,False
2010-09-05,40,False
2010-09-06,49,False
2010-09-07,63,False
2010-09-08,63,False
2010-09-09,66,False
2010-09-10,49,False
2010-09-11,38,False
2010-09-12,59,False
2010-09-13,64,False
2010-09-14,70,False
2010-09-15,62,False
2010-09-16,60,False
2010-09-17,63,False
2010-09-18,48,False
2010-09-19,55,False
2010-09-20,75,False
2010-09-21,73,False
2010-09-22,66,False
2010-09-23,77,False
2010-09-24,66,False
2010-09-25,51,False
2010-09-26,58,False
2010-09-27,64,False
2010-09-28,69,False
2010-09-29,62,False
2010-09-30,63,False
2010-10-01,50,False
2010-10-02,63,False
2010-10-03,60,False
2010-10-04,69,False
2010-10-05,77,False
2010-10-06,69,False
2010-10-07,72,False
2010-10-08,72,False
2010-10-09,59,False
2010-10-10,67,False
2010-10-11,66,False
2010-10-12,74,False
2010-10-13,76,False
2010-10-14,70,False
2010-10-15,63,False
2010-10-16,47,False
2010-10-17,64,False
2010-10-18,65,False
2010-10-19,61,False
2010-10-20,77,False
2010-10-21,61,False
2010-10-22,63,False
2010-10-23,57,False
2010-10-24,52,False
2010-10-25,64,False
2010-10-26,70,False
2010-10-27,78,False
2010-10-28,67,False
2010-10-29,59,False
2010-10-30,50,False
2010-10-31,51,False
2010-11-01,73,False
2010-11-02,80,False
2010-11-03,69,False
2010-11-04,65,False
2010-11-05,67,False
2010-11-06,50,False
2010-11-07,52,False
2010-11-08,67,False
2010-11-09,74,False
2010-11-10,75,False
2010-11-11,68,False
2010-11-12,66,False
2010-11-13,48,False
2010-11-14,60,False
2010-11-15,66,False
2010-11-16,68,False
2010-11-17,70,False
2010-11-18,62,False
2010-11-19,68,False
2010-11-20,63,False
2010-11-21,49,False
2010-11-22,65,False
2010-11-23,61,False
2010-11-24,52,False
2010-11-25,60,False
2010-11-26,57,False
2010-11-27,50,False
2010-11-28,53,False
2010-11-29,62,False
2010-11-30,74,False
2010-12-01,68,False
2010-12-02,58,False
2010-12-03,64,False
2010-12-04,50,False
2010-12-05,44,False
2010-12-06,80,False
2010-12-07,74,False
2010-12-08,81,False
2010-12-09,74,False
2010-12-10,70,False
2010-12-11,58,False
2010-12-12,44,False
2010-12-13,72,False
2010-12-14,65,False
2010-12-15,60,False
2010-12-16,70,False
2010-12-17,68,False
2010-12-18,47,False
2010-12-19,57,False
2010-12-20,61,False
2010-12-21,59,False
2010-12-22,59,False
2010-12-23,51,False
2010-12-24,40,False
2010-12-25,41,False
2010-12-26,41,False
2010-12-27,45,False
2010-12-28,57,False
2010-12-29,42,False
2010-12-30,69,False
2010-12-31,45,False
2011-01-01,49,False
2011-01-02,48,False
2011-01-03,61,False
2011-01-04,69,False
2011-01-05,60,False
2011-01-06,64,False
2011-01-07,64,False
2011-01-08,47,False
2011-01-09,56,False
2011-01-10,63,False
2011-01-11,62,False
2011-01-12,74,False
2011-01-13,63,False
2011-01-14,68,False
2011-01-15,53,False
2011-01-16,42,False
2011-01-17,69,False
2011-01-18,60,False
2011-01-19,64,False
2011-01-20,69,False
2011-01-21,67,False
2011-01-22,51,False
2011-01-23,60,False
2011-01-24,62,False
2011-01-25,79,False
2011-01-26,70,False
2011-01-27,63,False
2011-01-28,72,False
2011-01-29,51,False
2011-01-30,63,False
2011-01-31,77,False
2011-02-01,70,False
2011-02-02,64,False
2011-02-03,63,False
2011-02-04,69,False
2011-02-05,56,False
2011-02-06,64,False
2011-02-07,67,False
2011-02-08,76,False
2011-02-09,70,False
2011-02-10,77,False
2011-02-11,60,False
2011-02-12,60,False
2011-02-13,48,False
2011-02-14,68,False
2011-02-15,79,False
2011-02-16,66,False
2011-02-17,71,False
2011-02-18,66,False
2011-02-19,49,False
2011-02-20,57,False
2011-02-21,66,False
2011-02-22,73,False
2011-02-23,73,False
2011-02-24,65,False
2011-02-25,58,False
2011-02-26,57,False
2011-02-27,62,False
2011-02-28,72,False
2011-03-01,65,False
2011-03-02,71,False
2011-03-03,63,False
2011-03-04,73,False
2011-03-05,48,False
2011-03-06,59,False
2011-03-07,69,False
2011-03-08,60,False
2011-03-09,73,False
2011-03-10,54,False
2011-03-11,57,False
2011-03-12,51,False
2011-03-13,49,False
2011-03-14,67,False
2011-03-15,57,False
2011-03-16,63,False
2011-03-17,64,False
2011-03-18,51,False
2011-03-19,50,False
2011-03-20,56,False
2011-03-21,66,False
2011-03-22,69,False
2011-03-23,80,False
2011-03-24,88,False
2011-03-25,87,False
2011-03-26,70,False
2011-03-27,68,False
2011-03-28,77,False
2011-03-29,71,False
2011-03-30,72,False
2011-03-31,73,False
2011-04-01,63,False
2011-04-02,51,False
2011-04-03,63,False
2011-04-04,63,False
2011-04-05,78,False
2011-04-06,73,False
2011-04-07,73,False
2011-04-08,64,False
2011-04-09,57,False
2011-04-10,55,False
2011-04-11,73,False
2011-04-12,72,False
2011-04-13,91,False
2011-04-14,100,False
2011-04-15,94,False
2011-04-16,86,False
2011-04-17,99,False
2011-04-18,89,False
2011-04-19,83,False
2011-04-20,81,False
2011-04-21,78,False
2011-04-22,60,False
2011-04-23,57,False
2011-04-24,66,False
2011-04-25,78,False
2011-04-26,69,False
2011-04-27,66,False
2011-04-28,79,False
2011-04-29,75,False
2011-04-30,65,False
2011-05-01,69,False
2011-05-02,63,False
2011-05-03,67,False
2011-05-04,72,False
2011-05-05,77,False
2011-05-06,75,False
2011-05-07,56,False
2011-05-08,51,False
2011-05-09,66,False
2011-05-10,71,False
2011-05-11,78,False
