date,Amgen,isPartial
2016-09-11,9,False
2016-09-12,27,False
2016-09-13,25,False
2016-09-14,23,False
2016-09-15,32,False
2016-09-16,21,False
2016-09-17,10,False
2016-09-18,11,False
2016-09-19,24,False
2016-09-20,28,False
2016-09-21,25,False
2016-09-22,33,False
2016-09-23,25,False
2016-09-24,13,False
2016-09-25,12,False
2016-09-26,30,False
2016-09-27,33,False
2016-09-28,29,False
2016-09-29,25,False
2016-09-30,26,False
2016-10-01,9,False
2016-10-02,12,False
2016-10-03,26,False
2016-10-04,31,False
2016-10-05,36,False
2016-10-06,22,False
2016-10-07,22,False
2016-10-08,9,False
2016-10-09,8,False
2016-10-10,22,False
2016-10-11,27,False
2016-10-12,27,False
2016-10-13,31,False
2016-10-14,24,False
2016-10-15,11,False
2016-10-16,11,False
2016-10-17,29,False
2016-10-18,25,False
2016-10-19,27,False
2016-10-20,22,False
2016-10-21,25,False
2016-10-22,8,False
2016-10-23,8,False
2016-10-24,29,False
2016-10-25,35,False
2016-10-26,31,False
2016-10-27,33,False
2016-10-28,51,False
2016-10-29,15,False
2016-10-30,14,False
2016-10-31,30,False
2016-11-01,28,False
2016-11-02,31,False
2016-11-03,34,False
2016-11-04,31,False
2016-11-05,13,False
2016-11-06,12,False
2016-11-07,31,False
2016-11-08,25,False
2016-11-09,35,False
2016-11-10,37,False
2016-11-11,33,False
2016-11-12,11,False
2016-11-13,15,False
2016-11-14,31,False
2016-11-15,30,False
2016-11-16,37,False
2016-11-17,30,False
2016-11-18,31,False
2016-11-19,11,False
2016-11-20,11,False
2016-11-21,22,False
2016-11-22,28,False
2016-11-23,27,False
2016-11-24,16,False
2016-11-25,13,False
2016-11-26,11,False
2016-11-27,11,False
2016-11-28,22,False
2016-11-29,31,False
2016-11-30,28,False
2016-12-01,28,False
2016-12-02,26,False
2016-12-03,13,False
2016-12-04,12,False
2016-12-05,23,False
2016-12-06,26,False
2016-12-07,30,False
2016-12-08,34,False
2016-12-09,29,False
2016-12-10,10,False
