date,Amgen,isPartial
2018-02-13,36,False
2018-02-14,23,False
2018-02-15,29,False
2018-02-16,22,False
2018-02-17,11,False
2018-02-18,10,False
2018-02-19,22,False
2018-02-20,23,False
2018-02-21,25,False
2018-02-22,23,False
2018-02-23,25,False
2018-02-24,15,False
2018-02-25,13,False
2018-02-26,24,False
2018-02-27,26,False
2018-02-28,28,False
2018-03-01,25,False
2018-03-02,23,False
2018-03-03,12,False
2018-03-04,9,False
2018-03-05,26,False
2018-03-06,22,False
2018-03-07,26,False
2018-03-08,24,False
2018-03-09,24,False
2018-03-10,11,False
2018-03-11,9,False
2018-03-12,28,False
2018-03-13,24,False
2018-03-14,24,False
2018-03-15,20,False
2018-03-16,20,False
2018-03-17,7,False
2018-03-18,9,False
2018-03-19,22,False
2018-03-20,26,False
2018-03-21,24,False
2018-03-22,25,False
2018-03-23,22,False
2018-03-24,9,False
2018-03-25,8,False
2018-03-26,19,False
2018-03-27,21,False
2018-03-28,22,False
2018-03-29,20,False
2018-03-30,19,False
2018-03-31,7,False
2018-04-01,10,False
2018-04-02,20,False
2018-04-03,27,False
2018-04-04,28,False
2018-04-05,26,False
2018-04-06,20,False
2018-04-07,11,False
2018-04-08,8,False
2018-04-09,23,False
2018-04-10,24,False
2018-04-11,22,False
2018-04-12,13,False
2018-04-13,20,False
2018-04-14,11,False
2018-04-15,10,False
2018-04-16,25,False
2018-04-17,22,False
2018-04-18,22,False
2018-04-19,25,False
2018-04-20,14,False
2018-04-21,7,False
2018-04-22,8,False
2018-04-23,18,False
2018-04-24,28,False
2018-04-25,31,False
2018-04-26,29,False
2018-04-27,24,False
2018-04-28,8,False
2018-04-29,8,False
2018-04-30,25,False
2018-05-01,25,False
2018-05-02,21,False
2018-05-03,23,False
2018-05-04,25,False
2018-05-05,13,False
2018-05-06,14,False
2018-05-07,23,False
2018-05-08,35,False
2018-05-09,28,False
2018-05-10,28,False
2018-05-11,28,False
2018-05-12,18,False
2018-05-13,58,False
2018-05-14,83,False
2018-05-15,72,False
2018-05-16,59,False
2018-05-17,77,False
2018-05-18,100,False
2018-05-19,81,False
2018-05-20,33,False
2018-05-21,29,False
2018-05-22,28,False
2018-05-23,30,False
2018-05-24,27,False
2018-05-25,20,False
2018-05-26,11,False
2018-05-27,7,False
2018-05-28,14,False
2018-05-29,22,False
2018-05-30,20,False
2018-05-31,27,False
2018-06-01,22,False
2018-06-02,8,False
2018-06-03,13,False
2018-06-04,22,False
2018-06-05,18,False
2018-06-06,19,False
2018-06-07,25,False
2018-06-08,18,False
2018-06-09,14,False
2018-06-10,9,False
2018-06-11,21,False
2018-06-12,19,False
2018-06-13,24,False
2018-06-14,26,False
2018-06-15,20,False
2018-06-16,6,False
2018-06-17,6,False
2018-06-18,19,False
2018-06-19,21,False
2018-06-20,19,False
2018-06-21,22,False
2018-06-22,23,False
2018-06-23,8,False
2018-06-24,3,False
2018-06-25,21,False
2018-06-26,27,False
2018-06-27,19,False
2018-06-28,22,False
