date,Amgen,isPartial
2011-01-01,3,False
2011-01-02,6,False
2011-01-03,10,False
2011-01-04,13,False
2011-01-05,9,False
2011-01-06,11,False
2011-01-07,10,False
2011-01-08,4,False
2011-01-09,6,False
2011-01-10,8,False
2011-01-11,11,False
2011-01-12,12,False
2011-01-13,12,False
2011-01-14,7,False
2011-01-15,4,False
2011-01-16,8,False
2011-01-17,4,False
2011-01-18,10,False
2011-01-19,9,False
2011-01-20,10,False
2011-01-21,11,False
2011-01-22,5,False
2011-01-23,7,False
2011-01-24,14,False
2011-01-25,14,False
2011-01-26,12,False
2011-01-27,12,False
2011-01-28,11,False
2011-01-29,7,False
2011-01-30,5,False
2011-01-31,14,False
2011-02-01,12,False
2011-02-02,13,False
2011-02-03,10,False
2011-02-04,9,False
2011-02-05,4,False
2011-02-06,4,False
2011-02-07,8,False
2011-02-08,15,False
2011-02-09,13,False
2011-02-10,12,False
2011-02-11,14,False
2011-02-12,6,False
2011-02-13,6,False
2011-02-14,11,False
2011-02-15,10,False
2011-02-16,13,False
2011-02-17,13,False
2011-02-18,9,False
2011-02-19,6,False
2011-02-20,6,False
2011-02-21,11,False
2011-02-22,14,False
2011-02-23,9,False
2011-02-24,9,False
2011-02-25,9,False
2011-02-26,8,False
2011-02-27,2,False
2011-02-28,10,False
2011-03-01,9,False
2011-03-02,8,False
2011-03-03,10,False
2011-03-04,12,False
2011-03-05,5,False
2011-03-06,5,False
2011-03-07,8,False
2011-03-08,11,False
2011-03-09,12,False
2011-03-10,11,False
2011-03-11,13,False
2011-03-12,4,False
2011-03-13,6,False
2011-03-14,8,False
2011-03-15,13,False
2011-03-16,11,False
2011-03-17,15,False
2011-03-18,11,False
2011-03-19,6,False
2011-03-20,4,False
2011-03-21,12,False
2011-03-22,12,False
2011-03-23,7,False
2011-03-24,10,False
2011-03-25,6,False
2011-03-26,7,False
2011-03-27,4,False
2011-03-28,11,False
2011-03-29,10,False
2011-03-30,9,False
2011-03-31,9,False
2011-04-01,10,False
2011-04-02,5,False
2011-04-03,6,False
2011-04-04,8,False
2011-04-05,11,False
2011-04-06,10,False
2011-04-07,11,False
2011-04-08,11,False
2011-04-09,5,False
2011-04-10,7,False
2011-04-11,10,False
2011-04-12,11,False
2011-04-13,9,False
2011-04-14,11,False
2011-04-15,8,False
2011-04-16,3,False
2011-04-17,7,False
2011-04-18,12,False
2011-04-19,13,False
2011-04-20,12,False
