date,Amgen,isPartial
2014-12-01,19,False
2014-12-02,15,False
2014-12-03,24,False
2014-12-04,20,False
2014-12-05,22,False
2014-12-06,9,False
2014-12-07,9,False
2014-12-08,25,False
2014-12-09,21,False
2014-12-10,20,False
2014-12-11,18,False
2014-12-12,14,False
2014-12-13,6,False
2014-12-14,9,False
2014-12-15,23,False
2014-12-16,21,False
2014-12-17,23,False
2014-12-18,21,False
2014-12-19,19,False
2014-12-20,10,False
2014-12-21,6,False
2014-12-22,16,False
2014-12-23,19,False
2014-12-24,18,False
2014-12-25,4,False
2014-12-26,12,False
2014-12-27,8,False
2014-12-28,10,False
2014-12-29,13,False
2014-12-30,16,False
2014-12-31,6,False
2015-01-01,3,False
2015-01-02,11,False
2015-01-03,17,False
2015-01-04,8,False
2015-01-05,25,False
2015-01-06,24,False
2015-01-07,22,False
2015-01-08,28,False
2015-01-09,19,False
2015-01-10,13,False
2015-01-11,10,False
2015-01-12,21,False
2015-01-13,27,False
2015-01-14,19,False
2015-01-15,12,False
2015-01-16,16,False
2015-01-17,9,False
2015-01-18,11,False
2015-01-19,16,False
2015-01-20,26,False
2015-01-21,23,False
2015-01-22,22,False
2015-01-23,17,False
2015-01-24,10,False
2015-01-25,7,False
2015-01-26,15,False
2015-01-27,27,False
2015-01-28,28,False
2015-01-29,30,False
2015-01-30,24,False
2015-01-31,12,False
2015-02-01,12,False
2015-02-02,18,False
2015-02-03,22,False
2015-02-04,23,False
2015-02-05,25,False
2015-02-06,22,False
2015-02-07,8,False
2015-02-08,9,False
2015-02-09,22,False
2015-02-10,21,False
2015-02-11,21,False
2015-02-12,21,False
2015-02-13,18,False
2015-02-14,11,False
2015-02-15,3,False
2015-02-16,15,False
2015-02-17,21,False
2015-02-18,21,False
2015-02-19,18,False
2015-02-20,19,False
2015-02-21,11,False
2015-02-22,11,False
2015-02-23,21,False
2015-02-24,24,False
2015-02-25,24,False
2015-02-26,25,False
2015-02-27,19,False
2015-02-28,10,False
2015-03-01,13,False
