date,PACCAR,isPartial
2013-02-19,53,False
2013-02-20,43,False
2013-02-21,34,False
2013-02-22,60,False
2013-02-23,23,False
2013-02-24,28,False
2013-02-25,37,False
2013-02-26,60,False
2013-02-27,24,False
2013-02-28,44,False
2013-03-01,84,False
2013-03-02,28,False
2013-03-03,28,False
2013-03-04,29,False
2013-03-05,33,False
2013-03-06,81,False
2013-03-07,29,False
2013-03-08,50,False
2013-03-09,34,False
2013-03-10,27,False
2013-03-11,42,False
2013-03-12,74,False
2013-03-13,55,False
2013-03-14,43,False
2013-03-15,39,False
2013-03-16,27,False
2013-03-17,65,False
2013-03-18,28,False
2013-03-19,47,False
2013-03-20,42,False
2013-03-21,62,False
2013-03-22,83,False
2013-03-23,50,False
2013-03-24,33,False
2013-03-25,47,False
2013-03-26,62,False
2013-03-27,88,False
2013-03-28,86,False
2013-03-29,49,False
2013-03-30,35,False
2013-03-31,59,False
2013-04-01,64,False
2013-04-02,42,False
2013-04-03,47,False
2013-04-04,66,False
2013-04-05,63,False
2013-04-06,28,False
2013-04-07,28,False
2013-04-08,83,False
2013-04-09,19,False
2013-04-10,37,False
2013-04-11,90,False
2013-04-12,73,False
2013-04-13,68,False
2013-04-14,34,False
2013-04-15,37,False
2013-04-16,56,False
2013-04-17,38,False
2013-04-18,38,False
2013-04-19,30,False
2013-04-20,23,False
2013-04-21,11,False
2013-04-22,37,False
2013-04-23,74,False
2013-04-24,52,False
2013-04-25,72,False
2013-04-26,65,False
2013-04-27,45,False
2013-04-28,22,False
2013-04-29,51,False
2013-04-30,66,False
2013-05-01,26,False
2013-05-02,38,False
2013-05-03,80,False
2013-05-04,29,False
2013-05-05,28,False
2013-05-06,42,False
2013-05-07,65,False
2013-05-08,70,False
2013-05-09,59,False
2013-05-10,50,False
2013-05-11,39,False
2013-05-12,17,False
2013-05-13,60,False
2013-05-14,56,False
2013-05-15,51,False
2013-05-16,66,False
2013-05-17,64,False
2013-05-18,28,False
2013-05-19,34,False
2013-05-20,70,False
2013-05-21,100,False
2013-05-22,32,False
2013-05-23,70,False
2013-05-24,29,False
2013-05-25,23,False
2013-05-26,11,False
2013-05-27,43,False
2013-05-28,46,False
2013-05-29,41,False
2013-05-30,61,False
2013-05-31,34,False
2013-06-01,22,False
2013-06-02,22,False
2013-06-03,78,False
2013-06-04,70,False
2013-06-05,46,False
2013-06-06,42,False
2013-06-07,29,False
2013-06-08,23,False
2013-06-09,17,False
2013-06-10,55,False
2013-06-11,59,False
2013-06-12,93,False
2013-06-13,33,False
2013-06-14,34,False
2013-06-15,34,False
2013-06-16,17,False
2013-06-17,74,False
2013-06-18,56,False
2013-06-19,61,False
2013-06-20,53,False
2013-06-21,75,False
2013-06-22,40,False
2013-06-23,28,False
2013-06-24,51,False
2013-06-25,65,False
2013-06-26,56,False
2013-06-27,62,False
2013-06-28,49,False
2013-06-29,17,False
2013-06-30,35,False
2013-07-01,61,False
2013-07-02,66,False
2013-07-03,47,False
2013-07-04,40,False
2013-07-05,41,False
2013-07-06,30,False
2013-07-07,35,False
2013-07-08,48,False
2013-07-09,34,False
2013-07-10,43,False
2013-07-11,29,False
2013-07-12,45,False
2013-07-13,47,False
2013-07-14,18,False
2013-07-15,24,False
2013-07-16,66,False
2013-07-17,67,False
2013-07-18,49,False
2013-07-19,65,False
2013-07-20,35,False
2013-07-21,18,False
2013-07-22,71,False
2013-07-23,43,False
2013-07-24,66,False
2013-07-25,87,False
2013-07-26,35,False
2013-07-27,23,False
2013-07-28,29,False
2013-07-29,56,False
2013-07-30,47,False
2013-07-31,48,False
2013-08-01,69,False
2013-08-02,45,False
2013-08-03,23,False
2013-08-04,41,False
2013-08-05,39,False
2013-08-06,53,False
2013-08-07,44,False
2013-08-08,44,False
2013-08-09,61,False
2013-08-10,47,False
2013-08-11,23,False
2013-08-12,43,False
2013-08-13,70,False
2013-08-14,29,False
2013-08-15,60,False
2013-08-16,20,False
2013-08-17,34,False
2013-08-18,23,False
2013-08-19,33,False
2013-08-20,32,False
2013-08-21,42,False
2013-08-22,71,False
2013-08-23,49,False
2013-08-24,23,False
2013-08-25,22,False
2013-08-26,72,False
2013-08-27,27,False
2013-08-28,78,False
2013-08-29,32,False
2013-08-30,53,False
2013-08-31,33,False
2013-09-01,32,False
2013-09-02,28,False
2013-09-03,14,False
2013-09-04,46,False
2013-09-05,42,False
2013-09-06,38,False
2013-09-07,11,False
2013-09-08,37,False
2013-09-09,66,False
2013-09-10,57,False
2013-09-11,48,False
2013-09-12,41,False
2013-09-13,51,False
2013-09-14,27,False
2013-09-15,5,False
