date,ATVI stock
2015-04-10,8
2015-04-11,0
2015-04-12,0
2015-04-13,16
2015-04-14,8
2015-04-15,16
2015-04-16,8
2015-04-17,8
2015-04-18,9
2015-04-19,9
2015-04-20,8
2015-04-21,8
2015-04-22,8
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,28
2015-04-27,8
2015-04-28,0
2015-04-29,8
2015-04-30,0
2015-05-01,18
2015-05-02,9
2015-05-03,0
2015-05-04,16
2015-05-05,0
2015-05-06,8
2015-05-07,31
2015-05-08,16
2015-05-09,9
2015-05-10,9
2015-05-11,0
2015-05-12,0
2015-05-13,16
2015-05-14,32
2015-05-15,16
2015-05-16,19
2015-05-17,9
2015-05-18,31
2015-05-19,15
2015-05-20,30
2015-05-21,16
2015-05-22,16
2015-05-23,19
2015-05-24,9
2015-05-25,0
2015-05-26,8
2015-05-27,8
2015-05-28,8
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,15
2015-06-02,15
2015-06-03,0
2015-06-04,8
2015-06-05,25
2015-06-06,9
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,23
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,9
2015-06-15,15
2015-06-16,8
2015-06-17,8
2015-06-18,8
2015-06-19,8
2015-06-20,0
2015-06-21,0
2015-06-22,16
2015-06-23,8
2015-06-24,31
2015-06-25,0
2015-06-26,8
2015-06-27,0
2015-06-28,0
2015-06-29,8
2015-06-30,23
2015-07-01,16
2015-07-02,8
2015-07-03,8
2015-07-04,0
2015-07-05,0
2015-07-06,8
2015-07-07,15
2015-07-08,23
2015-07-09,8
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,31
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,10
2015-07-20,0
2015-07-21,16
2015-07-22,8
2015-07-23,8
2015-07-24,0
2015-07-25,9
2015-07-26,0
2015-07-27,0
2015-07-28,8
2015-07-29,0
2015-07-30,8
2015-07-31,8
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,16
2015-08-05,32
2015-08-06,24
2015-08-07,8
2015-08-08,9
2015-08-09,19
2015-08-10,0
2015-08-11,15
2015-08-12,16
2015-08-13,39
2015-08-14,24
2015-08-15,19
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,23
2015-08-20,15
2015-08-21,24
2015-08-22,9
2015-08-23,0
2015-08-24,30
2015-08-25,23
2015-08-26,30
2015-08-27,15
2015-08-28,24
2015-08-29,9
2015-08-30,36
2015-08-31,37
2015-09-01,38
2015-09-02,23
2015-09-03,23
2015-09-04,16
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,7
2015-09-09,15
2015-09-10,23
2015-09-11,23
2015-09-12,9
2015-09-13,0
2015-09-14,22
2015-09-15,29
2015-09-16,22
2015-09-17,30
2015-09-18,23
2015-09-19,9
2015-09-20,0
2015-09-21,22
2015-09-22,15
2015-09-23,7
2015-09-24,38
2015-09-25,24
2015-09-26,18
2015-09-27,0
2015-09-28,0
2015-09-29,22
2015-09-30,15
2015-10-01,15
2015-10-02,0
2015-10-03,9
2015-10-04,0
2015-10-05,43
2015-10-06,22
2015-10-07,15
2015-10-08,51
2015-10-09,23
2015-10-10,9
2015-10-11,9
2015-10-12,30
2015-10-13,7
2015-10-14,15
2015-10-15,59
2015-10-16,30
2015-10-17,0
2015-10-18,0
2015-10-19,22
2015-10-20,36
2015-10-21,7
2015-10-22,15
2015-10-23,23
2015-10-24,0
2015-10-25,8
2015-10-26,7
2015-10-27,51
2015-10-28,14
2015-10-29,22
2015-10-30,15
2015-10-31,26
2015-11-01,9
2015-11-02,14
2015-11-03,100
2015-11-04,73
2015-11-05,58
2015-11-06,45
2015-11-07,9
2015-11-08,17
2015-11-09,57
2015-11-10,50
2015-11-11,22
2015-11-12,45
2015-11-13,68
2015-11-14,0
2015-11-15,0
2015-11-16,51
2015-11-17,36
2015-11-18,43
2015-11-19,44
2015-11-20,60
2015-11-21,0
2015-11-22,0
2015-11-23,29
2015-11-24,7
2015-11-25,21
2015-11-26,8
2015-11-27,38
2015-11-28,0
2015-11-29,8
2015-11-30,28
2015-12-01,28
2015-12-02,7
2015-12-03,36
2015-12-04,7
2015-12-05,26
2015-12-06,8
2015-12-07,44
2015-12-08,29
2015-12-09,36
2015-12-10,22
2015-12-11,37
2015-12-12,0
2015-12-13,0
2015-12-14,28
2015-12-15,30
2015-12-16,8
2015-12-17,15
2015-12-18,24
2015-12-19,18
2015-12-20,27
2015-12-21,15
2015-12-22,31
2015-12-23,49
2015-12-24,27
2015-12-25,10
2015-12-26,0
