date,ATVI stock
2015-08-18,22
2015-08-19,22
2015-08-20,7
2015-08-21,30
2015-08-22,21
2015-08-23,8
2015-08-24,28
2015-08-25,21
2015-08-26,21
2015-08-27,29
2015-08-28,19
2015-08-29,34
2015-08-30,25
2015-08-31,14
2015-09-01,28
2015-09-02,14
2015-09-03,21
2015-09-04,7
2015-09-05,8
2015-09-06,8
2015-09-07,0
2015-09-08,7
2015-09-09,14
2015-09-10,35
2015-09-11,15
2015-09-12,0
2015-09-13,0
2015-09-14,14
2015-09-15,24
2015-09-16,27
2015-09-17,24
2015-09-18,18
2015-09-19,12
2015-09-20,0
2015-09-21,24
2015-09-22,20
2015-09-23,21
2015-09-24,14
2015-09-25,18
2015-09-26,8
2015-09-27,8
2015-09-28,0
2015-09-29,0
2015-09-30,24
2015-10-01,27
2015-10-02,11
2015-10-03,8
2015-10-04,0
2015-10-05,24
2015-10-06,14
2015-10-07,7
2015-10-08,21
2015-10-09,14
2015-10-10,8
2015-10-11,0
2015-10-12,14
2015-10-13,30
2015-10-14,7
2015-10-15,51
2015-10-16,35
2015-10-17,16
2015-10-18,16
2015-10-19,23
2015-10-20,20
2015-10-21,27
2015-10-22,20
2015-10-23,11
2015-10-24,0
2015-10-25,8
2015-10-26,13
2015-10-27,10
2015-10-28,17
2015-10-29,38
2015-10-30,28
2015-10-31,33
2015-11-01,24
2015-11-02,30
2015-11-03,77
2015-11-04,77
2015-11-05,34
2015-11-06,38
2015-11-07,24
2015-11-08,8
2015-11-09,53
2015-11-10,70
2015-11-11,52
2015-11-12,41
2015-11-13,49
2015-11-14,8
2015-11-15,16
2015-11-16,27
2015-11-17,23
2015-11-18,23
2015-11-19,20
2015-11-20,42
2015-11-21,8
2015-11-22,19
2015-11-23,33
2015-11-24,23
2015-11-25,24
2015-11-26,11
2015-11-27,21
2015-11-28,0
2015-11-29,0
2015-11-30,10
2015-12-01,23
2015-12-02,17
2015-12-03,51
2015-12-04,21
2015-12-05,20
2015-12-06,8
2015-12-07,14
2015-12-08,30
2015-12-09,40
2015-12-10,20
2015-12-11,35
2015-12-12,8
2015-12-13,8
2015-12-14,40
2015-12-15,31
2015-12-16,10
2015-12-17,25
2015-12-18,19
2015-12-19,25
2015-12-20,17
2015-12-21,18
2015-12-22,26
2015-12-23,27
2015-12-24,17
2015-12-25,18
2015-12-26,8
2015-12-27,0
2015-12-28,18
2015-12-29,11
2015-12-30,26
2015-12-31,25
2016-01-01,28
2016-01-02,17
2016-01-03,8
2016-01-04,62
2016-01-05,37
2016-01-06,40
2016-01-07,25
2016-01-08,60
2016-01-09,8
2016-01-10,0
2016-01-11,35
2016-01-12,10
2016-01-13,46
2016-01-14,14
2016-01-15,19
2016-01-16,0
2016-01-17,24
2016-01-18,7
2016-01-19,32
2016-01-20,43
2016-01-21,54
2016-01-22,30
2016-01-23,8
2016-01-24,16
2016-01-25,7
2016-01-26,18
2016-01-27,21
2016-01-28,47
2016-01-29,33
2016-01-30,0
2016-01-31,12
2016-02-01,25
2016-02-02,25
2016-02-03,18
2016-02-04,32
2016-02-05,34
2016-02-06,17
2016-02-07,8
2016-02-08,36
2016-02-09,22
2016-02-10,35
2016-02-11,100
2016-02-12,55
2016-02-13,16
2016-02-14,16
2016-02-15,11
2016-02-16,24
2016-02-17,42
2016-02-18,32
2016-02-19,36
2016-02-20,16
2016-02-21,16
2016-02-22,35
2016-02-23,31
2016-02-24,21
2016-02-25,49
2016-02-26,15
2016-02-27,8
2016-02-28,12
2016-02-29,27
2016-03-01,21
2016-03-02,38
2016-03-03,21
2016-03-04,29
2016-03-05,12
2016-03-06,8
2016-03-07,21
2016-03-08,25
2016-03-09,21
2016-03-10,14
2016-03-11,11
2016-03-12,16
2016-03-13,16
2016-03-14,21
2016-03-15,21
2016-03-16,17
2016-03-17,25
2016-03-18,30
2016-03-19,8
2016-03-20,8
2016-03-21,36
2016-03-22,25
2016-03-23,22
2016-03-24,11
2016-03-25,20
2016-03-26,0
2016-03-27,8
2016-03-28,22
2016-03-29,14
2016-03-30,18
2016-03-31,25
2016-04-01,22
2016-04-02,8
2016-04-03,0
2016-04-04,38
2016-04-05,24
2016-04-06,18
2016-04-07,28
2016-04-08,11
2016-04-09,8
2016-04-10,0
2016-04-11,18
2016-04-12,35
2016-04-13,14
2016-04-14,32
2016-04-15,11
2016-04-16,0
2016-04-17,8
2016-04-18,21
2016-04-19,14
2016-04-20,14
2016-04-21,11
2016-04-22,18
2016-04-23,0
2016-04-24,0
2016-04-25,24
2016-04-26,21
2016-04-27,38
2016-04-28,7
2016-04-29,30
2016-04-30,8
2016-05-01,8
2016-05-02,25
2016-05-03,17
2016-05-04,57
