date,TTWO stock
2017-01-19,8
2017-01-20,8
2017-01-21,0
2017-01-22,9
2017-01-23,16
2017-01-24,8
2017-01-25,24
2017-01-26,8
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,12
2017-02-01,20
2017-02-02,0
2017-02-03,25
2017-02-04,0
2017-02-05,9
2017-02-06,12
2017-02-07,40
2017-02-08,24
2017-02-09,20
2017-02-10,29
2017-02-11,9
2017-02-12,0
2017-02-13,31
2017-02-14,24
2017-02-15,28
2017-02-16,8
2017-02-17,12
2017-02-18,9
2017-02-19,0
2017-02-20,0
2017-02-21,16
2017-02-22,12
2017-02-23,24
2017-02-24,17
2017-02-25,9
2017-02-26,0
2017-02-27,27
2017-02-28,16
2017-03-01,15
2017-03-02,19
2017-03-03,12
2017-03-04,0
2017-03-05,0
2017-03-06,23
2017-03-07,15
2017-03-08,16
2017-03-09,19
2017-03-10,16
2017-03-11,18
2017-03-12,9
2017-03-13,15
2017-03-14,8
2017-03-15,16
2017-03-16,20
2017-03-17,25
2017-03-18,0
2017-03-19,9
2017-03-20,20
2017-03-21,0
2017-03-22,8
2017-03-23,20
2017-03-24,8
2017-03-25,9
2017-03-26,9
2017-03-27,12
2017-03-28,16
2017-03-29,8
2017-03-30,0
2017-03-31,17
2017-04-01,18
2017-04-02,9
2017-04-03,16
2017-04-04,16
2017-04-05,0
2017-04-06,8
2017-04-07,8
2017-04-08,18
2017-04-09,9
2017-04-10,0
2017-04-11,16
2017-04-12,0
2017-04-13,8
2017-04-14,0
2017-04-15,0
2017-04-16,9
2017-04-17,0
2017-04-18,8
2017-04-19,12
2017-04-20,12
2017-04-21,33
2017-04-22,9
2017-04-23,0
2017-04-24,12
2017-04-25,16
2017-04-26,8
2017-04-27,16
2017-04-28,0
2017-04-29,9
2017-04-30,0
2017-05-01,26
2017-05-02,16
2017-05-03,12
2017-05-04,24
2017-05-05,25
2017-05-06,14
2017-05-07,18
2017-05-08,12
2017-05-09,8
2017-05-10,16
2017-05-11,20
2017-05-12,17
2017-05-13,9
2017-05-14,28
2017-05-15,29
2017-05-16,13
2017-05-17,17
2017-05-18,25
2017-05-19,18
2017-05-20,0
2017-05-21,10
2017-05-22,64
2017-05-23,83
2017-05-24,95
2017-05-25,100
2017-05-26,23
2017-05-27,21
2017-05-28,10
2017-05-29,9
2017-05-30,13
2017-05-31,25
2017-06-01,35
2017-06-02,40
2017-06-03,15
2017-06-04,0
2017-06-05,46
2017-06-06,16
2017-06-07,25
2017-06-08,41
2017-06-09,39
2017-06-10,10
2017-06-11,0
2017-06-12,45
2017-06-13,57
2017-06-14,38
2017-06-15,22
2017-06-16,18
2017-06-17,10
2017-06-18,0
2017-06-19,25
2017-06-20,20
2017-06-21,28
2017-06-22,45
2017-06-23,34
2017-06-24,0
2017-06-25,0
2017-06-26,26
2017-06-27,13
2017-06-28,22
2017-06-29,13
2017-06-30,14
2017-07-01,25
2017-07-02,10
2017-07-03,9
2017-07-04,9
2017-07-05,9
2017-07-06,22
2017-07-07,13
2017-07-08,10
2017-07-09,0
2017-07-10,17
2017-07-11,9
2017-07-12,30
2017-07-13,18
2017-07-14,13
2017-07-15,10
2017-07-16,10
2017-07-17,0
2017-07-18,9
2017-07-19,13
2017-07-20,21
2017-07-21,45
2017-07-22,10
2017-07-23,10
2017-07-24,21
2017-07-25,13
2017-07-26,13
2017-07-27,38
2017-07-28,27
2017-07-29,20
2017-07-30,10
2017-07-31,29
2017-08-01,32
2017-08-02,95
2017-08-03,100
2017-08-04,78
2017-08-05,20
2017-08-06,20
2017-08-07,45
2017-08-08,20
2017-08-09,12
2017-08-10,17
2017-08-11,26
2017-08-12,29
2017-08-13,19
2017-08-14,38
2017-08-15,39
2017-08-16,8
2017-08-17,13
2017-08-18,34
2017-08-19,9
2017-08-20,28
2017-08-21,12
2017-08-22,24
2017-08-23,25
2017-08-24,29
2017-08-25,31
2017-08-26,10
2017-08-27,9
2017-08-28,46
2017-08-29,20
2017-08-30,17
2017-08-31,41
2017-09-01,22
2017-09-02,15
2017-09-03,10
2017-09-04,0
2017-09-05,48
2017-09-06,44
2017-09-07,41
2017-09-08,42
2017-09-09,19
2017-09-10,9
2017-09-11,8
2017-09-12,32
2017-09-13,24
2017-09-14,28
2017-09-15,29
2017-09-16,28
2017-09-17,18
2017-09-18,40
2017-09-19,32
2017-09-20,56
2017-09-21,20
2017-09-22,30
2017-09-23,9
2017-09-24,18
2017-09-25,32
2017-09-26,40
2017-09-27,32
2017-09-28,28
2017-09-29,43
2017-09-30,9
2017-10-01,18
2017-10-02,36
2017-10-03,24
2017-10-04,20
2017-10-05,41
2017-10-06,29
