date,TTWO stock
2017-10-06,32
2017-10-07,14
2017-10-08,0
2017-10-09,34
2017-10-10,39
2017-10-11,40
2017-10-12,32
2017-10-13,23
2017-10-14,11
2017-10-15,0
2017-10-16,25
2017-10-17,18
2017-10-18,18
2017-10-19,25
2017-10-20,13
2017-10-21,7
2017-10-22,7
2017-10-23,27
2017-10-24,21
2017-10-25,18
2017-10-26,22
2017-10-27,26
2017-10-28,14
2017-10-29,10
2017-10-30,34
2017-10-31,25
2017-11-01,13
2017-11-02,38
2017-11-03,13
2017-11-04,0
2017-11-05,7
2017-11-06,27
2017-11-07,84
2017-11-08,100
2017-11-09,60
2017-11-10,19
2017-11-11,21
2017-11-12,10
2017-11-13,39
2017-11-14,33
2017-11-15,27
2017-11-16,36
2017-11-17,19
2017-11-18,7
2017-11-19,13
2017-11-20,27
2017-11-21,33
2017-11-22,30
2017-11-23,6
2017-11-24,19
2017-11-25,14
2017-11-26,14
2017-11-27,20
2017-11-28,12
2017-11-29,48
2017-11-30,21
2017-12-01,25
2017-12-02,10
2017-12-03,0
2017-12-04,38
2017-12-05,33
2017-12-06,15
2017-12-07,27
2017-12-08,29
2017-12-09,14
2017-12-10,7
2017-12-11,21
2017-12-12,21
2017-12-13,30
2017-12-14,18
2017-12-15,29
2017-12-16,11
2017-12-17,14
2017-12-18,15
2017-12-19,19
2017-12-20,19
2017-12-21,32
2017-12-22,27
2017-12-23,22
2017-12-24,12
2017-12-25,8
2017-12-26,17
2017-12-27,23
2017-12-28,13
2017-12-29,17
2017-12-30,14
2017-12-31,15
2018-01-01,7
2018-01-02,9
2018-01-03,36
2018-01-04,18
2018-01-05,49
2018-01-06,7
2018-01-07,10
2018-01-08,15
2018-01-09,26
2018-01-10,30
2018-01-11,33
2018-01-12,40
2018-01-13,7
2018-01-14,7
2018-01-15,6
2018-01-16,15
2018-01-17,35
2018-01-18,20
2018-01-19,31
2018-01-20,0
2018-01-21,20
2018-01-22,34
2018-01-23,6
2018-01-24,20
2018-01-25,32
2018-01-26,40
2018-01-27,7
2018-01-28,10
2018-01-29,32
2018-01-30,26
2018-01-31,49
2018-02-01,61
2018-02-02,30
2018-02-03,13
2018-02-04,13
2018-02-05,29
2018-02-06,41
2018-02-07,95
2018-02-08,91
2018-02-09,64
2018-02-10,10
2018-02-11,10
2018-02-12,39
2018-02-13,35
2018-02-14,32
2018-02-15,36
2018-02-16,31
2018-02-17,13
2018-02-18,0
2018-02-19,9
2018-02-20,11
2018-02-21,11
2018-02-22,15
2018-02-23,15
2018-02-24,7
2018-02-25,6
2018-02-26,34
2018-02-27,26
2018-02-28,29
2018-03-01,23
2018-03-02,36
2018-03-03,17
2018-03-04,6
2018-03-05,25
2018-03-06,11
2018-03-07,20
2018-03-08,17
2018-03-09,36
2018-03-10,13
2018-03-11,20
2018-03-12,34
2018-03-13,20
2018-03-14,52
2018-03-15,29
2018-03-16,30
2018-03-17,0
2018-03-18,6
2018-03-19,26
2018-03-20,20
2018-03-21,14
2018-03-22,26
2018-03-23,18
2018-03-24,10
2018-03-25,0
2018-03-26,17
2018-03-27,26
2018-03-28,36
2018-03-29,25
2018-03-30,13
2018-03-31,7
2018-04-01,7
2018-04-02,31
2018-04-03,29
2018-04-04,20
2018-04-05,53
2018-04-06,21
2018-04-07,7
2018-04-08,7
2018-04-09,17
