date,TTWO stock
2018-02-13,50
2018-02-14,50
2018-02-15,60
2018-02-16,21
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,20
2018-02-21,20
2018-02-22,40
2018-02-23,21
2018-02-24,11
2018-02-25,0
2018-02-26,58
2018-02-27,39
2018-02-28,39
2018-03-01,48
2018-03-02,41
2018-03-03,11
2018-03-04,0
2018-03-05,38
2018-03-06,10
2018-03-07,39
2018-03-08,30
2018-03-09,52
2018-03-10,22
2018-03-11,11
2018-03-12,48
2018-03-13,10
2018-03-14,88
2018-03-15,49
2018-03-16,40
2018-03-17,0
2018-03-18,11
2018-03-19,20
2018-03-20,0
2018-03-21,19
2018-03-22,100
2018-03-23,61
2018-03-24,11
2018-03-25,0
2018-03-26,80
2018-03-27,90
2018-03-28,51
2018-03-29,32
2018-03-30,11
2018-03-31,12
2018-04-01,12
2018-04-02,42
2018-04-03,29
2018-04-04,50
2018-04-05,60
2018-04-06,73
2018-04-07,0
2018-04-08,11
2018-04-09,29
