date,ESRX stock
2018-02-13,16
2018-02-14,8
2018-02-15,20
2018-02-16,4
2018-02-17,0
2018-02-18,0
2018-02-19,4
2018-02-20,8
2018-02-21,24
2018-02-22,16
2018-02-23,12
2018-02-24,0
2018-02-25,0
2018-02-26,12
2018-02-27,31
2018-02-28,16
2018-03-01,4
2018-03-02,16
2018-03-03,5
2018-03-04,0
2018-03-05,8
2018-03-06,0
2018-03-07,4
2018-03-08,100
2018-03-09,38
2018-03-10,9
2018-03-11,0
2018-03-12,19
2018-03-13,12
2018-03-14,0
2018-03-15,20
2018-03-16,4
2018-03-17,5
2018-03-18,4
2018-03-19,4
2018-03-20,4
2018-03-21,12
2018-03-22,4
2018-03-23,16
2018-03-24,14
2018-03-25,0
2018-03-26,12
2018-03-27,20
2018-03-28,4
2018-03-29,13
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,16
2018-04-04,4
2018-04-05,16
2018-04-06,8
2018-04-07,5
2018-04-08,0
2018-04-09,12
