date,ESRX stock
2017-10-06,9
2017-10-07,5
2017-10-08,0
2017-10-09,15
2017-10-10,27
2017-10-11,11
2017-10-12,9
2017-10-13,4
2017-10-14,0
2017-10-15,0
2017-10-16,4
2017-10-17,4
2017-10-18,17
2017-10-19,6
2017-10-20,11
2017-10-21,5
2017-10-22,0
2017-10-23,10
2017-10-24,10
2017-10-25,19
2017-10-26,19
2017-10-27,18
2017-10-28,5
2017-10-29,5
2017-10-30,8
2017-10-31,13
2017-11-01,4
2017-11-02,9
2017-11-03,13
2017-11-04,0
2017-11-05,0
2017-11-06,12
2017-11-07,8
2017-11-08,12
2017-11-09,4
2017-11-10,9
2017-11-11,5
2017-11-12,0
2017-11-13,4
2017-11-14,10
2017-11-15,12
2017-11-16,10
2017-11-17,11
2017-11-18,0
2017-11-19,0
2017-11-20,4
2017-11-21,4
2017-11-22,4
2017-11-23,4
2017-11-24,4
2017-11-25,5
2017-11-26,0
2017-11-27,12
2017-11-28,8
2017-11-29,10
2017-11-30,6
2017-12-01,11
2017-12-02,9
2017-12-03,5
2017-12-04,12
2017-12-05,10
2017-12-06,33
2017-12-07,17
2017-12-08,13
2017-12-09,0
2017-12-10,5
2017-12-11,4
2017-12-12,12
2017-12-13,8
2017-12-14,17
2017-12-15,20
2017-12-16,5
2017-12-17,5
2017-12-18,10
2017-12-19,17
2017-12-20,13
2017-12-21,9
2017-12-22,9
2017-12-23,0
2017-12-24,0
2017-12-25,5
2017-12-26,19
2017-12-27,11
2017-12-28,4
2017-12-29,5
2017-12-30,10
2017-12-31,5
2018-01-01,10
2018-01-02,9
2018-01-03,4
2018-01-04,12
2018-01-05,8
2018-01-06,7
2018-01-07,5
2018-01-08,8
2018-01-09,22
2018-01-10,16
2018-01-11,4
2018-01-12,23
2018-01-13,7
2018-01-14,0
2018-01-15,4
2018-01-16,24
2018-01-17,14
2018-01-18,12
2018-01-19,6
2018-01-20,5
2018-01-21,0
2018-01-22,14
2018-01-23,8
2018-01-24,4
2018-01-25,8
2018-01-26,8
2018-01-27,12
2018-01-28,5
2018-01-29,12
2018-01-30,46
2018-01-31,18
2018-02-01,18
2018-02-02,6
2018-02-03,5
2018-02-04,5
2018-02-05,4
2018-02-06,14
2018-02-07,6
2018-02-08,4
2018-02-09,12
2018-02-10,5
2018-02-11,5
2018-02-12,10
2018-02-13,8
2018-02-14,10
2018-02-15,12
2018-02-16,6
2018-02-17,9
2018-02-18,0
2018-02-19,4
2018-02-20,12
2018-02-21,12
2018-02-22,6
2018-02-23,8
2018-02-24,9
2018-02-25,0
2018-02-26,8
2018-02-27,19
2018-02-28,27
2018-03-01,19
2018-03-02,10
2018-03-03,5
2018-03-04,0
2018-03-05,6
2018-03-06,6
2018-03-07,6
2018-03-08,100
2018-03-09,35
2018-03-10,11
2018-03-11,9
2018-03-12,10
2018-03-13,19
2018-03-14,16
2018-03-15,16
2018-03-16,10
2018-03-17,4
2018-03-18,4
2018-03-19,8
2018-03-20,6
2018-03-21,4
2018-03-22,4
2018-03-23,17
2018-03-24,5
2018-03-25,0
2018-03-26,14
2018-03-27,18
2018-03-28,8
2018-03-29,4
2018-03-30,9
2018-03-31,0
2018-04-01,0
2018-04-02,8
2018-04-03,14
2018-04-04,4
2018-04-05,20
2018-04-06,13
2018-04-07,5
2018-04-08,0
2018-04-09,12
