date,ESRX stock
2017-01-19,9
2017-01-20,14
2017-01-21,0
2017-01-22,0
2017-01-23,5
2017-01-24,9
2017-01-25,0
2017-01-26,5
2017-01-27,5
2017-01-28,5
2017-01-29,0
2017-01-30,14
2017-01-31,9
2017-02-01,9
2017-02-02,0
2017-02-03,24
2017-02-04,11
2017-02-05,0
2017-02-06,5
2017-02-07,14
2017-02-08,5
2017-02-09,5
2017-02-10,5
2017-02-11,0
2017-02-12,0
2017-02-13,4
2017-02-14,32
2017-02-15,19
2017-02-16,5
2017-02-17,19
2017-02-18,0
2017-02-19,0
2017-02-20,5
2017-02-21,9
2017-02-22,18
2017-02-23,5
2017-02-24,5
2017-02-25,0
2017-02-26,5
2017-02-27,13
2017-02-28,0
2017-03-01,4
2017-03-02,9
2017-03-03,5
2017-03-04,0
2017-03-05,5
2017-03-06,9
2017-03-07,22
2017-03-08,5
2017-03-09,9
2017-03-10,5
2017-03-11,0
2017-03-12,5
2017-03-13,4
2017-03-14,5
2017-03-15,9
2017-03-16,14
2017-03-17,5
2017-03-18,16
2017-03-19,0
2017-03-20,5
2017-03-21,9
2017-03-22,18
2017-03-23,9
2017-03-24,5
2017-03-25,0
2017-03-26,0
2017-03-27,5
2017-03-28,9
2017-03-29,14
2017-03-30,9
2017-03-31,9
2017-04-01,5
2017-04-02,0
2017-04-03,9
2017-04-04,5
2017-04-05,5
2017-04-06,9
2017-04-07,0
2017-04-08,5
2017-04-09,0
2017-04-10,9
2017-04-11,14
2017-04-12,10
2017-04-13,0
2017-04-14,26
2017-04-15,0
2017-04-16,5
2017-04-17,10
2017-04-18,5
2017-04-19,0
2017-04-20,5
2017-04-21,10
2017-04-22,11
2017-04-23,0
2017-04-24,41
2017-04-25,100
2017-04-26,50
2017-04-27,18
2017-04-28,29
2017-04-29,11
2017-04-30,0
2017-05-01,30
2017-05-02,5
2017-05-03,5
2017-05-04,14
2017-05-05,14
2017-05-06,0
2017-05-07,0
2017-05-08,14
2017-05-09,4
2017-05-10,9
2017-05-11,5
2017-05-12,29
2017-05-13,11
2017-05-14,16
2017-05-15,0
2017-05-16,10
2017-05-17,5
2017-05-18,5
2017-05-19,15
2017-05-20,0
2017-05-21,6
2017-05-22,15
2017-05-23,0
2017-05-24,10
2017-05-25,0
2017-05-26,16
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,5
2017-05-31,10
2017-06-01,10
2017-06-02,16
2017-06-03,0
2017-06-04,0
2017-06-05,5
2017-06-06,14
2017-06-07,14
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,19
2017-06-13,5
2017-06-14,5
2017-06-15,5
2017-06-16,0
2017-06-17,6
2017-06-18,0
2017-06-19,0
2017-06-20,23
2017-06-21,14
2017-06-22,14
2017-06-23,5
2017-06-24,0
2017-06-25,6
2017-06-26,5
2017-06-27,20
2017-06-28,25
2017-06-29,25
2017-06-30,10
2017-07-01,6
2017-07-02,6
2017-07-03,5
2017-07-04,0
2017-07-05,0
2017-07-06,5
2017-07-07,5
2017-07-08,6
2017-07-09,0
2017-07-10,0
2017-07-11,5
2017-07-12,0
2017-07-13,10
2017-07-14,5
2017-07-15,0
2017-07-16,0
2017-07-17,10
2017-07-18,5
2017-07-19,5
2017-07-20,10
2017-07-21,0
2017-07-22,6
2017-07-23,0
2017-07-24,10
2017-07-25,19
2017-07-26,10
2017-07-27,10
2017-07-28,26
2017-07-29,0
2017-07-30,0
2017-07-31,5
2017-08-01,5
2017-08-02,5
2017-08-03,0
2017-08-04,10
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,9
2017-08-09,14
2017-08-10,24
2017-08-11,0
2017-08-12,11
2017-08-13,6
2017-08-14,0
2017-08-15,5
2017-08-16,10
2017-08-17,24
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,5
2017-08-22,10
2017-08-23,10
2017-08-24,5
2017-08-25,10
2017-08-26,0
2017-08-27,0
2017-08-28,14
2017-08-29,9
2017-08-30,10
2017-08-31,5
2017-09-01,5
2017-09-02,0
2017-09-03,0
2017-09-04,5
2017-09-05,0
2017-09-06,9
2017-09-07,5
2017-09-08,10
2017-09-09,0
2017-09-10,0
2017-09-11,9
2017-09-12,5
2017-09-13,5
2017-09-14,5
2017-09-15,5
2017-09-16,5
2017-09-17,0
2017-09-18,14
2017-09-19,5
2017-09-20,0
2017-09-21,5
2017-09-22,5
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,5
2017-09-27,5
2017-09-28,0
2017-09-29,10
2017-09-30,6
2017-10-01,5
2017-10-02,5
2017-10-03,9
2017-10-04,9
2017-10-05,5
2017-10-06,5
