date,ESRX stock
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,19
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,21
2016-01-04,0
2016-01-05,19
2016-01-06,0
2016-01-07,19
2016-01-08,19
2016-01-09,0
2016-01-10,0
2016-01-11,0
2016-01-12,37
2016-01-13,0
2016-01-14,18
2016-01-15,19
2016-01-16,0
2016-01-17,0
2016-01-18,0
2016-01-19,0
2016-01-20,55
2016-01-21,19
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,18
2016-01-26,55
2016-01-27,18
2016-01-28,0
2016-01-29,0
2016-01-30,43
2016-01-31,0
2016-02-01,0
2016-02-02,18
2016-02-03,18
2016-02-04,56
2016-02-05,0
2016-02-06,21
2016-02-07,0
2016-02-08,37
2016-02-09,0
2016-02-10,18
2016-02-11,37
2016-02-12,0
2016-02-13,0
2016-02-14,21
2016-02-15,0
2016-02-16,18
2016-02-17,91
2016-02-18,18
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,18
2016-02-23,0
2016-02-24,18
2016-02-25,56
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,18
2016-03-02,0
2016-03-03,0
2016-03-04,19
2016-03-05,0
2016-03-06,0
2016-03-07,0
2016-03-08,0
2016-03-09,18
2016-03-10,18
2016-03-11,19
2016-03-12,21
2016-03-13,0
2016-03-14,54
2016-03-15,0
2016-03-16,0
2016-03-17,37
2016-03-18,38
2016-03-19,21
2016-03-20,0
2016-03-21,55
2016-03-22,74
2016-03-23,38
2016-03-24,20
2016-03-25,0
2016-03-26,0
2016-03-27,22
2016-03-28,38
2016-03-29,36
2016-03-30,0
2016-03-31,37
2016-04-01,38
2016-04-02,21
2016-04-03,0
2016-04-04,0
2016-04-05,18
2016-04-06,0
2016-04-07,37
2016-04-08,19
2016-04-09,0
2016-04-10,0
2016-04-11,36
2016-04-12,55
2016-04-13,37
2016-04-14,37
2016-04-15,19
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,36
2016-04-20,55
2016-04-21,56
2016-04-22,38
2016-04-23,0
2016-04-24,21
2016-04-25,54
2016-04-26,54
2016-04-27,55
2016-04-28,56
2016-04-29,39
2016-04-30,0
2016-05-01,0
2016-05-02,37
2016-05-03,55
2016-05-04,18
2016-05-05,0
2016-05-06,20
2016-05-07,0
2016-05-08,0
2016-05-09,56
2016-05-10,0
2016-05-11,37
2016-05-12,37
2016-05-13,38
2016-05-14,0
2016-05-15,0
2016-05-16,37
2016-05-17,18
2016-05-18,0
2016-05-19,37
2016-05-20,38
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,18
2016-05-25,75
2016-05-26,0
2016-05-27,20
2016-05-28,0
2016-05-29,0
2016-05-30,19
2016-05-31,37
2016-06-01,19
2016-06-02,19
2016-06-03,19
2016-06-04,22
2016-06-05,0
2016-06-06,19
2016-06-07,0
2016-06-08,56
2016-06-09,19
2016-06-10,20
2016-06-11,0
2016-06-12,0
2016-06-13,18
2016-06-14,36
2016-06-15,37
2016-06-16,37
2016-06-17,0
2016-06-18,0
2016-06-19,0
2016-06-20,0
2016-06-21,56
2016-06-22,37
2016-06-23,0
2016-06-24,40
2016-06-25,22
2016-06-26,0
2016-06-27,19
2016-06-28,0
2016-06-29,38
2016-06-30,0
2016-07-01,0
2016-07-02,23
2016-07-03,0
2016-07-04,0
2016-07-05,0
2016-07-06,40
2016-07-07,20
2016-07-08,21
2016-07-09,0
2016-07-10,0
2016-07-11,20
2016-07-12,20
2016-07-13,60
2016-07-14,0
2016-07-15,0
2016-07-16,0
2016-07-17,0
2016-07-18,39
2016-07-19,39
2016-07-20,20
2016-07-21,0
2016-07-22,41
2016-07-23,0
2016-07-24,0
2016-07-25,19
2016-07-26,78
2016-07-27,98
2016-07-28,20
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,20
2016-08-02,19
2016-08-03,39
2016-08-04,100
2016-08-05,21
2016-08-06,0
2016-08-07,0
2016-08-08,0
2016-08-09,20
2016-08-10,0
2016-08-11,0
2016-08-12,43
2016-08-13,24
2016-08-14,0
2016-08-15,22
2016-08-16,41
2016-08-17,0
2016-08-18,0
2016-08-19,0
2016-08-20,0
2016-08-21,0
2016-08-22,20
2016-08-23,61
2016-08-24,20
2016-08-25,59
2016-08-26,0
2016-08-27,45
2016-08-28,0
2016-08-29,19
2016-08-30,0
2016-08-31,19
2016-09-01,0
2016-09-02,60
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,38
2016-09-07,19
2016-09-08,0
2016-09-09,20
2016-09-10,0
2016-09-11,0
