date,WYNN stock
2016-05-04,11
2016-05-05,35
2016-05-06,39
2016-05-07,13
2016-05-08,4
2016-05-09,30
2016-05-10,29
2016-05-11,15
2016-05-12,15
2016-05-13,15
2016-05-14,9
2016-05-15,0
2016-05-16,22
2016-05-17,25
2016-05-18,26
2016-05-19,18
2016-05-20,35
2016-05-21,4
2016-05-22,0
2016-05-23,7
2016-05-24,11
2016-05-25,30
2016-05-26,23
2016-05-27,8
2016-05-28,0
2016-05-29,0
2016-05-30,4
2016-05-31,30
2016-06-01,23
2016-06-02,23
2016-06-03,16
2016-06-04,18
2016-06-05,0
2016-06-06,19
2016-06-07,15
2016-06-08,38
2016-06-09,15
2016-06-10,36
2016-06-11,4
2016-06-12,0
2016-06-13,7
2016-06-14,7
2016-06-15,22
2016-06-16,11
2016-06-17,8
2016-06-18,9
2016-06-19,4
2016-06-20,37
2016-06-21,26
2016-06-22,7
2016-06-23,23
2016-06-24,56
2016-06-25,13
2016-06-26,4
2016-06-27,30
2016-06-28,26
2016-06-29,49
2016-06-30,23
2016-07-01,20
2016-07-02,5
2016-07-03,5
2016-07-04,4
2016-07-05,12
2016-07-06,20
2016-07-07,33
2016-07-08,13
2016-07-09,5
2016-07-10,5
2016-07-11,48
2016-07-12,39
2016-07-13,40
2016-07-14,34
2016-07-15,49
2016-07-16,0
2016-07-17,5
2016-07-18,24
2016-07-19,16
2016-07-20,8
2016-07-21,24
2016-07-22,24
2016-07-23,0
2016-07-24,0
2016-07-25,20
2016-07-26,35
2016-07-27,35
2016-07-28,24
2016-07-29,100
2016-07-30,28
2016-07-31,5
2016-08-01,27
2016-08-02,19
2016-08-03,8
2016-08-04,16
2016-08-05,4
2016-08-06,5
2016-08-07,10
2016-08-08,12
2016-08-09,41
2016-08-10,16
2016-08-11,12
2016-08-12,17
2016-08-13,10
2016-08-14,0
2016-08-15,22
2016-08-16,25
2016-08-17,17
2016-08-18,13
2016-08-19,17
2016-08-20,10
2016-08-21,5
2016-08-22,8
2016-08-23,42
2016-08-24,25
2016-08-25,28
2016-08-26,49
2016-08-27,9
2016-08-28,4
2016-08-29,19
2016-08-30,0
2016-08-31,19
2016-09-01,39
2016-09-02,32
2016-09-03,4
2016-09-04,4
2016-09-05,4
2016-09-06,27
2016-09-07,27
2016-09-08,23
2016-09-09,28
2016-09-10,9
2016-09-11,9
2016-09-12,24
2016-09-13,15
2016-09-14,27
2016-09-15,16
2016-09-16,36
2016-09-17,22
2016-09-18,9
2016-09-19,49
2016-09-20,34
2016-09-21,15
2016-09-22,23
2016-09-23,24
2016-09-24,4
2016-09-25,13
2016-09-26,38
2016-09-27,19
2016-09-28,31
2016-09-29,23
2016-09-30,20
2016-10-01,13
2016-10-02,0
2016-10-03,34
2016-10-04,19
2016-10-05,22
2016-10-06,15
2016-10-07,12
2016-10-08,4
2016-10-09,0
2016-10-10,11
2016-10-11,19
2016-10-12,11
2016-10-13,42
2016-10-14,24
2016-10-15,4
2016-10-16,9
2016-10-17,26
2016-10-18,33
2016-10-19,11
2016-10-20,30
2016-10-21,20
2016-10-22,4
2016-10-23,9
2016-10-24,11
2016-10-25,4
2016-10-26,4
2016-10-27,8
2016-10-28,24
2016-10-29,9
2016-10-30,0
2016-10-31,15
2016-11-01,31
2016-11-02,15
2016-11-03,26
2016-11-04,39
2016-11-05,0
2016-11-06,4
2016-11-07,18
2016-11-08,22
2016-11-09,31
2016-11-10,19
2016-11-11,8
2016-11-12,4
2016-11-13,4
2016-11-14,11
2016-11-15,22
2016-11-16,11
2016-11-17,19
2016-11-18,15
2016-11-19,4
2016-11-20,4
2016-11-21,33
2016-11-22,29
2016-11-23,18
2016-11-24,11
2016-11-25,11
2016-11-26,0
2016-11-27,0
2016-11-28,21
2016-11-29,18
2016-11-30,28
2016-12-01,29
2016-12-02,30
2016-12-03,4
2016-12-04,0
2016-12-05,29
2016-12-06,7
2016-12-07,43
2016-12-08,29
2016-12-09,74
2016-12-10,21
2016-12-11,12
2016-12-12,31
2016-12-13,28
2016-12-14,32
2016-12-15,7
2016-12-16,27
2016-12-17,8
2016-12-18,4
2016-12-19,30
2016-12-20,41
2016-12-21,27
2016-12-22,50
2016-12-23,16
2016-12-24,0
2016-12-25,0
2016-12-26,4
2016-12-27,31
2016-12-28,23
2016-12-29,16
2016-12-30,20
2016-12-31,9
2017-01-01,5
2017-01-02,11
2017-01-03,22
2017-01-04,33
2017-01-05,40
2017-01-06,34
2017-01-07,4
2017-01-08,4
2017-01-09,31
2017-01-10,21
2017-01-11,31
2017-01-12,14
2017-01-13,25
2017-01-14,8
2017-01-15,4
2017-01-16,4
2017-01-17,21
2017-01-18,10
2017-01-19,24
