date,WYNN stock
2015-08-18,22
2015-08-19,11
2015-08-20,38
2015-08-21,34
2015-08-22,0
2015-08-23,0
2015-08-24,58
2015-08-25,53
2015-08-26,21
2015-08-27,21
2015-08-28,22
2015-08-29,6
2015-08-30,6
2015-08-31,37
2015-09-01,16
2015-09-02,16
2015-09-03,11
2015-09-04,11
2015-09-05,0
2015-09-06,6
2015-09-07,5
2015-09-08,5
2015-09-09,26
2015-09-10,37
2015-09-11,38
2015-09-12,6
2015-09-13,12
2015-09-14,31
2015-09-15,42
2015-09-16,21
2015-09-17,21
2015-09-18,22
2015-09-19,12
2015-09-20,6
2015-09-21,30
2015-09-22,31
2015-09-23,52
2015-09-24,69
2015-09-25,17
2015-09-26,12
2015-09-27,12
2015-09-28,30
2015-09-29,41
2015-09-30,46
2015-10-01,36
2015-10-02,97
2015-10-03,42
2015-10-04,30
2015-10-05,67
2015-10-06,61
2015-10-07,46
2015-10-08,26
2015-10-09,43
2015-10-10,12
2015-10-11,12
2015-10-12,31
2015-10-13,50
2015-10-14,30
2015-10-15,82
2015-10-16,64
2015-10-17,18
2015-10-18,6
2015-10-19,35
2015-10-20,44
2015-10-21,36
2015-10-22,31
2015-10-23,43
2015-10-24,6
2015-10-25,0
2015-10-26,25
2015-10-27,40
2015-10-28,35
2015-10-29,15
2015-10-30,43
2015-10-31,0
2015-11-01,6
2015-11-02,40
2015-11-03,10
2015-11-04,15
2015-11-05,20
2015-11-06,32
2015-11-07,0
2015-11-08,6
2015-11-09,20
2015-11-10,25
2015-11-11,15
2015-11-12,15
2015-11-13,0
2015-11-14,0
2015-11-15,6
2015-11-16,5
2015-11-17,25
2015-11-18,5
2015-11-19,10
2015-11-20,21
2015-11-21,18
2015-11-22,6
2015-11-23,5
2015-11-24,20
2015-11-25,15
2015-11-26,26
2015-11-27,32
2015-11-28,6
2015-11-29,11
2015-11-30,15
2015-12-01,20
2015-12-02,30
2015-12-03,30
2015-12-04,21
2015-12-05,0
2015-12-06,12
2015-12-07,5
2015-12-08,20
2015-12-09,90
2015-12-10,36
2015-12-11,42
2015-12-12,12
2015-12-13,12
2015-12-14,15
2015-12-15,16
2015-12-16,21
2015-12-17,11
2015-12-18,28
2015-12-19,6
2015-12-20,0
2015-12-21,38
2015-12-22,33
2015-12-23,17
2015-12-24,51
2015-12-25,14
2015-12-26,13
2015-12-27,0
2015-12-28,55
2015-12-29,28
2015-12-30,28
2015-12-31,25
2016-01-01,7
2016-01-02,0
2016-01-03,6
2016-01-04,70
2016-01-05,5
2016-01-06,22
2016-01-07,39
2016-01-08,28
2016-01-09,0
2016-01-10,18
2016-01-11,21
2016-01-12,42
2016-01-13,37
2016-01-14,63
2016-01-15,100
2016-01-16,6
2016-01-17,18
2016-01-18,21
2016-01-19,32
2016-01-20,53
2016-01-21,77
2016-01-22,44
2016-01-23,0
2016-01-24,12
2016-01-25,42
2016-01-26,53
2016-01-27,27
2016-01-28,27
2016-01-29,39
2016-01-30,6
2016-01-31,6
2016-02-01,32
2016-02-02,63
2016-02-03,48
2016-02-04,49
2016-02-05,56
2016-02-06,6
2016-02-07,0
2016-02-08,53
2016-02-09,43
2016-02-10,37
2016-02-11,37
2016-02-12,77
2016-02-13,6
2016-02-14,12
2016-02-15,32
2016-02-16,47
2016-02-17,89
2016-02-18,37
2016-02-19,38
2016-02-20,0
2016-02-21,12
2016-02-22,10
2016-02-23,26
2016-02-24,68
2016-02-25,53
2016-02-26,49
2016-02-27,18
2016-02-28,18
2016-02-29,10
2016-03-01,51
2016-03-02,36
2016-03-03,68
2016-03-04,70
2016-03-05,12
2016-03-06,0
2016-03-07,26
2016-03-08,26
2016-03-09,31
2016-03-10,37
2016-03-11,49
2016-03-12,0
2016-03-13,12
2016-03-14,31
2016-03-15,57
2016-03-16,37
2016-03-17,48
2016-03-18,39
2016-03-19,0
2016-03-20,12
2016-03-21,37
2016-03-22,42
2016-03-23,21
2016-03-24,34
2016-03-25,18
2016-03-26,0
2016-03-27,6
2016-03-28,33
2016-03-29,58
2016-03-30,37
2016-03-31,48
2016-04-01,38
2016-04-02,6
2016-04-03,0
2016-04-04,31
2016-04-05,52
2016-04-06,47
2016-04-07,85
2016-04-08,44
2016-04-09,6
2016-04-10,0
2016-04-11,47
2016-04-12,47
2016-04-13,42
2016-04-14,32
2016-04-15,50
2016-04-16,6
2016-04-17,0
2016-04-18,26
2016-04-19,42
2016-04-20,21
2016-04-21,37
2016-04-22,34
2016-04-23,12
2016-04-24,0
2016-04-25,41
2016-04-26,46
2016-04-27,37
2016-04-28,43
2016-04-29,44
2016-04-30,6
2016-05-01,0
2016-05-02,70
2016-05-03,21
2016-05-04,11
