date,WYNN stock
2016-09-11,16
2016-09-12,48
2016-09-13,33
2016-09-14,14
2016-09-15,44
2016-09-16,50
2016-09-17,16
2016-09-18,5
2016-09-19,37
2016-09-20,60
2016-09-21,28
2016-09-22,34
2016-09-23,30
2016-09-24,0
2016-09-25,16
2016-09-26,37
2016-09-27,32
2016-09-28,14
2016-09-29,19
2016-09-30,34
2016-10-01,16
2016-10-02,0
2016-10-03,23
2016-10-04,14
2016-10-05,32
2016-10-06,38
2016-10-07,24
2016-10-08,5
2016-10-09,5
2016-10-10,14
2016-10-11,28
2016-10-12,14
2016-10-13,38
2016-10-14,24
2016-10-15,16
2016-10-16,16
2016-10-17,23
2016-10-18,23
2016-10-19,5
2016-10-20,41
2016-10-21,14
2016-10-22,5
2016-10-23,0
2016-10-24,27
2016-10-25,5
2016-10-26,19
2016-10-27,19
2016-10-28,29
2016-10-29,5
2016-10-30,0
2016-10-31,14
2016-11-01,48
2016-11-02,47
2016-11-03,36
2016-11-04,39
2016-11-05,0
2016-11-06,0
2016-11-07,41
2016-11-08,18
2016-11-09,25
2016-11-10,23
2016-11-11,10
2016-11-12,11
2016-11-13,5
2016-11-14,0
2016-11-15,23
2016-11-16,9
2016-11-17,19
2016-11-18,5
2016-11-19,0
2016-11-20,5
2016-11-21,41
2016-11-22,23
2016-11-23,14
2016-11-24,19
2016-11-25,14
2016-11-26,5
2016-11-27,0
2016-11-28,30
2016-11-29,22
2016-11-30,18
2016-12-01,54
2016-12-02,28
2016-12-03,0
2016-12-04,0
2016-12-05,37
2016-12-06,13
2016-12-07,31
2016-12-08,68
2016-12-09,87
2016-12-10,20
2016-12-11,10
2016-12-12,30
2016-12-13,39
2016-12-14,26
2016-12-15,14
2016-12-16,33
2016-12-17,16
2016-12-18,0
2016-12-19,14
2016-12-20,42
2016-12-21,28
2016-12-22,53
2016-12-23,55
2016-12-24,6
2016-12-25,0
2016-12-26,10
2016-12-27,14
2016-12-28,19
2016-12-29,39
2016-12-30,20
2016-12-31,5
2017-01-01,6
2017-01-02,5
2017-01-03,40
2017-01-04,9
2017-01-05,45
2017-01-06,37
2017-01-07,10
2017-01-08,5
2017-01-09,35
2017-01-10,26
2017-01-11,39
2017-01-12,30
2017-01-13,27
2017-01-14,5
2017-01-15,10
2017-01-16,4
2017-01-17,26
2017-01-18,21
2017-01-19,39
2017-01-20,27
2017-01-21,10
2017-01-22,0
2017-01-23,17
2017-01-24,38
2017-01-25,26
2017-01-26,64
2017-01-27,71
2017-01-28,30
2017-01-29,10
2017-01-30,30
2017-01-31,43
2017-02-01,33
2017-02-02,43
2017-02-03,53
2017-02-04,0
2017-02-05,10
2017-02-06,25
2017-02-07,25
2017-02-08,25
2017-02-09,17
2017-02-10,22
2017-02-11,0
2017-02-12,10
2017-02-13,8
2017-02-14,17
2017-02-15,39
2017-02-16,30
2017-02-17,34
2017-02-18,10
2017-02-19,10
2017-02-20,9
2017-02-21,30
2017-02-22,25
2017-02-23,30
2017-02-24,40
2017-02-25,0
2017-02-26,0
2017-02-27,29
2017-02-28,21
2017-03-01,81
2017-03-02,49
2017-03-03,34
2017-03-04,24
2017-03-05,0
2017-03-06,8
2017-03-07,28
2017-03-08,17
2017-03-09,4
2017-03-10,39
2017-03-11,0
2017-03-12,18
2017-03-13,31
2017-03-14,29
2017-03-15,25
2017-03-16,43
2017-03-17,31
2017-03-18,24
2017-03-19,5
2017-03-20,55
2017-03-21,46
2017-03-22,29
2017-03-23,13
2017-03-24,26
2017-03-25,5
2017-03-26,10
2017-03-27,29
2017-03-28,21
2017-03-29,26
2017-03-30,30
2017-03-31,27
2017-04-01,15
2017-04-02,5
2017-04-03,29
2017-04-04,25
2017-04-05,62
2017-04-06,38
2017-04-07,44
2017-04-08,15
2017-04-09,10
2017-04-10,21
2017-04-11,56
2017-04-12,30
2017-04-13,27
2017-04-14,19
2017-04-15,0
2017-04-16,10
2017-04-17,18
2017-04-18,17
2017-04-19,17
2017-04-20,25
2017-04-21,22
2017-04-22,10
2017-04-23,14
2017-04-24,25
2017-04-25,59
2017-04-26,100
2017-04-27,34
2017-04-28,31
2017-04-29,15
2017-04-30,0
2017-05-01,45
2017-05-02,21
2017-05-03,17
2017-05-04,34
2017-05-05,39
2017-05-06,15
2017-05-07,5
2017-05-08,30
2017-05-09,21
2017-05-10,30
2017-05-11,30
2017-05-12,22
2017-05-13,20
2017-05-14,0
2017-05-15,35
2017-05-16,36
2017-05-17,41
2017-05-18,45
2017-05-19,42
2017-05-20,5
2017-05-21,0
2017-05-22,27
2017-05-23,18
2017-05-24,36
2017-05-25,42
2017-05-26,20
2017-05-27,5
2017-05-28,0
2017-05-29,9
