date,WYNN stock
2014-03-16,0
2014-03-17,58
2014-03-18,29
2014-03-19,21
2014-03-20,36
2014-03-21,15
2014-03-22,34
2014-03-23,16
2014-03-24,14
2014-03-25,21
2014-03-26,21
2014-03-27,36
2014-03-28,30
2014-03-29,17
2014-03-30,25
2014-03-31,14
2014-04-01,21
2014-04-02,57
2014-04-03,14
2014-04-04,67
2014-04-05,17
2014-04-06,0
2014-04-07,28
2014-04-08,28
2014-04-09,14
2014-04-10,36
2014-04-11,23
2014-04-12,17
2014-04-13,17
2014-04-14,29
2014-04-15,14
2014-04-16,0
2014-04-17,0
2014-04-18,17
2014-04-19,18
2014-04-20,0
2014-04-21,23
2014-04-22,57
2014-04-23,57
2014-04-24,14
2014-04-25,23
2014-04-26,34
2014-04-27,17
2014-04-28,35
2014-04-29,49
2014-04-30,29
2014-05-01,63
2014-05-02,100
2014-05-03,34
2014-05-04,34
2014-05-05,22
2014-05-06,21
2014-05-07,50
2014-05-08,29
2014-05-09,60
2014-05-10,42
2014-05-11,17
2014-05-12,35
2014-05-13,14
2014-05-14,43
2014-05-15,36
2014-05-16,30
2014-05-17,17
2014-05-18,17
2014-05-19,14
2014-05-20,29
2014-05-21,0
2014-05-22,47
2014-05-23,33
2014-05-24,19
2014-05-25,0
2014-05-26,0
2014-05-27,23
2014-05-28,39
2014-05-29,16
2014-05-30,17
2014-05-31,0
2014-06-01,19
2014-06-02,15
2014-06-03,0
2014-06-04,15
2014-06-05,32
2014-06-06,34
2014-06-07,40
2014-06-08,0
2014-06-09,56
2014-06-10,32
2014-06-11,31
2014-06-12,16
2014-06-13,41
2014-06-14,0
2014-06-15,0
2014-06-16,24
2014-06-17,55
2014-06-18,40
2014-06-19,33
2014-06-20,51
2014-06-21,30
2014-06-22,0
2014-06-23,24
2014-06-24,16
2014-06-25,31
2014-06-26,16
2014-06-27,26
2014-06-28,0
2014-06-29,19
2014-06-30,16
2014-07-01,0
2014-07-02,0
2014-07-03,42
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,32
2014-07-08,16
2014-07-09,40
2014-07-10,16
2014-07-11,17
2014-07-12,19
2014-07-13,0
2014-07-14,48
2014-07-15,39
2014-07-16,17
2014-07-17,25
2014-07-18,17
2014-07-19,0
2014-07-20,0
2014-07-21,16
2014-07-22,16
2014-07-23,25
2014-07-24,24
2014-07-25,43
2014-07-26,0
2014-07-27,39
2014-07-28,41
2014-07-29,57
2014-07-30,82
2014-07-31,24
2014-08-01,25
2014-08-02,0
2014-08-03,0
2014-08-04,40
2014-08-05,16
2014-08-06,32
2014-08-07,47
2014-08-08,43
2014-08-09,0
2014-08-10,19
2014-08-11,0
2014-08-12,16
2014-08-13,32
2014-08-14,16
2014-08-15,17
2014-08-16,57
2014-08-17,19
2014-08-18,48
2014-08-19,32
2014-08-20,16
2014-08-21,56
2014-08-22,25
2014-08-23,57
2014-08-24,0
2014-08-25,47
2014-08-26,31
2014-08-27,23
2014-08-28,16
2014-08-29,25
2014-08-30,19
2014-08-31,18
2014-09-01,15
2014-09-02,67
2014-09-03,68
2014-09-04,46
2014-09-05,32
2014-09-06,37
2014-09-07,0
2014-09-08,38
2014-09-09,15
2014-09-10,30
2014-09-11,30
2014-09-12,16
2014-09-13,18
2014-09-14,36
2014-09-15,30
2014-09-16,30
2014-09-17,38
2014-09-18,46
2014-09-19,40
2014-09-20,36
2014-09-21,0
2014-09-22,37
2014-09-23,15
2014-09-24,15
2014-09-25,23
2014-09-26,24
2014-09-27,0
2014-09-28,0
2014-09-29,15
2014-09-30,30
2014-10-01,38
2014-10-02,31
2014-10-03,65
2014-10-04,18
2014-10-05,18
2014-10-06,30
2014-10-07,45
2014-10-08,37
2014-10-09,23
2014-10-10,24
2014-10-11,0
2014-10-12,17
2014-10-13,52
2014-10-14,22
2014-10-15,30
2014-10-16,45
2014-10-17,46
2014-10-18,18
2014-10-19,0
2014-10-20,59
2014-10-21,22
2014-10-22,15
2014-10-23,22
2014-10-24,46
2014-10-25,18
2014-10-26,34
2014-10-27,29
2014-10-28,58
2014-10-29,81
2014-10-30,30
2014-10-31,24
2014-11-01,36
2014-11-02,0
2014-11-03,15
2014-11-04,29
2014-11-05,43
2014-11-06,51
2014-11-07,46
2014-11-08,18
2014-11-09,0
2014-11-10,14
2014-11-11,29
2014-11-12,29
2014-11-13,14
2014-11-14,15
2014-11-15,0
2014-11-16,0
2014-11-17,14
2014-11-18,46
2014-11-19,59
2014-11-20,44
2014-11-21,45
2014-11-22,17
2014-11-23,0
2014-11-24,36
2014-11-25,29
2014-11-26,36
2014-11-27,0
2014-11-28,46
2014-11-29,0
2014-11-30,0
2014-12-01,21
