date,WYNN stock
2015-12-26,16
2015-12-27,12
2015-12-28,36
2015-12-29,16
2015-12-30,28
2015-12-31,34
2016-01-01,7
2016-01-02,10
2016-01-03,12
2016-01-04,46
2016-01-05,30
2016-01-06,38
2016-01-07,38
2016-01-08,36
2016-01-09,9
2016-01-10,12
2016-01-11,29
2016-01-12,39
2016-01-13,43
2016-01-14,34
2016-01-15,96
2016-01-16,28
2016-01-17,6
2016-01-18,21
2016-01-19,39
2016-01-20,37
2016-01-21,57
2016-01-22,39
2016-01-23,15
2016-01-24,0
2016-01-25,50
2016-01-26,34
2016-01-27,42
2016-01-28,45
2016-01-29,38
2016-01-30,18
2016-01-31,12
2016-02-01,39
2016-02-02,55
2016-02-03,60
2016-02-04,56
2016-02-05,63
2016-02-06,15
2016-02-07,12
2016-02-08,40
2016-02-09,49
2016-02-10,31
2016-02-11,40
2016-02-12,71
2016-02-13,12
2016-02-14,6
2016-02-15,24
2016-02-16,42
2016-02-17,63
2016-02-18,60
2016-02-19,37
2016-02-20,36
2016-02-21,6
2016-02-22,39
2016-02-23,26
2016-02-24,39
2016-02-25,40
2016-02-26,35
2016-02-27,12
2016-02-28,12
2016-02-29,28
2016-03-01,59
2016-03-02,51
2016-03-03,60
2016-03-04,46
2016-03-05,9
2016-03-06,20
2016-03-07,65
2016-03-08,36
2016-03-09,29
2016-03-10,34
2016-03-11,49
2016-03-12,18
2016-03-13,6
2016-03-14,36
2016-03-15,36
2016-03-16,34
2016-03-17,37
2016-03-18,58
2016-03-19,18
2016-03-20,12
2016-03-21,58
2016-03-22,69
2016-03-23,54
2016-03-24,42
2016-03-25,18
2016-03-26,16
2016-03-27,16
2016-03-28,33
2016-03-29,36
2016-03-30,45
2016-03-31,53
2016-04-01,52
2016-04-02,18
2016-04-03,12
2016-04-04,23
2016-04-05,36
2016-04-06,45
2016-04-07,88
2016-04-08,58
2016-04-09,30
2016-04-10,6
2016-04-11,47
2016-04-12,34
2016-04-13,45
2016-04-14,37
2016-04-15,44
2016-04-16,12
2016-04-17,6
2016-04-18,42
2016-04-19,34
2016-04-20,45
2016-04-21,40
2016-04-22,33
2016-04-23,12
2016-04-24,12
2016-04-25,44
2016-04-26,69
2016-04-27,55
2016-04-28,45
2016-04-29,52
2016-04-30,6
2016-05-01,9
2016-05-02,43
2016-05-03,29
2016-05-04,32
2016-05-05,63
2016-05-06,56
2016-05-07,22
2016-05-08,25
2016-05-09,43
2016-05-10,44
2016-05-11,31
2016-05-12,32
2016-05-13,33
2016-05-14,0
2016-05-15,24
2016-05-16,10
2016-05-17,34
2016-05-18,39
2016-05-19,18
2016-05-20,25
2016-05-21,0
2016-05-22,9
2016-05-23,39
2016-05-24,23
2016-05-25,45
2016-05-26,19
2016-05-27,11
2016-05-28,0
2016-05-29,6
2016-05-30,8
2016-05-31,42
2016-06-01,24
2016-06-02,24
2016-06-03,25
2016-06-04,9
2016-06-05,12
2016-06-06,19
2016-06-07,29
2016-06-08,48
2016-06-09,16
2016-06-10,31
2016-06-11,12
2016-06-12,12
2016-06-13,13
2016-06-14,23
2016-06-15,24
2016-06-16,29
2016-06-17,17
2016-06-18,6
2016-06-19,0
2016-06-20,32
2016-06-21,21
2016-06-22,21
2016-06-23,49
2016-06-24,88
2016-06-25,6
2016-06-26,31
2016-06-27,42
2016-06-28,29
2016-06-29,57
2016-06-30,44
2016-07-01,43
2016-07-02,10
2016-07-03,6
2016-07-04,6
2016-07-05,14
2016-07-06,46
2016-07-07,32
2016-07-08,30
2016-07-09,7
2016-07-10,10
2016-07-11,62
2016-07-12,48
2016-07-13,37
2016-07-14,51
2016-07-15,58
2016-07-16,16
2016-07-17,7
2016-07-18,34
2016-07-19,39
2016-07-20,28
2016-07-21,43
2016-07-22,32
2016-07-23,17
2016-07-24,0
2016-07-25,36
2016-07-26,39
2016-07-27,48
2016-07-28,48
2016-07-29,100
2016-07-30,33
2016-07-31,13
2016-08-01,25
2016-08-02,19
2016-08-03,25
2016-08-04,26
2016-08-05,9
2016-08-06,7
2016-08-07,7
2016-08-08,14
2016-08-09,26
2016-08-10,15
2016-08-11,27
2016-08-12,34
2016-08-13,7
2016-08-14,0
2016-08-15,46
2016-08-16,15
2016-08-17,24
2016-08-18,30
2016-08-19,25
2016-08-20,7
2016-08-21,10
2016-08-22,23
2016-08-23,44
2016-08-24,37
2016-08-25,50
2016-08-26,47
2016-08-27,0
2016-08-28,10
2016-08-29,49
2016-08-30,30
2016-08-31,33
2016-09-01,47
2016-09-02,43
2016-09-03,13
2016-09-04,13
2016-09-05,11
2016-09-06,35
2016-09-07,55
2016-09-08,42
2016-09-09,37
2016-09-10,19
2016-09-11,16
