date,SYMC stock
2017-01-19,10
2017-01-20,41
2017-01-21,23
2017-01-22,22
2017-01-23,20
2017-01-24,30
2017-01-25,30
2017-01-26,20
2017-01-27,37
2017-01-28,12
2017-01-29,0
2017-01-30,15
2017-01-31,30
2017-02-01,53
2017-02-02,40
2017-02-03,47
2017-02-04,45
2017-02-05,11
2017-02-06,29
2017-02-07,34
2017-02-08,25
2017-02-09,25
2017-02-10,31
2017-02-11,34
2017-02-12,0
2017-02-13,15
2017-02-14,44
2017-02-15,35
2017-02-16,49
2017-02-17,55
2017-02-18,11
2017-02-19,0
2017-02-20,0
2017-02-21,15
2017-02-22,15
2017-02-23,30
2017-02-24,10
2017-02-25,23
2017-02-26,11
2017-02-27,34
2017-02-28,19
2017-03-01,14
2017-03-02,38
2017-03-03,15
2017-03-04,17
2017-03-05,11
2017-03-06,14
2017-03-07,19
2017-03-08,10
2017-03-09,29
2017-03-10,41
2017-03-11,11
2017-03-12,11
2017-03-13,50
2017-03-14,54
2017-03-15,29
2017-03-16,34
2017-03-17,15
2017-03-18,11
2017-03-19,0
2017-03-20,10
2017-03-21,44
2017-03-22,24
2017-03-23,30
2017-03-24,51
2017-03-25,12
2017-03-26,11
2017-03-27,20
2017-03-28,10
2017-03-29,30
2017-03-30,15
2017-03-31,51
2017-04-01,11
2017-04-02,0
2017-04-03,10
2017-04-04,20
2017-04-05,10
2017-04-06,0
2017-04-07,20
2017-04-08,23
2017-04-09,0
2017-04-10,20
2017-04-11,15
2017-04-12,25
2017-04-13,32
2017-04-14,22
2017-04-15,0
2017-04-16,12
2017-04-17,10
2017-04-18,15
2017-04-19,24
2017-04-20,0
2017-04-21,21
2017-04-22,11
2017-04-23,0
2017-04-24,29
2017-04-25,39
2017-04-26,19
2017-04-27,10
2017-04-28,31
2017-04-29,0
2017-04-30,0
2017-05-01,16
2017-05-02,15
2017-05-03,34
2017-05-04,30
2017-05-05,31
2017-05-06,23
2017-05-07,0
2017-05-08,10
2017-05-09,34
2017-05-10,44
2017-05-11,50
2017-05-12,21
2017-05-13,0
2017-05-14,23
2017-05-15,68
2017-05-16,42
2017-05-17,16
2017-05-18,42
2017-05-19,33
2017-05-20,12
2017-05-21,0
2017-05-22,21
2017-05-23,31
2017-05-24,32
2017-05-25,11
2017-05-26,11
2017-05-27,13
2017-05-28,38
2017-05-29,11
2017-05-30,10
2017-05-31,15
2017-06-01,48
2017-06-02,11
2017-06-03,12
2017-06-04,0
2017-06-05,37
2017-06-06,31
2017-06-07,26
2017-06-08,61
2017-06-09,32
2017-06-10,19
2017-06-11,0
2017-06-12,20
2017-06-13,30
2017-06-14,21
2017-06-15,11
2017-06-16,22
2017-06-17,13
2017-06-18,0
2017-06-19,21
2017-06-20,40
2017-06-21,25
2017-06-22,21
2017-06-23,16
2017-06-24,0
2017-06-25,18
2017-06-26,64
2017-06-27,43
2017-06-28,27
2017-06-29,11
2017-06-30,34
2017-07-01,19
2017-07-02,12
2017-07-03,22
2017-07-04,27
2017-07-05,22
2017-07-06,16
2017-07-07,22
2017-07-08,25
2017-07-09,12
2017-07-10,21
2017-07-11,42
2017-07-12,32
2017-07-13,54
2017-07-14,55
2017-07-15,12
2017-07-16,13
2017-07-17,27
2017-07-18,27
2017-07-19,48
2017-07-20,27
2017-07-21,28
2017-07-22,12
2017-07-23,0
2017-07-24,37
2017-07-25,21
2017-07-26,52
2017-07-27,11
2017-07-28,16
2017-07-29,12
2017-07-30,0
2017-07-31,10
2017-08-01,40
2017-08-02,49
2017-08-03,93
2017-08-04,54
2017-08-05,12
2017-08-06,0
2017-08-07,45
2017-08-08,54
2017-08-09,35
2017-08-10,16
2017-08-11,32
2017-08-12,24
2017-08-13,0
2017-08-14,37
2017-08-15,32
2017-08-16,31
2017-08-17,36
2017-08-18,16
2017-08-19,12
2017-08-20,12
2017-08-21,20
2017-08-22,15
2017-08-23,31
2017-08-24,36
2017-08-25,22
2017-08-26,24
2017-08-27,12
2017-08-28,26
2017-08-29,35
2017-08-30,26
2017-08-31,46
2017-09-01,32
2017-09-02,36
2017-09-03,35
2017-09-04,21
2017-09-05,30
2017-09-06,15
2017-09-07,26
2017-09-08,100
2017-09-09,23
2017-09-10,0
2017-09-11,60
2017-09-12,60
2017-09-13,84
2017-09-14,35
2017-09-15,57
2017-09-16,0
2017-09-17,11
2017-09-18,60
2017-09-19,65
2017-09-20,60
2017-09-21,35
2017-09-22,37
2017-09-23,12
2017-09-24,11
2017-09-25,35
2017-09-26,40
2017-09-27,20
2017-09-28,25
2017-09-29,21
2017-09-30,12
2017-10-01,11
2017-10-02,15
2017-10-03,25
2017-10-04,25
2017-10-05,25
2017-10-06,31
