date,Cintas,isPartial
2013-06-29,60,False
2013-06-30,54,False
2013-07-01,65,False
2013-07-02,72,False
2013-07-03,74,False
2013-07-04,65,False
2013-07-05,68,False
2013-07-06,53,False
2013-07-07,45,False
2013-07-08,82,False
2013-07-09,87,False
2013-07-10,85,False
2013-07-11,82,False
2013-07-12,74,False
2013-07-13,56,False
2013-07-14,49,False
2013-07-15,72,False
2013-07-16,83,False
2013-07-17,79,False
2013-07-18,72,False
2013-07-19,65,False
2013-07-20,53,False
2013-07-21,46,False
2013-07-22,85,False
2013-07-23,83,False
2013-07-24,75,False
2013-07-25,76,False
2013-07-26,80,False
2013-07-27,65,False
2013-07-28,49,False
2013-07-29,84,False
2013-07-30,75,False
2013-07-31,90,False
2013-08-01,79,False
2013-08-02,89,False
2013-08-03,62,False
2013-08-04,56,False
2013-08-05,82,False
2013-08-06,83,False
2013-08-07,84,False
2013-08-08,75,False
2013-08-09,85,False
2013-08-10,59,False
2013-08-11,49,False
2013-08-12,85,False
2013-08-13,86,False
2013-08-14,86,False
2013-08-15,86,False
2013-08-16,79,False
2013-08-17,62,False
2013-08-18,49,False
2013-08-19,74,False
2013-08-20,86,False
2013-08-21,84,False
2013-08-22,81,False
2013-08-23,79,False
2013-08-24,52,False
2013-08-25,53,False
2013-08-26,85,False
2013-08-27,75,False
2013-08-28,82,False
2013-08-29,78,False
2013-08-30,58,False
2013-08-31,61,False
2013-09-01,54,False
2013-09-02,62,False
2013-09-03,81,False
2013-09-04,86,False
2013-09-05,83,False
2013-09-06,74,False
2013-09-07,57,False
2013-09-08,46,False
2013-09-09,73,False
2013-09-10,78,False
2013-09-11,78,False
2013-09-12,79,False
2013-09-13,85,False
2013-09-14,61,False
2013-09-15,51,False
2013-09-16,76,False
2013-09-17,82,False
2013-09-18,82,False
2013-09-19,98,False
2013-09-20,87,False
2013-09-21,64,False
2013-09-22,52,False
2013-09-23,78,False
2013-09-24,70,False
2013-09-25,81,False
2013-09-26,87,False
2013-09-27,73,False
2013-09-28,60,False
2013-09-29,53,False
2013-09-30,80,False
2013-10-01,88,False
2013-10-02,98,False
2013-10-03,85,False
2013-10-04,82,False
2013-10-05,53,False
2013-10-06,47,False
2013-10-07,79,False
2013-10-08,77,False
2013-10-09,90,False
2013-10-10,81,False
2013-10-11,83,False
2013-10-12,61,False
2013-10-13,48,False
2013-10-14,79,False
2013-10-15,90,False
2013-10-16,89,False
2013-10-17,92,False
2013-10-18,84,False
2013-10-19,55,False
2013-10-20,54,False
2013-10-21,82,False
2013-10-22,89,False
2013-10-23,92,False
2013-10-24,80,False
2013-10-25,79,False
2013-10-26,58,False
2013-10-27,59,False
2013-10-28,78,False
2013-10-29,89,False
2013-10-30,86,False
2013-10-31,75,False
2013-11-01,72,False
2013-11-02,56,False
2013-11-03,50,False
2013-11-04,94,False
2013-11-05,100,False
2013-11-06,79,False
2013-11-07,89,False
2013-11-08,79,False
2013-11-09,68,False
2013-11-10,51,False
2013-11-11,78,False
2013-11-12,89,False
2013-11-13,84,False
2013-11-14,78,False
2013-11-15,88,False
2013-11-16,65,False
2013-11-17,55,False
2013-11-18,87,False
2013-11-19,90,False
2013-11-20,79,False
2013-11-21,86,False
2013-11-22,79,False
2013-11-23,52,False
2013-11-24,52,False
2013-11-25,84,False
2013-11-26,83,False
2013-11-27,82,False
2013-11-28,83,False
2013-11-29,68,False
2013-11-30,55,False
2013-12-01,60,False
2013-12-02,75,False
2013-12-03,92,False
2013-12-04,80,False
2013-12-05,83,False
2013-12-06,81,False
2013-12-07,60,False
2013-12-08,58,False
2013-12-09,85,False
2013-12-10,86,False
2013-12-11,85,False
2013-12-12,71,False
2013-12-13,78,False
2013-12-14,55,False
2013-12-15,53,False
2013-12-16,69,False
2013-12-17,73,False
2013-12-18,79,False
2013-12-19,77,False
2013-12-20,68,False
2013-12-21,60,False
2013-12-22,41,False
2013-12-23,62,False
2013-12-24,55,False
2013-12-25,34,False
2013-12-26,59,False
2013-12-27,56,False
2013-12-28,47,False
2013-12-29,44,False
2013-12-30,74,False
2013-12-31,55,False
2014-01-01,35,False
2014-01-02,60,False
2014-01-03,80,False
2014-01-04,55,False
2014-01-05,53,False
2014-01-06,56,False
2014-01-07,57,False
2014-01-08,83,False
2014-01-09,73,False
2014-01-10,75,False
2014-01-11,51,False
2014-01-12,43,False
2014-01-13,71,False
2014-01-14,69,False
2014-01-15,65,False
2014-01-16,77,False
2014-01-17,73,False
2014-01-18,53,False
2014-01-19,51,False
2014-01-20,80,False
2014-01-21,79,False
2014-01-22,80,False
2014-01-23,84,False
2014-01-24,74,False
2014-01-25,56,False
2014-01-26,52,False
2014-01-27,73,False
2014-01-28,89,False
2014-01-29,76,False
2014-01-30,76,False
2014-01-31,73,False
2014-02-01,55,False
2014-02-02,52,False
2014-02-03,72,False
2014-02-04,73,False
2014-02-05,77,False
2014-02-06,92,False
2014-02-07,75,False
2014-02-08,49,False
2014-02-09,50,False
2014-02-10,77,False
2014-02-11,79,False
2014-02-12,78,False
2014-02-13,74,False
2014-02-14,67,False
2014-02-15,49,False
2014-02-16,57,False
2014-02-17,71,False
2014-02-18,84,False
2014-02-19,82,False
2014-02-20,77,False
2014-02-21,71,False
2014-02-22,55,False
2014-02-23,48,False
2014-02-24,75,False
2014-02-25,87,False
2014-02-26,83,False
2014-02-27,77,False
2014-02-28,80,False
2014-03-01,57,False
2014-03-02,52,False
2014-03-03,64,False
2014-03-04,71,False
2014-03-05,85,False
2014-03-06,74,False
2014-03-07,73,False
2014-03-08,59,False
2014-03-09,54,False
2014-03-10,72,False
2014-03-11,80,False
2014-03-12,81,False
2014-03-13,83,False
2014-03-14,70,False
2014-03-15,50,False
2014-03-16,52,False
