date,Cintas,isPartial
2014-07-24,83,False
2014-07-25,76,False
2014-07-26,51,False
2014-07-27,53,False
2014-07-28,84,False
2014-07-29,85,False
2014-07-30,100,False
2014-07-31,90,False
2014-08-01,69,False
2014-08-02,60,False
2014-08-03,50,False
2014-08-04,66,False
2014-08-05,90,False
2014-08-06,85,False
2014-08-07,89,False
2014-08-08,65,False
2014-08-09,57,False
2014-08-10,38,False
2014-08-11,76,False
2014-08-12,86,False
2014-08-13,89,False
2014-08-14,87,False
2014-08-15,67,False
2014-08-16,58,False
2014-08-17,62,False
2014-08-18,62,False
2014-08-19,77,False
2014-08-20,74,False
2014-08-21,95,False
2014-08-22,85,False
2014-08-23,53,False
2014-08-24,59,False
2014-08-25,75,False
2014-08-26,84,False
2014-08-27,82,False
2014-08-28,83,False
2014-08-29,80,False
2014-08-30,57,False
2014-08-31,53,False
2014-09-01,75,False
2014-09-02,74,False
2014-09-03,85,False
2014-09-04,92,False
2014-09-05,80,False
2014-09-06,59,False
2014-09-07,53,False
2014-09-08,80,False
2014-09-09,79,False
2014-09-10,93,False
2014-09-11,87,False
2014-09-12,74,False
2014-09-13,66,False
2014-09-14,65,False
2014-09-15,77,False
2014-09-16,78,False
2014-09-17,85,False
2014-09-18,77,False
2014-09-19,75,False
2014-09-20,54,False
2014-09-21,53,False
2014-09-22,90,False
2014-09-23,87,False
2014-09-24,91,False
2014-09-25,80,False
2014-09-26,69,False
2014-09-27,56,False
2014-09-28,45,False
2014-09-29,62,False
2014-09-30,88,False
2014-10-01,70,False
2014-10-02,84,False
2014-10-03,85,False
2014-10-04,71,False
2014-10-05,51,False
2014-10-06,65,False
2014-10-07,86,False
2014-10-08,80,False
2014-10-09,85,False
2014-10-10,69,False
2014-10-11,55,False
2014-10-12,63,False
2014-10-13,83,False
2014-10-14,84,False
2014-10-15,87,False
2014-10-16,79,False
2014-10-17,80,False
2014-10-18,53,False
2014-10-19,49,False
2014-10-20,70,False
2014-10-21,93,False
2014-10-22,79,False
2014-10-23,81,False
2014-10-24,89,False
2014-10-25,54,False
2014-10-26,40,False
2014-10-27,70,False
2014-10-28,82,False
2014-10-29,94,False
2014-10-30,89,False
2014-10-31,62,False
2014-11-01,67,False
2014-11-02,60,False
2014-11-03,77,False
2014-11-04,75,False
2014-11-05,72,False
2014-11-06,77,False
2014-11-07,97,False
2014-11-08,56,False
2014-11-09,60,False
2014-11-10,83,False
2014-11-11,80,False
2014-11-12,96,False
2014-11-13,96,False
2014-11-14,79,False
2014-11-15,58,False
2014-11-16,54,False
2014-11-17,71,False
2014-11-18,69,False
2014-11-19,96,False
2014-11-20,84,False
2014-11-21,84,False
2014-11-22,56,False
2014-11-23,57,False
2014-11-24,74,False
2014-11-25,84,False
2014-11-26,85,False
2014-11-27,73,False
2014-11-28,65,False
2014-11-29,44,False
2014-11-30,50,False
2014-12-01,75,False
2014-12-02,73,False
2014-12-03,85,False
2014-12-04,87,False
2014-12-05,69,False
2014-12-06,54,False
2014-12-07,67,False
2014-12-08,71,False
2014-12-09,78,False
2014-12-10,86,False
2014-12-11,77,False
2014-12-12,74,False
