date,online trading,isPartial
2014-03-16,59,False
2014-03-17,59,False
2014-03-18,45,False
2014-03-19,57,False
2014-03-20,61,False
2014-03-21,67,False
2014-03-22,61,False
2014-03-23,41,False
2014-03-24,75,False
2014-03-25,63,False
2014-03-26,75,False
2014-03-27,55,False
2014-03-28,78,False
2014-03-29,55,False
2014-03-30,57,False
2014-03-31,63,False
2014-04-01,63,False
2014-04-02,66,False
2014-04-03,77,False
2014-04-04,76,False
2014-04-05,64,False
2014-04-06,72,False
2014-04-07,74,False
2014-04-08,64,False
2014-04-09,52,False
2014-04-10,53,False
2014-04-11,66,False
2014-04-12,73,False
2014-04-13,52,False
2014-04-14,58,False
2014-04-15,61,False
2014-04-16,68,False
2014-04-17,76,False
2014-04-18,67,False
2014-04-19,56,False
2014-04-20,64,False
2014-04-21,53,False
2014-04-22,70,False
2014-04-23,75,False
2014-04-24,62,False
2014-04-25,70,False
2014-04-26,51,False
2014-04-27,61,False
2014-04-28,68,False
2014-04-29,71,False
2014-04-30,61,False
2014-05-01,50,False
2014-05-02,59,False
2014-05-03,64,False
2014-05-04,60,False
2014-05-05,60,False
2014-05-06,60,False
2014-05-07,67,False
2014-05-08,64,False
2014-05-09,62,False
2014-05-10,51,False
2014-05-11,49,False
2014-05-12,77,False
2014-05-13,66,False
2014-05-14,71,False
2014-05-15,57,False
2014-05-16,70,False
2014-05-17,58,False
2014-05-18,46,False
2014-05-19,63,False
2014-05-20,66,False
2014-05-21,69,False
2014-05-22,71,False
2014-05-23,71,False
2014-05-24,65,False
2014-05-25,55,False
2014-05-26,49,False
2014-05-27,69,False
2014-05-28,58,False
2014-05-29,74,False
2014-05-30,64,False
2014-05-31,57,False
2014-06-01,46,False
2014-06-02,74,False
2014-06-03,53,False
2014-06-04,65,False
2014-06-05,72,False
2014-06-06,69,False
2014-06-07,50,False
2014-06-08,56,False
2014-06-09,79,False
2014-06-10,73,False
2014-06-11,73,False
2014-06-12,71,False
2014-06-13,58,False
2014-06-14,53,False
2014-06-15,58,False
2014-06-16,58,False
2014-06-17,61,False
2014-06-18,61,False
2014-06-19,70,False
2014-06-20,59,False
2014-06-21,44,False
2014-06-22,55,False
2014-06-23,74,False
2014-06-24,62,False
2014-06-25,55,False
2014-06-26,64,False
2014-06-27,74,False
2014-06-28,40,False
2014-06-29,56,False
2014-06-30,72,False
2014-07-01,67,False
2014-07-02,66,False
2014-07-03,82,False
2014-07-04,66,False
2014-07-05,44,False
2014-07-06,47,False
2014-07-07,78,False
2014-07-08,70,False
2014-07-09,48,False
2014-07-10,84,False
2014-07-11,70,False
2014-07-12,49,False
2014-07-13,53,False
2014-07-14,71,False
2014-07-15,76,False
2014-07-16,68,False
2014-07-17,73,False
2014-07-18,63,False
2014-07-19,42,False
2014-07-20,55,False
2014-07-21,73,False
2014-07-22,72,False
2014-07-23,67,False
2014-07-24,70,False
2014-07-25,61,False
2014-07-26,54,False
2014-07-27,59,False
2014-07-28,76,False
2014-07-29,59,False
2014-07-30,56,False
2014-07-31,71,False
2014-08-01,57,False
2014-08-02,44,False
2014-08-03,54,False
2014-08-04,69,False
2014-08-05,76,False
2014-08-06,64,False
2014-08-07,83,False
2014-08-08,58,False
2014-08-09,62,False
2014-08-10,51,False
2014-08-11,66,False
2014-08-12,58,False
2014-08-13,74,False
2014-08-14,69,False
2014-08-15,47,False
2014-08-16,52,False
2014-08-17,61,False
2014-08-18,69,False
2014-08-19,85,False
2014-08-20,60,False
2014-08-21,73,False
2014-08-22,65,False
2014-08-23,58,False
2014-08-24,57,False
2014-08-25,76,False
2014-08-26,65,False
2014-08-27,57,False
2014-08-28,59,False
2014-08-29,64,False
2014-08-30,72,False
2014-08-31,48,False
2014-09-01,70,False
2014-09-02,88,False
2014-09-03,77,False
2014-09-04,65,False
2014-09-05,58,False
2014-09-06,55,False
2014-09-07,49,False
2014-09-08,67,False
2014-09-09,74,False
2014-09-10,72,False
2014-09-11,64,False
2014-09-12,72,False
2014-09-13,61,False
2014-09-14,52,False
2014-09-15,73,False
2014-09-16,74,False
2014-09-17,67,False
2014-09-18,66,False
2014-09-19,71,False
2014-09-20,51,False
2014-09-21,52,False
2014-09-22,100,False
2014-09-23,96,False
2014-09-24,80,False
2014-09-25,83,False
2014-09-26,69,False
2014-09-27,64,False
2014-09-28,42,False
2014-09-29,72,False
2014-09-30,64,False
2014-10-01,72,False
2014-10-02,57,False
2014-10-03,53,False
2014-10-04,70,False
2014-10-05,51,False
2014-10-06,70,False
2014-10-07,64,False
2014-10-08,70,False
2014-10-09,72,False
2014-10-10,63,False
2014-10-11,55,False
2014-10-12,42,False
2014-10-13,92,False
2014-10-14,63,False
2014-10-15,67,False
2014-10-16,73,False
2014-10-17,75,False
2014-10-18,55,False
2014-10-19,49,False
2014-10-20,80,False
2014-10-21,77,False
2014-10-22,66,False
2014-10-23,69,False
2014-10-24,59,False
2014-10-25,60,False
2014-10-26,67,False
2014-10-27,79,False
2014-10-28,67,False
2014-10-29,67,False
2014-10-30,64,False
2014-10-31,63,False
2014-11-01,67,False
2014-11-02,60,False
2014-11-03,80,False
2014-11-04,63,False
2014-11-05,61,False
2014-11-06,71,False
2014-11-07,67,False
2014-11-08,56,False
2014-11-09,58,False
2014-11-10,75,False
2014-11-11,72,False
2014-11-12,72,False
2014-11-13,81,False
2014-11-14,53,False
2014-11-15,57,False
2014-11-16,53,False
2014-11-17,62,False
2014-11-18,69,False
2014-11-19,68,False
2014-11-20,52,False
2014-11-21,57,False
2014-11-22,52,False
2014-11-23,48,False
2014-11-24,72,False
2014-11-25,74,False
2014-11-26,44,False
2014-11-27,53,False
2014-11-28,44,False
2014-11-29,50,False
2014-11-30,56,False
2014-12-01,74,False
