date,online trading,isPartial
2014-12-01,62,False
2014-12-02,84,False
2014-12-03,81,False
2014-12-04,61,False
2014-12-05,81,False
2014-12-06,67,False
2014-12-07,74,False
2014-12-08,87,False
2014-12-09,85,False
2014-12-10,66,False
2014-12-11,58,False
2014-12-12,65,False
2014-12-13,76,False
2014-12-14,86,False
2014-12-15,84,False
2014-12-16,100,False
2014-12-17,83,False
2014-12-18,90,False
2014-12-19,72,False
2014-12-20,71,False
2014-12-21,70,False
2014-12-22,98,False
2014-12-23,80,False
2014-12-24,60,False
2014-12-25,76,False
2014-12-26,56,False
2014-12-27,42,False
2014-12-28,73,False
2014-12-29,75,False
2014-12-30,65,False
2014-12-31,69,False
2015-01-01,59,False
2015-01-02,84,False
2015-01-03,65,False
2015-01-04,57,False
2015-01-05,74,False
2015-01-06,64,False
2015-01-07,89,False
2015-01-08,79,False
2015-01-09,71,False
2015-01-10,64,False
2015-01-11,60,False
2015-01-12,72,False
2015-01-13,78,False
2015-01-14,76,False
2015-01-15,66,False
2015-01-16,65,False
2015-01-17,60,False
2015-01-18,41,False
2015-01-19,89,False
2015-01-20,85,False
2015-01-21,71,False
2015-01-22,80,False
2015-01-23,62,False
2015-01-24,68,False
2015-01-25,68,False
2015-01-26,72,False
2015-01-27,85,False
2015-01-28,76,False
2015-01-29,79,False
2015-01-30,94,False
2015-01-31,67,False
2015-02-01,45,False
2015-02-02,80,False
2015-02-03,70,False
2015-02-04,75,False
2015-02-05,69,False
2015-02-06,74,False
2015-02-07,84,False
2015-02-08,67,False
2015-02-09,78,False
2015-02-10,82,False
2015-02-11,75,False
2015-02-12,70,False
2015-02-13,72,False
2015-02-14,68,False
2015-02-15,61,False
2015-02-16,72,False
2015-02-17,74,False
2015-02-18,68,False
2015-02-19,74,False
2015-02-20,75,False
2015-02-21,77,False
2015-02-22,60,False
2015-02-23,69,False
2015-02-24,83,False
2015-02-25,86,False
2015-02-26,77,False
2015-02-27,64,False
2015-02-28,79,False
2015-03-01,69,False
2015-03-02,70,False
2015-03-03,70,False
2015-03-04,67,False
2015-03-05,79,False
2015-03-06,71,False
2015-03-07,77,False
