date,online trading,isPartial
2010-08-24,73,False
2010-08-25,66,False
2010-08-26,70,False
2010-08-27,72,False
2010-08-28,55,False
2010-08-29,74,False
2010-08-30,64,False
2010-08-31,66,False
2010-09-01,75,False
2010-09-02,80,False
2010-09-03,75,False
2010-09-04,57,False
2010-09-05,59,False
2010-09-06,73,False
2010-09-07,61,False
2010-09-08,74,False
2010-09-09,80,False
2010-09-10,57,False
2010-09-11,61,False
2010-09-12,71,False
2010-09-13,78,False
2010-09-14,62,False
2010-09-15,62,False
2010-09-16,51,False
2010-09-17,86,False
2010-09-18,52,False
2010-09-19,61,False
2010-09-20,69,False
2010-09-21,77,False
2010-09-22,73,False
2010-09-23,91,False
2010-09-24,85,False
2010-09-25,63,False
2010-09-26,69,False
2010-09-27,69,False
2010-09-28,75,False
2010-09-29,76,False
2010-09-30,69,False
2010-10-01,77,False
2010-10-02,62,False
2010-10-03,52,False
2010-10-04,72,False
2010-10-05,74,False
2010-10-06,81,False
2010-10-07,93,False
2010-10-08,76,False
2010-10-09,53,False
2010-10-10,77,False
2010-10-11,89,False
2010-10-12,75,False
2010-10-13,68,False
2010-10-14,84,False
2010-10-15,78,False
2010-10-16,66,False
2010-10-17,54,False
2010-10-18,84,False
2010-10-19,91,False
2010-10-20,87,False
2010-10-21,87,False
2010-10-22,71,False
2010-10-23,57,False
2010-10-24,52,False
2010-10-25,90,False
2010-10-26,94,False
2010-10-27,71,False
2010-10-28,83,False
2010-10-29,63,False
2010-10-30,62,False
2010-10-31,57,False
2010-11-01,73,False
2010-11-02,87,False
2010-11-03,67,False
2010-11-04,72,False
2010-11-05,87,False
2010-11-06,71,False
2010-11-07,60,False
2010-11-08,99,False
2010-11-09,88,False
2010-11-10,90,False
2010-11-11,91,False
2010-11-12,100,False
2010-11-13,66,False
2010-11-14,56,False
2010-11-15,81,False
2010-11-16,80,False
2010-11-17,62,False
2010-11-18,68,False
2010-11-19,72,False
2010-11-20,55,False
2010-11-21,70,False
2010-11-22,77,False
2010-11-23,84,False
2010-11-24,73,False
2010-11-25,76,False
2010-11-26,81,False
2010-11-27,58,False
2010-11-28,49,False
2010-11-29,76,False
2010-11-30,63,False
2010-12-01,86,False
2010-12-02,68,False
2010-12-03,80,False
2010-12-04,69,False
2010-12-05,61,False
2010-12-06,72,False
2010-12-07,77,False
2010-12-08,80,False
2010-12-09,72,False
2010-12-10,68,False
2010-12-11,68,False
2010-12-12,60,False
2010-12-13,80,False
2010-12-14,75,False
2010-12-15,68,False
2010-12-16,77,False
2010-12-17,74,False
2010-12-18,63,False
2010-12-19,41,False
2010-12-20,68,False
2010-12-21,70,False
2010-12-22,76,False
2010-12-23,71,False
2010-12-24,65,False
2010-12-25,50,False
2010-12-26,70,False
2010-12-27,79,False
2010-12-28,78,False
2010-12-29,76,False
2010-12-30,77,False
2010-12-31,89,False
2011-01-01,67,False
2011-01-02,61,False
2011-01-03,76,False
2011-01-04,89,False
2011-01-05,86,False
2011-01-06,90,False
2011-01-07,68,False
2011-01-08,73,False
2011-01-09,54,False
2011-01-10,77,False
2011-01-11,60,False
2011-01-12,92,False
2011-01-13,73,False
2011-01-14,89,False
2011-01-15,71,False
2011-01-16,61,False
2011-01-17,69,False
2011-01-18,72,False
2011-01-19,83,False
2011-01-20,78,False
2011-01-21,72,False
2011-01-22,74,False
2011-01-23,61,False
2011-01-24,78,False
