date,Monster Beverage,isPartial
2013-02-19,43,False
2013-02-20,43,False
2013-02-21,59,False
2013-02-22,0,False
2013-02-23,17,False
2013-02-24,17,False
2013-02-25,42,False
2013-02-26,29,False
2013-02-27,100,False
2013-02-28,29,False
2013-03-01,15,False
2013-03-02,17,False
2013-03-03,17,False
2013-03-04,14,False
2013-03-05,29,False
2013-03-06,0,False
2013-03-07,0,False
2013-03-08,30,False
2013-03-09,0,False
2013-03-10,0,False
2013-03-11,14,False
2013-03-12,14,False
2013-03-13,28,False
2013-03-14,14,False
2013-03-15,15,False
2013-03-16,0,False
2013-03-17,0,False
2013-03-18,14,False
2013-03-19,29,False
2013-03-20,43,False
2013-03-21,29,False
2013-03-22,29,False
2013-03-23,17,False
2013-03-24,0,False
2013-03-25,14,False
2013-03-26,43,False
2013-03-27,0,False
2013-03-28,0,False
2013-03-29,16,False
2013-03-30,18,False
2013-03-31,0,False
2013-04-01,15,False
2013-04-02,0,False
2013-04-03,0,False
2013-04-04,14,False
2013-04-05,44,False
2013-04-06,17,False
2013-04-07,33,False
2013-04-08,28,False
2013-04-09,70,False
2013-04-10,14,False
2013-04-11,43,False
2013-04-12,0,False
2013-04-13,17,False
2013-04-14,17,False
2013-04-15,14,False
2013-04-16,0,False
2013-04-17,29,False
2013-04-18,43,False
2013-04-19,15,False
2013-04-20,51,False
2013-04-21,0,False
2013-04-22,42,False
2013-04-23,42,False
2013-04-24,14,False
2013-04-25,44,False
2013-04-26,15,False
2013-04-27,34,False
2013-04-28,17,False
2013-04-29,42,False
2013-04-30,29,False
2013-05-01,47,False
2013-05-02,58,False
2013-05-03,15,False
2013-05-04,17,False
2013-05-05,69,False
2013-05-06,72,False
2013-05-07,14,False
2013-05-08,29,False
2013-05-09,87,False
2013-05-10,30,False
2013-05-11,17,False
2013-05-12,34,False
2013-05-13,42,False
2013-05-14,0,False
2013-05-15,14,False
2013-05-16,42,False
2013-05-17,30,False
2013-05-18,0,False
2013-05-19,0,False
2013-05-20,28,False
2013-05-21,42,False
2013-05-22,14,False
2013-05-23,14,False
2013-05-24,29,False
2013-05-25,0,False
2013-05-26,0,False
2013-05-27,0,False
2013-05-28,14,False
2013-05-29,0,False
2013-05-30,28,False
2013-05-31,15,False
2013-06-01,17,False
2013-06-02,0,False
2013-06-03,42,False
2013-06-04,28,False
2013-06-05,70,False
2013-06-06,28,False
2013-06-07,15,False
2013-06-08,17,False
2013-06-09,17,False
2013-06-10,14,False
2013-06-11,28,False
2013-06-12,28,False
2013-06-13,70,False
2013-06-14,59,False
2013-06-15,35,False
2013-06-16,34,False
2013-06-17,55,False
2013-06-18,70,False
2013-06-19,14,False
2013-06-20,0,False
2013-06-21,0,False
2013-06-22,18,False
2013-06-23,0,False
2013-06-24,28,False
2013-06-25,28,False
2013-06-26,42,False
2013-06-27,42,False
2013-06-28,30,False
2013-06-29,0,False
2013-06-30,0,False
2013-07-01,14,False
2013-07-02,0,False
2013-07-03,29,False
2013-07-04,75,False
2013-07-05,16,False
