date,eBay,isPartial
2017-05-29,81,False
2017-05-30,75,False
2017-05-31,74,False
2017-06-01,74,False
2017-06-02,71,False
2017-06-03,75,False
2017-06-04,84,False
2017-06-05,80,False
2017-06-06,79,False
2017-06-07,75,False
2017-06-08,72,False
2017-06-09,73,False
2017-06-10,79,False
2017-06-11,85,False
2017-06-12,78,False
2017-06-13,75,False
2017-06-14,72,False
2017-06-15,75,False
2017-06-16,75,False
2017-06-17,76,False
2017-06-18,81,False
2017-06-19,75,False
2017-06-20,72,False
2017-06-21,73,False
2017-06-22,74,False
2017-06-23,71,False
2017-06-24,76,False
2017-06-25,87,False
2017-06-26,76,False
2017-06-27,77,False
2017-06-28,76,False
2017-06-29,74,False
2017-06-30,72,False
2017-07-01,77,False
2017-07-02,87,False
2017-07-03,76,False
2017-07-04,77,False
2017-07-05,75,False
2017-07-06,76,False
2017-07-07,71,False
2017-07-08,75,False
2017-07-09,85,False
2017-07-10,76,False
2017-07-11,79,False
2017-07-12,77,False
2017-07-13,72,False
2017-07-14,72,False
2017-07-15,79,False
2017-07-16,88,False
2017-07-17,77,False
2017-07-18,73,False
2017-07-19,75,False
2017-07-20,75,False
2017-07-21,71,False
2017-07-22,81,False
2017-07-23,85,False
2017-07-24,81,False
2017-07-25,77,False
2017-07-26,79,False
2017-07-27,77,False
2017-07-28,76,False
2017-07-29,82,False
2017-07-30,88,False
2017-07-31,82,False
2017-08-01,80,False
2017-08-02,81,False
2017-08-03,80,False
2017-08-04,77,False
2017-08-05,80,False
2017-08-06,87,False
2017-08-07,82,False
2017-08-08,82,False
2017-08-09,79,False
2017-08-10,77,False
2017-08-11,77,False
2017-08-12,82,False
2017-08-13,87,False
2017-08-14,80,False
2017-08-15,79,False
2017-08-16,78,False
2017-08-17,76,False
2017-08-18,76,False
2017-08-19,80,False
2017-08-20,88,False
2017-08-21,79,False
2017-08-22,80,False
2017-08-23,76,False
2017-08-24,76,False
2017-08-25,76,False
2017-08-26,77,False
2017-08-27,83,False
2017-08-28,79,False
2017-08-29,77,False
2017-08-30,79,False
2017-08-31,77,False
2017-09-01,79,False
2017-09-02,81,False
2017-09-03,92,False
2017-09-04,80,False
2017-09-05,77,False
2017-09-06,77,False
2017-09-07,74,False
2017-09-08,74,False
2017-09-09,82,False
2017-09-10,88,False
2017-09-11,77,False
2017-09-12,77,False
2017-09-13,77,False
2017-09-14,77,False
2017-09-15,77,False
2017-09-16,82,False
2017-09-17,90,False
2017-09-18,80,False
2017-09-19,76,False
2017-09-20,76,False
2017-09-21,76,False
2017-09-22,75,False
2017-09-23,76,False
2017-09-24,89,False
2017-09-25,79,False
2017-09-26,78,False
2017-09-27,76,False
2017-09-28,75,False
2017-09-29,77,False
2017-09-30,84,False
2017-10-01,90,False
2017-10-02,78,False
2017-10-03,81,False
2017-10-04,78,False
2017-10-05,78,False
2017-10-06,76,False
2017-10-07,83,False
2017-10-08,95,False
2017-10-09,81,False
2017-10-10,78,False
2017-10-11,79,False
2017-10-12,78,False
2017-10-13,75,False
2017-10-14,79,False
2017-10-15,88,False
2017-10-16,79,False
2017-10-17,78,False
2017-10-18,73,False
2017-10-19,76,False
2017-10-20,76,False
2017-10-21,83,False
2017-10-22,91,False
2017-10-23,83,False
2017-10-24,77,False
2017-10-25,76,False
2017-10-26,75,False
2017-10-27,72,False
