date,eBay,isPartial
2014-12-01,91,False
2014-12-02,85,False
2014-12-03,84,False
2014-12-04,83,False
2014-12-05,83,False
2014-12-06,89,False
2014-12-07,100,False
2014-12-08,89,False
2014-12-09,88,False
2014-12-10,83,False
2014-12-11,84,False
2014-12-12,82,False
2014-12-13,91,False
2014-12-14,99,False
2014-12-15,86,False
2014-12-16,86,False
2014-12-17,82,False
2014-12-18,80,False
2014-12-19,76,False
2014-12-20,78,False
2014-12-21,84,False
2014-12-22,73,False
2014-12-23,71,False
2014-12-24,64,False
2014-12-25,76,False
2014-12-26,87,False
2014-12-27,89,False
2014-12-28,87,False
2014-12-29,83,False
2014-12-30,83,False
2014-12-31,70,False
2015-01-01,81,False
2015-01-02,87,False
2015-01-03,90,False
2015-01-04,95,False
2015-01-05,81,False
2015-01-06,80,False
2015-01-07,78,False
2015-01-08,79,False
2015-01-09,77,False
2015-01-10,87,False
2015-01-11,94,False
2015-01-12,81,False
2015-01-13,80,False
2015-01-14,80,False
2015-01-15,80,False
2015-01-16,76,False
2015-01-17,86,False
2015-01-18,93,False
2015-01-19,81,False
2015-01-20,77,False
2015-01-21,80,False
2015-01-22,77,False
2015-01-23,77,False
2015-01-24,84,False
2015-01-25,94,False
2015-01-26,80,False
2015-01-27,78,False
2015-01-28,78,False
2015-01-29,77,False
2015-01-30,77,False
2015-01-31,86,False
2015-02-01,92,False
2015-02-02,78,False
2015-02-03,78,False
2015-02-04,75,False
2015-02-05,79,False
2015-02-06,74,False
2015-02-07,83,False
2015-02-08,93,False
2015-02-09,80,False
2015-02-10,77,False
2015-02-11,75,False
2015-02-12,74,False
2015-02-13,73,False
2015-02-14,77,False
2015-02-15,91,False
2015-02-16,79,False
2015-02-17,76,False
2015-02-18,73,False
2015-02-19,75,False
2015-02-20,74,False
2015-02-21,81,False
2015-02-22,91,False
2015-02-23,77,False
2015-02-24,74,False
2015-02-25,74,False
2015-02-26,75,False
2015-02-27,70,False
2015-02-28,76,False
2015-03-01,88,False
2015-03-02,77,False
2015-03-03,74,False
2015-03-04,73,False
2015-03-05,71,False
2015-03-06,73,False
2015-03-07,79,False
2015-03-08,87,False
2015-03-09,76,False
2015-03-10,75,False
2015-03-11,74,False
2015-03-12,71,False
2015-03-13,72,False
2015-03-14,78,False
2015-03-15,86,False
2015-03-16,79,False
2015-03-17,73,False
2015-03-18,72,False
2015-03-19,72,False
2015-03-20,71,False
2015-03-21,81,False
2015-03-22,89,False
2015-03-23,76,False
2015-03-24,77,False
2015-03-25,73,False
2015-03-26,77,False
2015-03-27,73,False
2015-03-28,78,False
2015-03-29,91,False
2015-03-30,75,False
2015-03-31,75,False
2015-04-01,75,False
2015-04-02,72,False
2015-04-03,77,False
2015-04-04,77,False
2015-04-05,78,False
2015-04-06,78,False
2015-04-07,75,False
2015-04-08,73,False
2015-04-09,72,False
2015-04-10,71,False
2015-04-11,79,False
2015-04-12,87,False
2015-04-13,75,False
2015-04-14,73,False
2015-04-15,72,False
2015-04-16,73,False
2015-04-17,75,False
2015-04-18,76,False
2015-04-19,88,False
2015-04-20,77,False
2015-04-21,75,False
2015-04-22,73,False
2015-04-23,71,False
2015-04-24,71,False
2015-04-25,79,False
2015-04-26,89,False
