date,Comcast,isPartial
2010-08-24,57,False
2010-08-25,56,False
2010-08-26,53,False
2010-08-27,52,False
2010-08-28,55,False
2010-08-29,50,False
2010-08-30,56,False
2010-08-31,56,False
2010-09-01,56,False
2010-09-02,59,False
2010-09-03,61,False
2010-09-04,65,False
2010-09-05,43,False
2010-09-06,41,False
2010-09-07,55,False
2010-09-08,56,False
2010-09-09,60,False
2010-09-10,61,False
2010-09-11,62,False
2010-09-12,60,False
2010-09-13,57,False
2010-09-14,54,False
2010-09-15,53,False
2010-09-16,54,False
2010-09-17,56,False
2010-09-18,62,False
2010-09-19,56,False
2010-09-20,58,False
2010-09-21,58,False
2010-09-22,54,False
2010-09-23,55,False
2010-09-24,57,False
2010-09-25,57,False
2010-09-26,54,False
2010-09-27,54,False
2010-09-28,56,False
2010-09-29,54,False
2010-09-30,55,False
2010-10-01,61,False
2010-10-02,60,False
2010-10-03,48,False
2010-10-04,58,False
2010-10-05,57,False
2010-10-06,54,False
2010-10-07,50,False
2010-10-08,54,False
2010-10-09,56,False
2010-10-10,49,False
2010-10-11,53,False
2010-10-12,45,False
2010-10-13,47,False
2010-10-14,51,False
2010-10-15,53,False
2010-10-16,55,False
2010-10-17,48,False
2010-10-18,50,False
2010-10-19,52,False
2010-10-20,47,False
2010-10-21,49,False
2010-10-22,49,False
2010-10-23,53,False
2010-10-24,46,False
2010-10-25,51,False
2010-10-26,52,False
2010-10-27,52,False
2010-10-28,50,False
2010-10-29,50,False
2010-10-30,52,False
2010-10-31,46,False
2010-11-01,57,False
2010-11-02,51,False
2010-11-03,49,False
2010-11-04,50,False
2010-11-05,53,False
2010-11-06,59,False
2010-11-07,44,False
2010-11-08,50,False
2010-11-09,55,False
2010-11-10,48,False
2010-11-11,51,False
2010-11-12,52,False
2010-11-13,56,False
2010-11-14,49,False
2010-11-15,56,False
2010-11-16,57,False
2010-11-17,53,False
2010-11-18,49,False
2010-11-19,55,False
2010-11-20,57,False
2010-11-21,48,False
2010-11-22,49,False
2010-11-23,49,False
2010-11-24,49,False
2010-11-25,36,False
2010-11-26,51,False
2010-11-27,58,False
2010-11-28,50,False
2010-11-29,92,False
2010-11-30,68,False
2010-12-01,63,False
2010-12-02,58,False
2010-12-03,56,False
2010-12-04,56,False
2010-12-05,49,False
2010-12-06,100,False
2010-12-07,59,False
2010-12-08,54,False
2010-12-09,50,False
2010-12-10,53,False
2010-12-11,51,False
2010-12-12,50,False
2010-12-13,53,False
2010-12-14,54,False
2010-12-15,53,False
2010-12-16,51,False
2010-12-17,54,False
2010-12-18,54,False
2010-12-19,49,False
