date,Comcast,isPartial
2014-07-24,82,False
2014-07-25,82,False
2014-07-26,78,False
2014-07-27,70,False
2014-07-28,90,False
2014-07-29,88,False
2014-07-30,88,False
2014-07-31,89,False
2014-08-01,93,False
2014-08-02,85,False
2014-08-03,72,False
2014-08-04,94,False
2014-08-05,86,False
2014-08-06,90,False
2014-08-07,87,False
2014-08-08,89,False
2014-08-09,82,False
2014-08-10,73,False
2014-08-11,92,False
2014-08-12,87,False
2014-08-13,89,False
2014-08-14,94,False
2014-08-15,96,False
2014-08-16,88,False
2014-08-17,74,False
2014-08-18,89,False
2014-08-19,84,False
2014-08-20,83,False
2014-08-21,86,False
2014-08-22,84,False
2014-08-23,82,False
2014-08-24,76,False
2014-08-25,91,False
2014-08-26,87,False
2014-08-27,85,False
2014-08-28,89,False
2014-08-29,91,False
2014-08-30,96,False
2014-08-31,76,False
2014-09-01,67,False
2014-09-02,92,False
2014-09-03,95,False
2014-09-04,86,False
2014-09-05,85,False
2014-09-06,100,False
2014-09-07,90,False
2014-09-08,85,False
2014-09-09,81,False
2014-09-10,77,False
2014-09-11,75,False
2014-09-12,78,False
2014-09-13,99,False
2014-09-14,83,False
2014-09-15,85,False
2014-09-16,84,False
2014-09-17,76,False
2014-09-18,73,False
2014-09-19,77,False
2014-09-20,79,False
2014-09-21,75,False
2014-09-22,81,False
2014-09-23,83,False
2014-09-24,72,False
2014-09-25,77,False
2014-09-26,77,False
2014-09-27,78,False
2014-09-28,75,False
2014-09-29,81,False
2014-09-30,83,False
2014-10-01,81,False
2014-10-02,84,False
2014-10-03,90,False
2014-10-04,88,False
2014-10-05,74,False
2014-10-06,88,False
2014-10-07,89,False
2014-10-08,81,False
2014-10-09,77,False
2014-10-10,77,False
2014-10-11,83,False
2014-10-12,72,False
2014-10-13,79,False
2014-10-14,77,False
2014-10-15,88,False
2014-10-16,79,False
2014-10-17,78,False
2014-10-18,78,False
2014-10-19,69,False
2014-10-20,77,False
2014-10-21,77,False
2014-10-22,73,False
2014-10-23,74,False
2014-10-24,76,False
2014-10-25,83,False
2014-10-26,68,False
2014-10-27,70,False
2014-10-28,76,False
2014-10-29,73,False
2014-10-30,74,False
2014-10-31,73,False
2014-11-01,86,False
2014-11-02,74,False
2014-11-03,90,False
2014-11-04,75,False
2014-11-05,76,False
2014-11-06,92,False
2014-11-07,77,False
2014-11-08,79,False
2014-11-09,72,False
2014-11-10,74,False
2014-11-11,77,False
2014-11-12,77,False
2014-11-13,73,False
2014-11-14,80,False
2014-11-15,82,False
2014-11-16,69,False
2014-11-17,79,False
2014-11-18,77,False
2014-11-19,71,False
2014-11-20,72,False
2014-11-21,79,False
2014-11-22,85,False
2014-11-23,68,False
2014-11-24,74,False
2014-11-25,74,False
2014-11-26,68,False
2014-11-27,54,False
2014-11-28,70,False
2014-11-29,85,False
2014-11-30,70,False
2014-12-01,83,False
2014-12-02,82,False
2014-12-03,76,False
2014-12-04,74,False
2014-12-05,82,False
2014-12-06,83,False
2014-12-07,69,False
2014-12-08,79,False
2014-12-09,74,False
2014-12-10,75,False
2014-12-11,71,False
2014-12-12,79,False
2014-12-13,71,False
2014-12-14,65,False
2014-12-15,71,False
2014-12-16,72,False
2014-12-17,72,False
2014-12-18,71,False
2014-12-19,74,False
2014-12-20,79,False
2014-12-21,67,False
2014-12-22,73,False
2014-12-23,77,False
2014-12-24,73,False
2014-12-25,64,False
2014-12-26,82,False
2014-12-27,78,False
2014-12-28,70,False
2014-12-29,87,False
2014-12-30,91,False
2014-12-31,92,False
2015-01-01,81,False
2015-01-02,98,False
2015-01-03,92,False
2015-01-04,78,False
2015-01-05,85,False
2015-01-06,86,False
2015-01-07,80,False
2015-01-08,76,False
2015-01-09,82,False
2015-01-10,77,False
2015-01-11,70,False
2015-01-12,76,False
2015-01-13,76,False
2015-01-14,75,False
2015-01-15,78,False
2015-01-16,77,False
2015-01-17,75,False
2015-01-18,71,False
2015-01-19,69,False
2015-01-20,77,False
2015-01-21,70,False
2015-01-22,73,False
2015-01-23,72,False
2015-01-24,73,False
2015-01-25,65,False
2015-01-26,72,False
2015-01-27,73,False
2015-01-28,75,False
2015-01-29,73,False
2015-01-30,79,False
2015-01-31,79,False
2015-02-01,74,False
2015-02-02,74,False
2015-02-03,75,False
2015-02-04,70,False
2015-02-05,71,False
2015-02-06,77,False
2015-02-07,77,False
2015-02-08,67,False
2015-02-09,74,False
2015-02-10,70,False
2015-02-11,72,False
2015-02-12,72,False
2015-02-13,72,False
2015-02-14,75,False
2015-02-15,65,False
2015-02-16,75,False
2015-02-17,75,False
2015-02-18,70,False
2015-02-19,73,False
2015-02-20,74,False
2015-02-21,82,False
2015-02-22,99,False
2015-02-23,76,False
2015-02-24,72,False
2015-02-25,75,False
2015-02-26,74,False
2015-02-27,77,False
2015-02-28,77,False
2015-03-01,67,False
2015-03-02,74,False
2015-03-03,72,False
2015-03-04,72,False
2015-03-05,71,False
2015-03-06,73,False
2015-03-07,73,False
2015-03-08,62,False
2015-03-09,73,False
2015-03-10,74,False
2015-03-11,68,False
2015-03-12,70,False
2015-03-13,71,False
2015-03-14,70,False
2015-03-15,61,False
2015-03-16,67,False
2015-03-17,67,False
2015-03-18,73,False
2015-03-19,71,False
2015-03-20,72,False
2015-03-21,71,False
2015-03-22,66,False
2015-03-23,71,False
2015-03-24,67,False
2015-03-25,66,False
2015-03-26,66,False
2015-03-27,74,False
2015-03-28,67,False
2015-03-29,60,False
2015-03-30,76,False
2015-03-31,74,False
2015-04-01,71,False
2015-04-02,74,False
2015-04-03,76,False
2015-04-04,67,False
2015-04-05,57,False
2015-04-06,77,False
2015-04-07,76,False
2015-04-08,69,False
2015-04-09,70,False
2015-04-10,72,False
