date,ROST stock
2018-02-13,13
2018-02-14,0
2018-02-15,0
2018-02-16,13
2018-02-17,15
2018-02-18,0
2018-02-19,0
2018-02-20,12
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,25
2018-03-01,12
2018-03-02,13
2018-03-03,14
2018-03-04,28
2018-03-05,24
2018-03-06,87
2018-03-07,100
2018-03-08,25
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,12
2018-03-13,0
2018-03-14,12
2018-03-15,0
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,25
2018-03-20,12
2018-03-21,0
2018-03-22,13
2018-03-23,0
2018-03-24,15
2018-03-25,0
2018-03-26,13
2018-03-27,0
2018-03-28,13
2018-03-29,13
2018-03-30,14
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,13
2018-04-05,0
2018-04-06,0
2018-04-07,0
2018-04-08,0
2018-04-09,0
