date,ROST stock
2017-05-29,0
2017-05-30,0
2017-05-31,28
2017-06-01,0
2017-06-02,15
2017-06-03,16
2017-06-04,0
2017-06-05,0
2017-06-06,41
2017-06-07,27
2017-06-08,14
2017-06-09,29
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,14
2017-06-15,14
2017-06-16,15
2017-06-17,17
2017-06-18,16
2017-06-19,14
2017-06-20,0
2017-06-21,0
2017-06-22,14
2017-06-23,56
2017-06-24,0
2017-06-25,0
2017-06-26,14
2017-06-27,29
2017-06-28,15
2017-06-29,14
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,29
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,14
2017-07-11,0
2017-07-12,14
2017-07-13,29
2017-07-14,30
2017-07-15,0
2017-07-16,0
2017-07-17,43
2017-07-18,14
2017-07-19,14
2017-07-20,29
2017-07-21,15
2017-07-22,17
2017-07-23,0
2017-07-24,14
2017-07-25,28
2017-07-26,14
2017-07-27,14
2017-07-28,0
2017-07-29,0
2017-07-30,16
2017-07-31,0
2017-08-01,27
2017-08-02,26
2017-08-03,41
2017-08-04,14
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,13
2017-08-09,14
2017-08-10,0
2017-08-11,15
2017-08-12,16
2017-08-13,0
2017-08-14,0
2017-08-15,14
2017-08-16,0
2017-08-17,97
2017-08-18,100
2017-08-19,0
2017-08-20,0
2017-08-21,27
2017-08-22,14
2017-08-23,14
2017-08-24,28
2017-08-25,15
2017-08-26,16
2017-08-27,0
2017-08-28,0
2017-08-29,14
2017-08-30,14
2017-08-31,0
2017-09-01,15
2017-09-02,16
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,14
2017-09-08,0
2017-09-09,0
2017-09-10,0
2017-09-11,0
2017-09-12,0
2017-09-13,0
2017-09-14,0
2017-09-15,42
2017-09-16,0
2017-09-17,0
2017-09-18,13
2017-09-19,0
2017-09-20,54
2017-09-21,27
2017-09-22,42
2017-09-23,0
2017-09-24,0
2017-09-25,13
2017-09-26,0
2017-09-27,13
2017-09-28,27
2017-09-29,28
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,14
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,13
2017-10-11,0
2017-10-12,14
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,40
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,13
2017-10-24,13
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,15
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,14
2017-11-04,0
2017-11-05,0
2017-11-06,26
2017-11-07,0
2017-11-08,13
2017-11-09,13
2017-11-10,0
2017-11-11,0
2017-11-12,15
2017-11-13,13
2017-11-14,13
2017-11-15,13
2017-11-16,52
2017-11-17,81
2017-11-18,0
2017-11-19,0
2017-11-20,51
2017-11-21,52
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,15
2017-11-26,0
2017-11-27,38
2017-11-28,0
2017-11-29,0
2017-11-30,0
2017-12-01,27
2017-12-02,0
2017-12-03,0
2017-12-04,13
2017-12-05,26
2017-12-06,13
2017-12-07,0
2017-12-08,14
2017-12-09,0
2017-12-10,0
2017-12-11,0
2017-12-12,0
2017-12-13,26
2017-12-14,13
2017-12-15,0
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,13
2017-12-20,0
2017-12-21,0
2017-12-22,30
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,0
2017-12-29,14
2017-12-30,16
2017-12-31,0
2018-01-01,16
2018-01-02,13
2018-01-03,13
2018-01-04,13
2018-01-05,0
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,25
2018-01-10,25
2018-01-11,13
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,25
2018-01-18,13
2018-01-19,26
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,25
2018-01-24,37
2018-01-25,13
2018-01-26,0
2018-01-27,0
2018-01-28,14
2018-01-29,13
2018-01-30,13
2018-01-31,25
2018-02-01,13
2018-02-02,0
2018-02-03,0
2018-02-04,14
2018-02-05,38
2018-02-06,13
2018-02-07,25
2018-02-08,13
2018-02-09,13
2018-02-10,14
2018-02-11,0
2018-02-12,13
2018-02-13,0
