date,ROST stock
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,41
2017-10-10,13
2017-10-11,27
2017-10-12,14
2017-10-13,14
2017-10-14,0
2017-10-15,16
2017-10-16,0
2017-10-17,27
2017-10-18,40
2017-10-19,14
2017-10-20,14
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,14
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,27
2017-11-01,14
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,53
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,15
2017-11-13,0
2017-11-14,13
2017-11-15,13
2017-11-16,53
2017-11-17,68
2017-11-18,45
2017-11-19,15
2017-11-20,0
2017-11-21,26
2017-11-22,0
2017-11-23,14
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,0
2017-11-28,26
2017-11-29,0
2017-11-30,0
2017-12-01,28
2017-12-02,15
2017-12-03,0
2017-12-04,26
2017-12-05,0
2017-12-06,0
2017-12-07,0
2017-12-08,14
2017-12-09,15
2017-12-10,15
2017-12-11,13
2017-12-12,0
2017-12-13,0
2017-12-14,27
2017-12-15,14
2017-12-16,0
2017-12-17,0
2017-12-18,0
2017-12-19,27
2017-12-20,0
2017-12-21,0
2017-12-22,29
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,30
2017-12-27,28
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,27
2018-01-03,13
2018-01-04,13
2018-01-05,0
2018-01-06,0
2018-01-07,15
2018-01-08,0
2018-01-09,39
2018-01-10,26
2018-01-11,13
2018-01-12,13
2018-01-13,0
2018-01-14,15
2018-01-15,0
2018-01-16,0
2018-01-17,25
2018-01-18,13
2018-01-19,13
2018-01-20,0
2018-01-21,15
2018-01-22,13
2018-01-23,38
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,0
2018-01-31,13
2018-02-01,51
2018-02-02,26
2018-02-03,0
2018-02-04,14
2018-02-05,13
2018-02-06,13
2018-02-07,13
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,0
2018-02-12,13
2018-02-13,13
2018-02-14,0
2018-02-15,0
2018-02-16,13
2018-02-17,15
2018-02-18,15
2018-02-19,0
2018-02-20,0
2018-02-21,13
2018-02-22,0
2018-02-23,13
2018-02-24,15
2018-02-25,0
2018-02-26,13
2018-02-27,0
2018-02-28,13
2018-03-01,12
2018-03-02,0
2018-03-03,15
2018-03-04,28
2018-03-05,12
2018-03-06,100
2018-03-07,63
2018-03-08,13
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,25
2018-03-15,13
2018-03-16,0
2018-03-17,0
2018-03-18,0
2018-03-19,13
2018-03-20,13
2018-03-21,13
2018-03-22,13
2018-03-23,0
2018-03-24,15
2018-03-25,0
2018-03-26,0
2018-03-27,13
2018-03-28,0
2018-03-29,14
2018-03-30,0
2018-03-31,0
2018-04-01,0
2018-04-02,0
2018-04-03,0
2018-04-04,13
2018-04-05,13
2018-04-06,13
2018-04-07,0
2018-04-08,0
2018-04-09,0
