date,American Airlines,isPartial
2015-04-10,68,False
2015-04-11,56,False
2015-04-12,60,False
2015-04-13,68,False
2015-04-14,69,False
2015-04-15,66,False
2015-04-16,62,False
2015-04-17,61,False
2015-04-18,57,False
2015-04-19,56,False
2015-04-20,69,False
2015-04-21,67,False
2015-04-22,67,False
2015-04-23,64,False
2015-04-24,66,False
2015-04-25,55,False
2015-04-26,60,False
2015-04-27,68,False
2015-04-28,65,False
2015-04-29,63,False
2015-04-30,64,False
2015-05-01,64,False
2015-05-02,50,False
2015-05-03,56,False
2015-05-04,65,False
2015-05-05,63,False
2015-05-06,64,False
2015-05-07,66,False
2015-05-08,66,False
2015-05-09,51,False
2015-05-10,67,False
2015-05-11,77,False
2015-05-12,72,False
2015-05-13,71,False
2015-05-14,71,False
2015-05-15,67,False
2015-05-16,59,False
2015-05-17,62,False
2015-05-18,70,False
2015-05-19,78,False
2015-05-20,73,False
2015-05-21,69,False
2015-05-22,66,False
2015-05-23,55,False
2015-05-24,54,False
2015-05-25,62,False
2015-05-26,72,False
2015-05-27,74,False
2015-05-28,66,False
2015-05-29,66,False
2015-05-30,58,False
2015-05-31,62,False
2015-06-01,75,False
2015-06-02,75,False
2015-06-03,73,False
2015-06-04,81,False
2015-06-05,76,False
2015-06-06,66,False
2015-06-07,64,False
2015-06-08,76,False
2015-06-09,80,False
2015-06-10,74,False
2015-06-11,77,False
2015-06-12,69,False
2015-06-13,61,False
2015-06-14,71,False
2015-06-15,79,False
2015-06-16,78,False
2015-06-17,78,False
2015-06-18,75,False
2015-06-19,75,False
2015-06-20,62,False
2015-06-21,65,False
2015-06-22,78,False
2015-06-23,77,False
2015-06-24,74,False
2015-06-25,74,False
2015-06-26,68,False
2015-06-27,64,False
2015-06-28,65,False
2015-06-29,72,False
2015-06-30,75,False
2015-07-01,77,False
2015-07-02,73,False
2015-07-03,66,False
2015-07-04,54,False
2015-07-05,55,False
2015-07-06,75,False
2015-07-07,77,False
2015-07-08,83,False
2015-07-09,76,False
2015-07-10,70,False
2015-07-11,64,False
2015-07-12,67,False
2015-07-13,76,False
2015-07-14,79,False
2015-07-15,79,False
2015-07-16,74,False
2015-07-17,71,False
2015-07-18,67,False
2015-07-19,71,False
2015-07-20,79,False
2015-07-21,73,False
2015-07-22,78,False
2015-07-23,73,False
2015-07-24,77,False
2015-07-25,67,False
2015-07-26,64,False
2015-07-27,71,False
2015-07-28,79,False
2015-07-29,73,False
2015-07-30,69,False
2015-07-31,72,False
2015-08-01,71,False
2015-08-02,70,False
2015-08-03,76,False
2015-08-04,75,False
2015-08-05,76,False
2015-08-06,78,False
2015-08-07,71,False
2015-08-08,65,False
2015-08-09,65,False
2015-08-10,79,False
2015-08-11,84,False
2015-08-12,80,False
2015-08-13,69,False
2015-08-14,74,False
2015-08-15,67,False
2015-08-16,68,False
2015-08-17,71,False
2015-08-18,79,False
2015-08-19,74,False
2015-08-20,100,False
2015-08-21,86,False
2015-08-22,63,False
2015-08-23,66,False
2015-08-24,70,False
2015-08-25,70,False
2015-08-26,67,False
2015-08-27,68,False
2015-08-28,71,False
2015-08-29,58,False
2015-08-30,62,False
2015-08-31,75,False
2015-09-01,71,False
2015-09-02,74,False
2015-09-03,72,False
2015-09-04,68,False
2015-09-05,53,False
2015-09-06,55,False
2015-09-07,63,False
2015-09-08,76,False
2015-09-09,78,False
2015-09-10,75,False
2015-09-11,72,False
2015-09-12,57,False
2015-09-13,63,False
2015-09-14,74,False
2015-09-15,74,False
2015-09-16,70,False
