date,American Airlines,isPartial
2017-10-06,70,False
2017-10-07,57,False
2017-10-08,63,False
2017-10-09,75,False
2017-10-10,73,False
2017-10-11,68,False
2017-10-12,73,False
2017-10-13,67,False
2017-10-14,64,False
2017-10-15,63,False
2017-10-16,68,False
2017-10-17,73,False
2017-10-18,67,False
2017-10-19,68,False
2017-10-20,64,False
2017-10-21,53,False
2017-10-22,60,False
2017-10-23,73,False
2017-10-24,69,False
2017-10-25,75,False
2017-10-26,71,False
2017-10-27,63,False
2017-10-28,55,False
2017-10-29,58,False
2017-10-30,66,False
2017-10-31,59,False
2017-11-01,61,False
2017-11-02,66,False
2017-11-03,64,False
2017-11-04,54,False
2017-11-05,62,False
2017-11-06,68,False
2017-11-07,69,False
2017-11-08,66,False
2017-11-09,64,False
2017-11-10,64,False
2017-11-11,54,False
2017-11-12,60,False
2017-11-13,70,False
2017-11-14,65,False
2017-11-15,65,False
2017-11-16,64,False
2017-11-17,64,False
2017-11-18,55,False
2017-11-19,55,False
2017-11-20,65,False
2017-11-21,68,False
2017-11-22,62,False
2017-11-23,43,False
2017-11-24,50,False
2017-11-25,53,False
2017-11-26,62,False
2017-11-27,72,False
2017-11-28,67,False
2017-11-29,69,False
2017-11-30,83,False
2017-12-01,66,False
2017-12-02,52,False
2017-12-03,54,False
2017-12-04,62,False
2017-12-05,60,False
2017-12-06,61,False
2017-12-07,58,False
2017-12-08,68,False
2017-12-09,63,False
2017-12-10,56,False
2017-12-11,59,False
2017-12-12,59,False
2017-12-13,57,False
2017-12-14,62,False
2017-12-15,62,False
2017-12-16,59,False
2017-12-17,59,False
2017-12-18,70,False
2017-12-19,71,False
2017-12-20,70,False
2017-12-21,73,False
2017-12-22,70,False
2017-12-23,65,False
2017-12-24,55,False
2017-12-25,55,False
2017-12-26,71,False
2017-12-27,76,False
2017-12-28,74,False
2017-12-29,74,False
2017-12-30,67,False
2017-12-31,61,False
2018-01-01,65,False
2018-01-02,82,False
2018-01-03,92,False
2018-01-04,100,False
2018-01-05,93,False
2018-01-06,74,False
2018-01-07,79,False
2018-01-08,79,False
2018-01-09,77,False
2018-01-10,72,False
2018-01-11,73,False
2018-01-12,80,False
2018-01-13,70,False
2018-01-14,62,False
2018-01-15,67,False
2018-01-16,78,False
2018-01-17,76,False
2018-01-18,75,False
2018-01-19,72,False
2018-01-20,59,False
2018-01-21,60,False
2018-01-22,69,False
2018-01-23,72,False
2018-01-24,69,False
2018-01-25,76,False
2018-01-26,65,False
2018-01-27,56,False
2018-01-28,66,False
2018-01-29,69,False
2018-01-30,72,False
2018-01-31,65,False
2018-02-01,65,False
2018-02-02,62,False
2018-02-03,54,False
2018-02-04,63,False
2018-02-05,68,False
2018-02-06,70,False
2018-02-07,72,False
2018-02-08,71,False
2018-02-09,76,False
2018-02-10,61,False
2018-02-11,67,False
2018-02-12,72,False
2018-02-13,69,False
2018-02-14,64,False
2018-02-15,66,False
2018-02-16,68,False
2018-02-17,62,False
2018-02-18,62,False
2018-02-19,66,False
2018-02-20,72,False
2018-02-21,73,False
2018-02-22,73,False
2018-02-23,72,False
2018-02-24,61,False
2018-02-25,62,False
2018-02-26,70,False
2018-02-27,70,False
2018-02-28,72,False
2018-03-01,79,False
2018-03-02,98,False
2018-03-03,69,False
2018-03-04,69,False
2018-03-05,75,False
2018-03-06,81,False
2018-03-07,81,False
2018-03-08,78,False
2018-03-09,74,False
2018-03-10,68,False
2018-03-11,69,False
2018-03-12,77,False
2018-03-13,81,False
2018-03-14,73,False
2018-03-15,73,False
2018-03-16,69,False
2018-03-17,58,False
2018-03-18,64,False
2018-03-19,74,False
2018-03-20,83,False
2018-03-21,89,False
2018-03-22,83,False
2018-03-23,68,False
2018-03-24,59,False
2018-03-25,66,False
2018-03-26,73,False
2018-03-27,73,False
2018-03-28,69,False
2018-03-29,69,False
2018-03-30,68,False
2018-03-31,55,False
2018-04-01,54,False
2018-04-02,75,False
2018-04-03,74,False
2018-04-04,75,False
2018-04-05,70,False
2018-04-06,69,False
2018-04-07,63,False
2018-04-08,65,False
2018-04-09,72,False
