date,Dollar Tree,isPartial
2014-12-01,42,False
2014-12-02,40,False
2014-12-03,44,False
2014-12-04,45,False
2014-12-05,46,False
2014-12-06,54,False
2014-12-07,56,False
2014-12-08,50,False
2014-12-09,42,False
2014-12-10,43,False
2014-12-11,44,False
2014-12-12,44,False
2014-12-13,53,False
2014-12-14,62,False
2014-12-15,48,False
2014-12-16,48,False
2014-12-17,49,False
2014-12-18,52,False
2014-12-19,52,False
2014-12-20,55,False
2014-12-21,61,False
2014-12-22,54,False
2014-12-23,61,False
2014-12-24,100,False
2014-12-25,50,False
2014-12-26,28,False
2014-12-27,32,False
2014-12-28,32,False
2014-12-29,32,False
2014-12-30,34,False
2014-12-31,45,False
2015-01-01,43,False
2015-01-02,31,False
2015-01-03,35,False
2015-01-04,35,False
2015-01-05,30,False
2015-01-06,28,False
2015-01-07,29,False
2015-01-08,28,False
2015-01-09,29,False
2015-01-10,33,False
2015-01-11,37,False
2015-01-12,31,False
2015-01-13,29,False
2015-01-14,29,False
2015-01-15,28,False
2015-01-16,34,False
2015-01-17,34,False
2015-01-18,35,False
2015-01-19,31,False
2015-01-20,31,False
2015-01-21,29,False
2015-01-22,32,False
2015-01-23,34,False
2015-01-24,35,False
2015-01-25,39,False
2015-01-26,33,False
2015-01-27,31,False
2015-01-28,31,False
2015-01-29,32,False
2015-01-30,31,False
2015-01-31,39,False
2015-02-01,38,False
2015-02-02,32,False
2015-02-03,30,False
2015-02-04,33,False
2015-02-05,35,False
2015-02-06,35,False
2015-02-07,44,False
2015-02-08,45,False
2015-02-09,35,False
2015-02-10,35,False
2015-02-11,38,False
2015-02-12,41,False
2015-02-13,46,False
2015-02-14,52,False
2015-02-15,36,False
2015-02-16,30,False
2015-02-17,29,False
2015-02-18,28,False
2015-02-19,28,False
2015-02-20,30,False
2015-02-21,35,False
2015-02-22,40,False
2015-02-23,30,False
2015-02-24,30,False
2015-02-25,29,False
2015-02-26,29,False
2015-02-27,30,False
2015-02-28,36,False
2015-03-01,38,False
2015-03-02,32,False
2015-03-03,31,False
2015-03-04,30,False
2015-03-05,28,False
2015-03-06,33,False
2015-03-07,37,False
2015-03-08,42,False
2015-03-09,32,False
2015-03-10,31,False
2015-03-11,32,False
2015-03-12,30,False
2015-03-13,35,False
2015-03-14,38,False
2015-03-15,41,False
2015-03-16,35,False
2015-03-17,34,False
2015-03-18,31,False
2015-03-19,31,False
2015-03-20,35,False
2015-03-21,41,False
2015-03-22,40,False
2015-03-23,34,False
2015-03-24,34,False
2015-03-25,29,False
2015-03-26,34,False
2015-03-27,34,False
2015-03-28,41,False
2015-03-29,45,False
2015-03-30,36,False
2015-03-31,37,False
2015-04-01,39,False
2015-04-02,41,False
2015-04-03,43,False
2015-04-04,54,False
2015-04-05,66,False
2015-04-06,34,False
2015-04-07,32,False
2015-04-08,31,False
2015-04-09,32,False
2015-04-10,33,False
2015-04-11,38,False
2015-04-12,39,False
2015-04-13,33,False
2015-04-14,32,False
2015-04-15,30,False
2015-04-16,33,False
2015-04-17,34,False
2015-04-18,37,False
2015-04-19,39,False
2015-04-20,35,False
2015-04-21,31,False
2015-04-22,34,False
2015-04-23,33,False
2015-04-24,35,False
2015-04-25,41,False
2015-04-26,41,False
2015-04-27,37,False
2015-04-28,34,False
2015-04-29,36,False
2015-04-30,34,False
2015-05-01,38,False
2015-05-02,41,False
2015-05-03,46,False
2015-05-04,38,False
2015-05-05,39,False
2015-05-06,36,False
2015-05-07,40,False
2015-05-08,43,False
2015-05-09,52,False
2015-05-10,59,False
2015-05-11,36,False
2015-05-12,35,False
2015-05-13,36,False
2015-05-14,39,False
2015-05-15,39,False
2015-05-16,43,False
2015-05-17,48,False
2015-05-18,40,False
2015-05-19,37,False
2015-05-20,38,False
2015-05-21,38,False
2015-05-22,40,False
2015-05-23,45,False
2015-05-24,47,False
2015-05-25,47,False
2015-05-26,36,False
2015-05-27,38,False
2015-05-28,40,False
2015-05-29,42,False
2015-05-30,49,False
2015-05-31,54,False
2015-06-01,40,False
2015-06-02,42,False
2015-06-03,41,False
2015-06-04,41,False
2015-06-05,43,False
