date,Dollar Tree,isPartial
2015-12-26,44,False
2015-12-27,47,False
2015-12-28,44,False
2015-12-29,45,False
2015-12-30,48,False
2015-12-31,68,False
2016-01-01,68,False
2016-01-02,44,False
2016-01-03,49,False
2016-01-04,42,False
2016-01-05,39,False
2016-01-06,38,False
2016-01-07,42,False
2016-01-08,40,False
2016-01-09,51,False
2016-01-10,47,False
2016-01-11,42,False
2016-01-12,35,False
2016-01-13,38,False
2016-01-14,38,False
2016-01-15,44,False
2016-01-16,52,False
2016-01-17,48,False
2016-01-18,43,False
2016-01-19,41,False
2016-01-20,35,False
2016-01-21,38,False
2016-01-22,44,False
2016-01-23,43,False
2016-01-24,47,False
2016-01-25,39,False
2016-01-26,39,False
2016-01-27,39,False
2016-01-28,37,False
2016-01-29,41,False
2016-01-30,48,False
2016-01-31,49,False
2016-02-01,45,False
2016-02-02,39,False
2016-02-03,41,False
2016-02-04,41,False
2016-02-05,45,False
2016-02-06,49,False
2016-02-07,58,False
2016-02-08,42,False
2016-02-09,45,False
2016-02-10,48,False
2016-02-11,54,False
2016-02-12,57,False
2016-02-13,59,False
2016-02-14,77,False
2016-02-15,45,False
2016-02-16,39,False
2016-02-17,41,False
2016-02-18,40,False
2016-02-19,39,False
2016-02-20,48,False
2016-02-21,53,False
2016-02-22,40,False
2016-02-23,38,False
2016-02-24,40,False
2016-02-25,36,False
2016-02-26,39,False
2016-02-27,48,False
2016-02-28,51,False
2016-02-29,38,False
2016-03-01,43,False
2016-03-02,42,False
2016-03-03,44,False
2016-03-04,45,False
2016-03-05,50,False
2016-03-06,56,False
2016-03-07,44,False
2016-03-08,35,False
2016-03-09,41,False
2016-03-10,39,False
2016-03-11,42,False
2016-03-12,58,False
2016-03-13,60,False
2016-03-14,42,False
2016-03-15,46,False
2016-03-16,43,False
2016-03-17,47,False
2016-03-18,46,False
2016-03-19,50,False
2016-03-20,63,False
2016-03-21,47,False
2016-03-22,48,False
2016-03-23,46,False
2016-03-24,50,False
2016-03-25,55,False
2016-03-26,73,False
2016-03-27,100,False
2016-03-28,39,False
2016-03-29,42,False
2016-03-30,44,False
2016-03-31,42,False
2016-04-01,42,False
2016-04-02,52,False
2016-04-03,60,False
2016-04-04,46,False
2016-04-05,37,False
2016-04-06,43,False
2016-04-07,40,False
2016-04-08,43,False
2016-04-09,53,False
2016-04-10,58,False
2016-04-11,48,False
2016-04-12,42,False
2016-04-13,42,False
2016-04-14,44,False
2016-04-15,50,False
2016-04-16,60,False
2016-04-17,58,False
2016-04-18,45,False
2016-04-19,46,False
2016-04-20,43,False
2016-04-21,45,False
2016-04-22,45,False
2016-04-23,57,False
2016-04-24,61,False
2016-04-25,50,False
2016-04-26,45,False
2016-04-27,46,False
2016-04-28,46,False
2016-04-29,53,False
2016-04-30,64,False
2016-05-01,72,False
2016-05-02,50,False
2016-05-03,51,False
2016-05-04,53,False
2016-05-05,59,False
2016-05-06,62,False
2016-05-07,72,False
2016-05-08,87,False
2016-05-09,52,False
2016-05-10,47,False
2016-05-11,53,False
2016-05-12,50,False
2016-05-13,52,False
2016-05-14,63,False
2016-05-15,73,False
2016-05-16,57,False
2016-05-17,49,False
2016-05-18,47,False
2016-05-19,48,False
2016-05-20,57,False
2016-05-21,67,False
2016-05-22,71,False
2016-05-23,56,False
2016-05-24,53,False
2016-05-25,56,False
2016-05-26,58,False
2016-05-27,55,False
2016-05-28,61,False
2016-05-29,65,False
2016-05-30,67,False
2016-05-31,53,False
2016-06-01,56,False
2016-06-02,57,False
2016-06-03,57,False
2016-06-04,70,False
2016-06-05,75,False
2016-06-06,61,False
2016-06-07,58,False
2016-06-08,54,False
2016-06-09,59,False
2016-06-10,54,False
2016-06-11,68,False
2016-06-12,68,False
2016-06-13,56,False
2016-06-14,49,False
2016-06-15,54,False
2016-06-16,59,False
2016-06-17,65,False
2016-06-18,77,False
2016-06-19,89,False
2016-06-20,55,False
2016-06-21,50,False
2016-06-22,54,False
2016-06-23,49,False
2016-06-24,54,False
2016-06-25,66,False
2016-06-26,66,False
2016-06-27,49,False
2016-06-28,52,False
2016-06-29,50,False
2016-06-30,50,False
2016-07-01,58,False
2016-07-02,65,False
2016-07-03,75,False
2016-07-04,75,False
2016-07-05,49,False
2016-07-06,54,False
2016-07-07,52,False
2016-07-08,58,False
2016-07-09,69,False
2016-07-10,69,False
2016-07-11,51,False
2016-07-12,54,False
2016-07-13,51,False
2016-07-14,53,False
2016-07-15,54,False
2016-07-16,66,False
2016-07-17,80,False
2016-07-18,57,False
2016-07-19,51,False
2016-07-20,54,False
2016-07-21,59,False
2016-07-22,59,False
2016-07-23,68,False
2016-07-24,73,False
2016-07-25,55,False
2016-07-26,55,False
2016-07-27,51,False
2016-07-28,55,False
2016-07-29,62,False
2016-07-30,66,False
2016-07-31,74,False
2016-08-01,57,False
2016-08-02,51,False
2016-08-03,57,False
2016-08-04,54,False
2016-08-05,57,False
2016-08-06,60,False
2016-08-07,69,False
2016-08-08,56,False
2016-08-09,53,False
2016-08-10,54,False
2016-08-11,52,False
2016-08-12,56,False
2016-08-13,64,False
2016-08-14,73,False
2016-08-15,51,False
2016-08-16,54,False
2016-08-17,51,False
2016-08-18,44,False
2016-08-19,57,False
2016-08-20,59,False
2016-08-21,70,False
2016-08-22,53,False
2016-08-23,51,False
2016-08-24,53,False
2016-08-25,58,False
2016-08-26,56,False
2016-08-27,71,False
2016-08-28,78,False
2016-08-29,51,False
2016-08-30,52,False
2016-08-31,51,False
2016-09-01,48,False
2016-09-02,57,False
2016-09-03,60,False
2016-09-04,76,False
2016-09-05,69,False
2016-09-06,54,False
2016-09-07,54,False
2016-09-08,55,False
2016-09-09,59,False
2016-09-10,68,False
2016-09-11,83,False
