date,Microsoft,isPartial
2013-06-29,53,False
2013-06-30,54,False
2013-07-01,67,False
2013-07-02,70,False
2013-07-03,67,False
2013-07-04,61,False
2013-07-05,59,False
2013-07-06,52,False
2013-07-07,52,False
2013-07-08,64,False
2013-07-09,68,False
2013-07-10,69,False
2013-07-11,68,False
2013-07-12,68,False
2013-07-13,53,False
2013-07-14,54,False
2013-07-15,68,False
2013-07-16,69,False
2013-07-17,68,False
2013-07-18,67,False
2013-07-19,64,False
2013-07-20,56,False
2013-07-21,54,False
2013-07-22,67,False
2013-07-23,68,False
2013-07-24,69,False
2013-07-25,67,False
2013-07-26,61,False
2013-07-27,52,False
2013-07-28,52,False
2013-07-29,67,False
2013-07-30,67,False
2013-07-31,70,False
2013-08-01,68,False
2013-08-02,63,False
2013-08-03,53,False
2013-08-04,53,False
2013-08-05,67,False
2013-08-06,68,False
2013-08-07,67,False
2013-08-08,66,False
2013-08-09,62,False
2013-08-10,52,False
2013-08-11,53,False
2013-08-12,66,False
2013-08-13,71,False
2013-08-14,71,False
2013-08-15,72,False
2013-08-16,65,False
2013-08-17,56,False
2013-08-18,57,False
2013-08-19,71,False
2013-08-20,73,False
2013-08-21,75,False
2013-08-22,72,False
2013-08-23,73,False
2013-08-24,61,False
2013-08-25,62,False
2013-08-26,72,False
2013-08-27,75,False
2013-08-28,76,False
2013-08-29,73,False
2013-08-30,66,False
2013-08-31,58,False
2013-09-01,60,False
2013-09-02,66,False
2013-09-03,100,False
2013-09-04,90,False
2013-09-05,82,False
2013-09-06,73,False
2013-09-07,61,False
2013-09-08,66,False
2013-09-09,74,False
2013-09-10,78,False
2013-09-11,80,False
2013-09-12,81,False
2013-09-13,78,False
2013-09-14,67,False
2013-09-15,67,False
2013-09-16,78,False
2013-09-17,85,False
2013-09-18,83,False
2013-09-19,78,False
2013-09-20,73,False
2013-09-21,62,False
2013-09-22,66,False
2013-09-23,84,False
2013-09-24,85,False
2013-09-25,80,False
2013-09-26,81,False
2013-09-27,75,False
2013-09-28,61,False
2013-09-29,64,False
2013-09-30,80,False
2013-10-01,77,False
2013-10-02,81,False
2013-10-03,78,False
2013-10-04,72,False
2013-10-05,62,False
2013-10-06,63,False
2013-10-07,75,False
2013-10-08,77,False
2013-10-09,82,False
2013-10-10,80,False
2013-10-11,72,False
2013-10-12,61,False
2013-10-13,64,False
2013-10-14,73,False
2013-10-15,74,False
2013-10-16,79,False
2013-10-17,85,False
2013-10-18,83,False
2013-10-19,66,False
2013-10-20,72,False
2013-10-21,83,False
2013-10-22,84,False
2013-10-23,84,False
2013-10-24,78,False
2013-10-25,76,False
2013-10-26,63,False
2013-10-27,64,False
2013-10-28,81,False
2013-10-29,80,False
2013-10-30,78,False
2013-10-31,75,False
2013-11-01,71,False
2013-11-02,63,False
2013-11-03,68,False
2013-11-04,76,False
2013-11-05,80,False
2013-11-06,78,False
2013-11-07,81,False
2013-11-08,72,False
2013-11-09,64,False
2013-11-10,65,False
2013-11-11,77,False
2013-11-12,80,False
2013-11-13,84,False
2013-11-14,78,False
2013-11-15,75,False
2013-11-16,65,False
2013-11-17,69,False
2013-11-18,81,False
2013-11-19,79,False
2013-11-20,81,False
2013-11-21,82,False
2013-11-22,78,False
2013-11-23,67,False
2013-11-24,68,False
2013-11-25,80,False
2013-11-26,79,False
2013-11-27,77,False
2013-11-28,80,False
2013-11-29,82,False
2013-11-30,70,False
2013-12-01,66,False
2013-12-02,80,False
2013-12-03,80,False
2013-12-04,79,False
2013-12-05,78,False
2013-12-06,73,False
2013-12-07,63,False
2013-12-08,63,False
2013-12-09,81,False
2013-12-10,77,False
2013-12-11,77,False
2013-12-12,75,False
2013-12-13,71,False
2013-12-14,62,False
2013-12-15,63,False
2013-12-16,74,False
2013-12-17,73,False
2013-12-18,73,False
2013-12-19,72,False
2013-12-20,66,False
2013-12-21,58,False
2013-12-22,58,False
2013-12-23,63,False
2013-12-24,61,False
2013-12-25,71,False
2013-12-26,69,False
2013-12-27,67,False
2013-12-28,60,False
2013-12-29,59,False
2013-12-30,64,False
2013-12-31,56,False
2014-01-01,52,False
2014-01-02,67,False
2014-01-03,66,False
2014-01-04,58,False
2014-01-05,59,False
2014-01-06,72,False
2014-01-07,73,False
2014-01-08,75,False
2014-01-09,75,False
2014-01-10,72,False
2014-01-11,59,False
2014-01-12,63,False
2014-01-13,73,False
2014-01-14,77,False
2014-01-15,76,False
2014-01-16,75,False
2014-01-17,72,False
2014-01-18,62,False
2014-01-19,62,False
2014-01-20,71,False
2014-01-21,76,False
2014-01-22,75,False
2014-01-23,73,False
2014-01-24,70,False
2014-01-25,60,False
2014-01-26,61,False
2014-01-27,72,False
2014-01-28,77,False
2014-01-29,73,False
2014-01-30,75,False
2014-01-31,69,False
2014-02-01,61,False
2014-02-02,62,False
2014-02-03,73,False
2014-02-04,81,False
2014-02-05,82,False
2014-02-06,74,False
2014-02-07,69,False
2014-02-08,59,False
2014-02-09,60,False
2014-02-10,72,False
2014-02-11,74,False
2014-02-12,74,False
2014-02-13,72,False
2014-02-14,64,False
2014-02-15,59,False
2014-02-16,58,False
2014-02-17,74,False
2014-02-18,74,False
2014-02-19,75,False
2014-02-20,73,False
2014-02-21,70,False
2014-02-22,58,False
2014-02-23,61,False
2014-02-24,73,False
2014-02-25,75,False
2014-02-26,74,False
2014-02-27,73,False
2014-02-28,67,False
2014-03-01,59,False
2014-03-02,59,False
2014-03-03,71,False
2014-03-04,73,False
2014-03-05,73,False
2014-03-06,74,False
2014-03-07,68,False
2014-03-08,56,False
2014-03-09,58,False
2014-03-10,73,False
2014-03-11,72,False
2014-03-12,75,False
2014-03-13,70,False
2014-03-14,69,False
2014-03-15,57,False
2014-03-16,60,False
