date,Microsoft,isPartial
2014-03-16,73,False
2014-03-17,86,False
2014-03-18,89,False
2014-03-19,92,False
2014-03-20,89,False
2014-03-21,82,False
2014-03-22,69,False
2014-03-23,71,False
2014-03-24,88,False
2014-03-25,90,False
2014-03-26,92,False
2014-03-27,91,False
2014-03-28,91,False
2014-03-29,76,False
2014-03-30,74,False
2014-03-31,87,False
2014-04-01,90,False
2014-04-02,93,False
2014-04-03,95,False
2014-04-04,88,False
2014-04-05,72,False
2014-04-06,73,False
2014-04-07,91,False
2014-04-08,100,False
2014-04-09,97,False
2014-04-10,93,False
2014-04-11,84,False
2014-04-12,71,False
2014-04-13,70,False
2014-04-14,84,False
2014-04-15,88,False
2014-04-16,85,False
2014-04-17,85,False
2014-04-18,76,False
2014-04-19,66,False
2014-04-20,65,False
2014-04-21,80,False
2014-04-22,87,False
2014-04-23,86,False
2014-04-24,86,False
2014-04-25,79,False
2014-04-26,66,False
2014-04-27,66,False
2014-04-28,89,False
2014-04-29,92,False
2014-04-30,88,False
2014-05-01,85,False
2014-05-02,84,False
2014-05-03,69,False
2014-05-04,67,False
2014-05-05,81,False
2014-05-06,86,False
2014-05-07,85,False
2014-05-08,80,False
2014-05-09,76,False
2014-05-10,66,False
2014-05-11,63,False
2014-05-12,81,False
2014-05-13,83,False
2014-05-14,84,False
2014-05-15,83,False
2014-05-16,76,False
2014-05-17,65,False
2014-05-18,64,False
2014-05-19,77,False
2014-05-20,93,False
2014-05-21,90,False
2014-05-22,87,False
2014-05-23,76,False
2014-05-24,61,False
2014-05-25,61,False
2014-05-26,72,False
2014-05-27,79,False
2014-05-28,82,False
2014-05-29,82,False
2014-05-30,76,False
2014-05-31,63,False
2014-06-01,65,False
2014-06-02,79,False
2014-06-03,82,False
2014-06-04,82,False
2014-06-05,82,False
2014-06-06,78,False
2014-06-07,63,False
2014-06-08,64,False
2014-06-09,87,False
2014-06-10,87,False
2014-06-11,83,False
2014-06-12,78,False
2014-06-13,72,False
2014-06-14,61,False
2014-06-15,62,False
2014-06-16,72,False
2014-06-17,78,False
2014-06-18,81,False
2014-06-19,76,False
2014-06-20,71,False
2014-06-21,59,False
2014-06-22,60,False
2014-06-23,78,False
2014-06-24,80,False
2014-06-25,76,False
2014-06-26,75,False
2014-06-27,72,False
2014-06-28,56,False
2014-06-29,61,False
2014-06-30,74,False
2014-07-01,74,False
2014-07-02,79,False
2014-07-03,75,False
2014-07-04,63,False
2014-07-05,53,False
2014-07-06,55,False
2014-07-07,73,False
2014-07-08,72,False
2014-07-09,76,False
2014-07-10,77,False
2014-07-11,70,False
2014-07-12,59,False
2014-07-13,57,False
2014-07-14,72,False
2014-07-15,79,False
2014-07-16,78,False
2014-07-17,84,False
