date,Microsoft,isPartial
2014-07-24,73,False
2014-07-25,68,False
2014-07-26,54,False
2014-07-27,55,False
2014-07-28,69,False
2014-07-29,71,False
2014-07-30,72,False
2014-07-31,72,False
2014-08-01,69,False
2014-08-02,58,False
2014-08-03,58,False
2014-08-04,71,False
2014-08-05,76,False
2014-08-06,74,False
2014-08-07,77,False
2014-08-08,70,False
2014-08-09,57,False
2014-08-10,56,False
2014-08-11,73,False
2014-08-12,76,False
2014-08-13,76,False
2014-08-14,77,False
2014-08-15,70,False
2014-08-16,59,False
2014-08-17,64,False
2014-08-18,79,False
2014-08-19,84,False
2014-08-20,83,False
2014-08-21,80,False
2014-08-22,75,False
2014-08-23,62,False
2014-08-24,65,False
2014-08-25,80,False
2014-08-26,85,False
2014-08-27,83,False
2014-08-28,83,False
2014-08-29,76,False
2014-08-30,62,False
2014-08-31,66,False
2014-09-01,75,False
2014-09-02,84,False
2014-09-03,84,False
2014-09-04,84,False
2014-09-05,79,False
2014-09-06,68,False
2014-09-07,69,False
2014-09-08,84,False
2014-09-09,89,False
2014-09-10,90,False
2014-09-11,87,False
2014-09-12,82,False
2014-09-13,69,False
2014-09-14,72,False
2014-09-15,90,False
2014-09-16,92,False
2014-09-17,94,False
2014-09-18,88,False
2014-09-19,80,False
2014-09-20,70,False
2014-09-21,69,False
2014-09-22,84,False
2014-09-23,86,False
2014-09-24,85,False
2014-09-25,85,False
2014-09-26,79,False
2014-09-27,68,False
2014-09-28,68,False
2014-09-29,86,False
2014-09-30,91,False
2014-10-01,93,False
2014-10-02,85,False
2014-10-03,77,False
2014-10-04,65,False
2014-10-05,64,False
2014-10-06,80,False
2014-10-07,84,False
2014-10-08,84,False
2014-10-09,80,False
2014-10-10,77,False
2014-10-11,66,False
2014-10-12,68,False
2014-10-13,80,False
2014-10-14,83,False
2014-10-15,84,False
2014-10-16,82,False
2014-10-17,77,False
2014-10-18,66,False
2014-10-19,66,False
2014-10-20,81,False
2014-10-21,84,False
2014-10-22,83,False
2014-10-23,79,False
2014-10-24,75,False
2014-10-25,62,False
2014-10-26,65,False
2014-10-27,82,False
2014-10-28,83,False
2014-10-29,84,False
2014-10-30,93,False
2014-10-31,80,False
2014-11-01,68,False
2014-11-02,71,False
2014-11-03,84,False
2014-11-04,85,False
2014-11-05,83,False
2014-11-06,86,False
2014-11-07,82,False
2014-11-08,69,False
2014-11-09,70,False
2014-11-10,87,False
2014-11-11,91,False
2014-11-12,94,False
2014-11-13,88,False
2014-11-14,80,False
2014-11-15,69,False
2014-11-16,72,False
2014-11-17,87,False
2014-11-18,88,False
2014-11-19,90,False
2014-11-20,85,False
2014-11-21,78,False
2014-11-22,67,False
2014-11-23,69,False
2014-11-24,81,False
2014-11-25,85,False
2014-11-26,83,False
2014-11-27,84,False
2014-11-28,83,False
2014-11-29,72,False
2014-11-30,72,False
2014-12-01,89,False
2014-12-02,89,False
2014-12-03,87,False
2014-12-04,84,False
2014-12-05,77,False
2014-12-06,67,False
2014-12-07,67,False
2014-12-08,82,False
2014-12-09,83,False
2014-12-10,85,False
2014-12-11,83,False
2014-12-12,79,False
2014-12-13,71,False
2014-12-14,72,False
2014-12-15,82,False
2014-12-16,81,False
2014-12-17,80,False
2014-12-18,80,False
2014-12-19,74,False
2014-12-20,62,False
2014-12-21,62,False
2014-12-22,71,False
2014-12-23,71,False
2014-12-24,66,False
2014-12-25,76,False
2014-12-26,77,False
2014-12-27,68,False
2014-12-28,64,False
2014-12-29,69,False
2014-12-30,72,False
2014-12-31,62,False
2015-01-01,57,False
2015-01-02,68,False
2015-01-03,64,False
2015-01-04,65,False
2015-01-05,78,False
2015-01-06,81,False
2015-01-07,80,False
2015-01-08,79,False
2015-01-09,76,False
2015-01-10,66,False
2015-01-11,65,False
2015-01-12,78,False
2015-01-13,83,False
2015-01-14,83,False
2015-01-15,81,False
2015-01-16,78,False
2015-01-17,64,False
2015-01-18,66,False
2015-01-19,79,False
2015-01-20,81,False
2015-01-21,91,False
2015-01-22,100,False
2015-01-23,88,False
2015-01-24,73,False
2015-01-25,71,False
2015-01-26,85,False
2015-01-27,91,False
2015-01-28,87,False
2015-01-29,86,False
2015-01-30,80,False
2015-01-31,69,False
2015-02-01,68,False
2015-02-02,85,False
2015-02-03,84,False
2015-02-04,82,False
2015-02-05,83,False
2015-02-06,79,False
2015-02-07,64,False
2015-02-08,68,False
2015-02-09,82,False
2015-02-10,81,False
2015-02-11,84,False
2015-02-12,84,False
2015-02-13,77,False
2015-02-14,63,False
2015-02-15,67,False
2015-02-16,77,False
2015-02-17,83,False
2015-02-18,81,False
2015-02-19,78,False
