date,Incyte,isPartial
2013-02-19,12,False
2013-02-20,8,False
2013-02-21,8,False
2013-02-22,9,False
2013-02-23,0,False
2013-02-24,5,False
2013-02-25,16,False
2013-02-26,4,False
2013-02-27,20,False
2013-02-28,12,False
2013-03-01,8,False
2013-03-02,0,False
2013-03-03,5,False
2013-03-04,4,False
2013-03-05,4,False
2013-03-06,16,False
2013-03-07,4,False
2013-03-08,4,False
2013-03-09,0,False
2013-03-10,0,False
2013-03-11,4,False
2013-03-12,12,False
2013-03-13,16,False
2013-03-14,16,False
2013-03-15,4,False
2013-03-16,0,False
2013-03-17,0,False
2013-03-18,12,False
2013-03-19,4,False
2013-03-20,12,False
2013-03-21,8,False
2013-03-22,4,False
2013-03-23,5,False
2013-03-24,0,False
2013-03-25,4,False
2013-03-26,12,False
2013-03-27,0,False
2013-03-28,4,False
2013-03-29,9,False
2013-03-30,5,False
2013-03-31,0,False
2013-04-01,8,False
2013-04-02,12,False
2013-04-03,20,False
2013-04-04,12,False
2013-04-05,8,False
2013-04-06,0,False
2013-04-07,0,False
2013-04-08,12,False
2013-04-09,0,False
2013-04-10,4,False
2013-04-11,8,False
2013-04-12,8,False
2013-04-13,0,False
2013-04-14,0,False
2013-04-15,12,False
2013-04-16,8,False
2013-04-17,4,False
2013-04-18,8,False
2013-04-19,4,False
2013-04-20,0,False
2013-04-21,5,False
2013-04-22,16,False
2013-04-23,8,False
2013-04-24,4,False
2013-04-25,4,False
2013-04-26,13,False
2013-04-27,0,False
2013-04-28,0,False
2013-04-29,12,False
2013-04-30,8,False
2013-05-01,17,False
2013-05-02,29,False
2013-05-03,4,False
2013-05-04,10,False
2013-05-05,0,False
2013-05-06,8,False
2013-05-07,8,False
2013-05-08,4,False
2013-05-09,4,False
2013-05-10,17,False
2013-05-11,10,False
2013-05-12,5,False
2013-05-13,4,False
2013-05-14,20,False
2013-05-15,4,False
2013-05-16,4,False
2013-05-17,8,False
2013-05-18,0,False
2013-05-19,5,False
2013-05-20,12,False
2013-05-21,16,False
2013-05-22,8,False
2013-05-23,4,False
2013-05-24,8,False
2013-05-25,15,False
2013-05-26,10,False
2013-05-27,0,False
2013-05-28,8,False
2013-05-29,16,False
2013-05-30,4,False
2013-05-31,13,False
2013-06-01,5,False
2013-06-02,5,False
2013-06-03,12,False
2013-06-04,8,False
2013-06-05,12,False
2013-06-06,12,False
2013-06-07,8,False
2013-06-08,0,False
2013-06-09,5,False
2013-06-10,16,False
2013-06-11,4,False
