date,Incyte,isPartial
2012-01-26,0,False
2012-01-27,13,False
2012-01-28,15,False
2012-01-29,0,False
2012-01-30,36,False
2012-01-31,12,False
2012-02-01,24,False
2012-02-02,36,False
2012-02-03,100,False
2012-02-04,29,False
2012-02-05,0,False
2012-02-06,48,False
2012-02-07,35,False
2012-02-08,47,False
2012-02-09,0,False
2012-02-10,12,False
2012-02-11,14,False
2012-02-12,0,False
2012-02-13,24,False
2012-02-14,12,False
2012-02-15,0,False
2012-02-16,24,False
2012-02-17,63,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,37,False
2012-02-21,12,False
2012-02-22,0,False
2012-02-23,0,False
2012-02-24,37,False
2012-02-25,28,False
2012-02-26,14,False
2012-02-27,12,False
2012-02-28,0,False
2012-02-29,12,False
2012-03-01,37,False
2012-03-02,13,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,0,False
2012-03-06,0,False
2012-03-07,35,False
2012-03-08,24,False
2012-03-09,37,False
2012-03-10,29,False
2012-03-11,0,False
2012-03-12,12,False
2012-03-13,35,False
2012-03-14,12,False
2012-03-15,36,False
2012-03-16,0,False
2012-03-17,0,False
2012-03-18,0,False
2012-03-19,0,False
2012-03-20,24,False
2012-03-21,24,False
2012-03-22,12,False
2012-03-23,25,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,24,False
2012-03-27,12,False
2012-03-28,0,False
2012-03-29,12,False
2012-03-30,26,False
2012-03-31,0,False
2012-04-01,0,False
2012-04-02,24,False
2012-04-03,24,False
2012-04-04,24,False
2012-04-05,0,False
2012-04-06,14,False
2012-04-07,0,False
2012-04-08,0,False
2012-04-09,14,False
2012-04-10,24,False
2012-04-11,12,False
2012-04-12,36,False
2012-04-13,37,False
2012-04-14,0,False
2012-04-15,14,False
2012-04-16,35,False
2012-04-17,47,False
2012-04-18,23,False
2012-04-19,36,False
2012-04-20,12,False
2012-04-21,14,False
2012-04-22,0,False
2012-04-23,0,False
2012-04-24,46,False
2012-04-25,47,False
2012-04-26,36,False
2012-04-27,0,False
2012-04-28,0,False
2012-04-29,15,False
2012-04-30,0,False
2012-05-01,13,False
2012-05-02,35,False
2012-05-03,24,False
2012-05-04,12,False
2012-05-05,14,False
2012-05-06,0,False
2012-05-07,23,False
2012-05-08,34,False
2012-05-09,23,False
2012-05-10,0,False
2012-05-11,37,False
2012-05-12,14,False
2012-05-13,0,False
2012-05-14,23,False
2012-05-15,0,False
2012-05-16,0,False
2012-05-17,24,False
2012-05-18,37,False
2012-05-19,0,False
2012-05-20,0,False
2012-05-21,0,False
2012-05-22,23,False
2012-05-23,35,False
2012-05-24,60,False
2012-05-25,0,False
2012-05-26,0,False
2012-05-27,0,False
2012-05-28,0,False
2012-05-29,23,False
2012-05-30,12,False
2012-05-31,12,False
2012-06-01,12,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,23,False
2012-06-05,11,False
2012-06-06,12,False
2012-06-07,24,False
2012-06-08,0,False
2012-06-09,0,False
2012-06-10,0,False
2012-06-11,34,False
2012-06-12,23,False
2012-06-13,12,False
2012-06-14,12,False
2012-06-15,12,False
2012-06-16,14,False
2012-06-17,0,False
2012-06-18,46,False
2012-06-19,11,False
2012-06-20,12,False
2012-06-21,12,False
2012-06-22,12,False
2012-06-23,15,False
2012-06-24,14,False
2012-06-25,23,False
2012-06-26,0,False
2012-06-27,0,False
2012-06-28,24,False
2012-06-29,12,False
2012-06-30,0,False
2012-07-01,0,False
2012-07-02,0,False
2012-07-03,24,False
2012-07-04,25,False
2012-07-05,12,False
2012-07-06,12,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,0,False
2012-07-10,57,False
2012-07-11,24,False
2012-07-12,12,False
2012-07-13,0,False
2012-07-14,15,False
2012-07-15,15,False
2012-07-16,12,False
2012-07-17,12,False
2012-07-18,12,False
2012-07-19,60,False
2012-07-20,12,False
2012-07-21,0,False
2012-07-22,0,False
2012-07-23,0,False
2012-07-24,24,False
2012-07-25,0,False
2012-07-26,12,False
2012-07-27,37,False
2012-07-28,0,False
2012-07-29,15,False
2012-07-30,23,False
2012-07-31,12,False
2012-08-01,24,False
2012-08-02,36,False
2012-08-03,50,False
2012-08-04,15,False
2012-08-05,0,False
2012-08-06,35,False
2012-08-07,0,False
2012-08-08,12,False
2012-08-09,24,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,15,False
2012-08-13,0,False
2012-08-14,12,False
2012-08-15,0,False
2012-08-16,12,False
2012-08-17,38,False
2012-08-18,15,False
2012-08-19,0,False
2012-08-20,36,False
2012-08-21,12,False
2012-08-22,12,False
2012-08-23,24,False
2012-08-24,25,False
2012-08-25,14,False
2012-08-26,0,False
2012-08-27,11,False
2012-08-28,11,False
2012-08-29,12,False
2012-08-30,12,False
2012-08-31,36,False
2012-09-01,0,False
2012-09-02,42,False
2012-09-03,12,False
2012-09-04,11,False
2012-09-05,0,False
2012-09-06,23,False
2012-09-07,12,False
2012-09-08,14,False
2012-09-09,0,False
2012-09-10,0,False
2012-09-11,11,False
2012-09-12,11,False
2012-09-13,34,False
2012-09-14,0,False
2012-09-15,28,False
2012-09-16,14,False
2012-09-17,0,False
2012-09-18,33,False
2012-09-19,23,False
2012-09-20,11,False
2012-09-21,24,False
2012-09-22,14,False
2012-09-23,13,False
2012-09-24,11,False
2012-09-25,44,False
2012-09-26,11,False
2012-09-27,34,False
2012-09-28,23,False
2012-09-29,0,False
2012-09-30,13,False
2012-10-01,11,False
2012-10-02,22,False
2012-10-03,33,False
2012-10-04,11,False
2012-10-05,23,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,11,False
2012-10-09,11,False
2012-10-10,11,False
2012-10-11,11,False
2012-10-12,0,False
