date,BIDU stock
2015-04-10,6
2015-04-11,15
2015-04-12,0
2015-04-13,18
2015-04-14,0
2015-04-15,12
2015-04-16,12
2015-04-17,19
2015-04-18,0
2015-04-19,0
2015-04-20,36
2015-04-21,18
2015-04-22,37
2015-04-23,31
2015-04-24,26
2015-04-25,7
2015-04-26,0
2015-04-27,54
2015-04-28,18
2015-04-29,55
2015-04-30,51
2015-05-01,62
2015-05-02,7
2015-05-03,22
2015-05-04,18
2015-05-05,49
2015-05-06,42
2015-05-07,12
2015-05-08,46
2015-05-09,0
2015-05-10,0
2015-05-11,18
2015-05-12,24
2015-05-13,18
2015-05-14,6
2015-05-15,13
2015-05-16,0
2015-05-17,0
2015-05-18,18
2015-05-19,24
2015-05-20,18
2015-05-21,19
2015-05-22,26
2015-05-23,7
2015-05-24,0
2015-05-25,13
2015-05-26,12
2015-05-27,18
2015-05-28,6
2015-05-29,19
2015-05-30,7
2015-05-31,0
2015-06-01,18
2015-06-02,18
2015-06-03,12
2015-06-04,26
2015-06-05,13
2015-06-06,7
2015-06-07,15
2015-06-08,12
2015-06-09,0
2015-06-10,18
2015-06-11,0
2015-06-12,6
2015-06-13,7
2015-06-14,0
2015-06-15,12
2015-06-16,30
2015-06-17,6
2015-06-18,25
2015-06-19,13
2015-06-20,0
2015-06-21,0
2015-06-22,6
2015-06-23,12
2015-06-24,12
2015-06-25,18
2015-06-26,25
2015-06-27,7
2015-06-28,0
2015-06-29,25
2015-06-30,18
2015-07-01,19
2015-07-02,19
2015-07-03,0
2015-07-04,8
2015-07-05,0
2015-07-06,36
2015-07-07,36
2015-07-08,49
2015-07-09,43
2015-07-10,19
2015-07-11,7
2015-07-12,0
2015-07-13,36
2015-07-14,37
2015-07-15,25
2015-07-16,32
2015-07-17,20
2015-07-18,0
2015-07-19,16
2015-07-20,6
2015-07-21,25
2015-07-22,49
2015-07-23,31
2015-07-24,26
2015-07-25,0
2015-07-26,15
2015-07-27,61
2015-07-28,79
2015-07-29,43
2015-07-30,62
2015-07-31,38
2015-08-01,7
2015-08-02,0
2015-08-03,18
2015-08-04,30
2015-08-05,6
2015-08-06,25
2015-08-07,26
2015-08-08,0
2015-08-09,0
2015-08-10,31
2015-08-11,67
2015-08-12,62
2015-08-13,31
2015-08-14,32
2015-08-15,15
2015-08-16,0
2015-08-17,12
2015-08-18,18
2015-08-19,25
2015-08-20,30
2015-08-21,13
2015-08-22,7
2015-08-23,7
2015-08-24,82
2015-08-25,100
2015-08-26,90
2015-08-27,42
2015-08-28,25
2015-08-29,14
2015-08-30,7
2015-08-31,18
2015-09-01,23
2015-09-02,6
2015-09-03,30
2015-09-04,31
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,6
2015-09-09,23
2015-09-10,18
2015-09-11,12
2015-09-12,0
2015-09-13,7
2015-09-14,17
2015-09-15,12
2015-09-16,29
2015-09-17,24
2015-09-18,18
2015-09-19,0
2015-09-20,7
2015-09-21,11
2015-09-22,11
2015-09-23,12
2015-09-24,36
2015-09-25,25
2015-09-26,0
2015-09-27,14
2015-09-28,23
2015-09-29,23
2015-09-30,29
2015-10-01,12
2015-10-02,30
2015-10-03,7
2015-10-04,0
2015-10-05,17
2015-10-06,17
2015-10-07,29
2015-10-08,23
2015-10-09,36
2015-10-10,7
2015-10-11,7
2015-10-12,18
2015-10-13,23
2015-10-14,23
2015-10-15,6
2015-10-16,18
2015-10-17,7
2015-10-18,0
2015-10-19,6
2015-10-20,28
2015-10-21,23
2015-10-22,23
2015-10-23,12
2015-10-24,7
2015-10-25,0
2015-10-26,45
2015-10-27,34
2015-10-28,34
2015-10-29,52
2015-10-30,84
2015-10-31,20
2015-11-01,0
2015-11-02,51
2015-11-03,62
2015-11-04,45
2015-11-05,62
2015-11-06,41
2015-11-07,13
2015-11-08,0
2015-11-09,17
2015-11-10,17
2015-11-11,29
2015-11-12,29
2015-11-13,36
2015-11-14,7
2015-11-15,0
2015-11-16,34
2015-11-17,28
2015-11-18,6
2015-11-19,12
2015-11-20,24
2015-11-21,7
2015-11-22,0
2015-11-23,45
2015-11-24,33
2015-11-25,23
2015-11-26,12
2015-11-27,24
2015-11-28,26
2015-11-29,0
2015-11-30,27
2015-12-01,22
2015-12-02,22
2015-12-03,17
2015-12-04,18
2015-12-05,0
2015-12-06,0
2015-12-07,11
2015-12-08,11
2015-12-09,45
2015-12-10,69
2015-12-11,12
2015-12-12,0
2015-12-13,0
2015-12-14,23
2015-12-15,29
2015-12-16,41
2015-12-17,42
2015-12-18,31
2015-12-19,14
2015-12-20,0
2015-12-21,18
2015-12-22,12
2015-12-23,19
2015-12-24,22
2015-12-25,8
2015-12-26,0
