date,BIDU stock
2010-08-24,15
2010-08-25,23
2010-08-26,31
2010-08-27,32
2010-08-28,60
2010-08-29,20
2010-08-30,45
2010-08-31,22
2010-09-01,38
2010-09-02,15
2010-09-03,16
2010-09-04,20
2010-09-05,0
2010-09-06,0
2010-09-07,30
2010-09-08,30
2010-09-09,31
2010-09-10,16
2010-09-11,0
2010-09-12,19
2010-09-13,29
2010-09-14,29
2010-09-15,30
2010-09-16,15
2010-09-17,16
2010-09-18,0
2010-09-19,0
2010-09-20,22
2010-09-21,15
2010-09-22,30
2010-09-23,44
2010-09-24,31
2010-09-25,56
2010-09-26,18
2010-09-27,71
2010-09-28,71
2010-09-29,64
2010-09-30,22
2010-10-01,23
2010-10-02,18
2010-10-03,18
2010-10-04,64
2010-10-05,29
2010-10-06,66
2010-10-07,30
2010-10-08,69
2010-10-09,19
2010-10-10,37
2010-10-11,22
2010-10-12,22
2010-10-13,43
2010-10-14,73
2010-10-15,45
2010-10-16,27
2010-10-17,0
2010-10-18,49
2010-10-19,84
2010-10-20,35
2010-10-21,100
2010-10-22,90
2010-10-23,27
2010-10-24,18
2010-10-25,62
2010-10-26,49
2010-10-27,42
2010-10-28,43
2010-10-29,68
2010-10-30,18
2010-10-31,0
2010-11-01,43
2010-11-02,14
2010-11-03,13
2010-11-04,28
2010-11-05,30
2010-11-06,0
2010-11-07,17
2010-11-08,41
2010-11-09,27
2010-11-10,28
2010-11-11,36
2010-11-12,44
2010-11-13,18
2010-11-14,0
2010-11-15,14
2010-11-16,55
2010-11-17,35
2010-11-18,35
2010-11-19,44
2010-11-20,35
2010-11-21,17
2010-11-22,13
2010-11-23,27
2010-11-24,35
2010-11-25,15
2010-11-26,15
2010-11-27,0
2010-11-28,34
2010-11-29,27
2010-11-30,20
2010-12-01,34
2010-12-02,61
2010-12-03,29
2010-12-04,0
2010-12-05,0
2010-12-06,41
2010-12-07,27
2010-12-08,42
2010-12-09,42
2010-12-10,51
2010-12-11,0
2010-12-12,0
2010-12-13,61
2010-12-14,27
2010-12-15,35
2010-12-16,71
2010-12-17,67
2010-12-18,36
2010-12-19,18
2010-12-20,21
2010-12-21,42
2010-12-22,22
2010-12-23,39
2010-12-24,37
2010-12-25,0
2010-12-26,0
2010-12-27,38
2010-12-28,30
2010-12-29,46
2010-12-30,39
2010-12-31,37
2011-01-01,0
2011-01-02,17
2011-01-03,42
2011-01-04,48
2011-01-05,20
2011-01-06,63
2011-01-07,14
2011-01-08,0
2011-01-09,16
2011-01-10,20
2011-01-11,32
2011-01-12,59
2011-01-13,33
2011-01-14,27
2011-01-15,32
2011-01-16,0
2011-01-17,19
2011-01-18,26
2011-01-19,45
2011-01-20,19
2011-01-21,20
2011-01-22,16
2011-01-23,31
2011-01-24,25
2011-01-25,38
2011-01-26,19
2011-01-27,26
2011-01-28,14
2011-01-29,15
2011-01-30,15
2011-01-31,37
2011-02-01,49
2011-02-02,37
2011-02-03,63
2011-02-04,40
2011-02-05,31
2011-02-06,15
2011-02-07,43
2011-02-08,44
2011-02-09,56
2011-02-10,38
2011-02-11,54
2011-02-12,32
2011-02-13,16
2011-02-14,25
2011-02-15,68
2011-02-16,50
2011-02-17,38
2011-02-18,13
2011-02-19,31
2011-02-20,15
2011-02-21,25
2011-02-22,18
2011-02-23,44
2011-02-24,69
2011-02-25,53
2011-02-26,15
2011-02-27,15
2011-02-28,43
2011-03-01,43
2011-03-02,31
2011-03-03,13
2011-03-04,0
2011-03-05,32
2011-03-06,0
2011-03-07,19
2011-03-08,51
2011-03-09,37
2011-03-10,63
2011-03-11,51
2011-03-12,16
2011-03-13,16
2011-03-14,26
2011-03-15,37
2011-03-16,19
2011-03-17,13
2011-03-18,26
2011-03-19,0
2011-03-20,0
2011-03-21,12
2011-03-22,31
2011-03-23,31
2011-03-24,19
2011-03-25,46
2011-03-26,15
2011-03-27,15
2011-03-28,49
2011-03-29,25
2011-03-30,13
2011-03-31,44
2011-04-01,26
2011-04-02,16
2011-04-03,31
2011-04-04,68
2011-04-05,37
2011-04-06,50
2011-04-07,25
2011-04-08,53
2011-04-09,16
2011-04-10,32
2011-04-11,73
2011-04-12,49
2011-04-13,69
2011-04-14,32
2011-04-15,60
2011-04-16,32
2011-04-17,16
2011-04-18,13
2011-04-19,25
2011-04-20,46
2011-04-21,27
2011-04-22,15
2011-04-23,17
2011-04-24,17
2011-04-25,34
2011-04-26,50
2011-04-27,74
2011-04-28,50
2011-04-29,46
2011-04-30,24
2011-05-01,24
2011-05-02,25
2011-05-03,55
2011-05-04,37
2011-05-05,19
2011-05-06,26
2011-05-07,48
2011-05-08,16
2011-05-09,43
2011-05-10,25
2011-05-11,49
