date,BIDU stock
2016-05-04,24
2016-05-05,81
2016-05-06,100
2016-05-07,19
2016-05-08,0
2016-05-09,63
2016-05-10,47
2016-05-11,31
2016-05-12,40
2016-05-13,33
2016-05-14,9
2016-05-15,0
2016-05-16,31
2016-05-17,54
2016-05-18,61
2016-05-19,55
2016-05-20,41
2016-05-21,0
2016-05-22,0
2016-05-23,39
2016-05-24,31
2016-05-25,31
2016-05-26,49
2016-05-27,34
2016-05-28,9
2016-05-29,9
2016-05-30,0
2016-05-31,16
2016-06-01,55
2016-06-02,8
2016-06-03,25
2016-06-04,9
2016-06-05,9
2016-06-06,32
2016-06-07,40
2016-06-08,32
2016-06-09,40
2016-06-10,8
2016-06-11,0
2016-06-12,9
2016-06-13,39
2016-06-14,39
2016-06-15,78
2016-06-16,31
2016-06-17,41
2016-06-18,9
2016-06-19,9
2016-06-20,47
2016-06-21,63
2016-06-22,24
2016-06-23,41
2016-06-24,67
2016-06-25,0
2016-06-26,19
2016-06-27,8
2016-06-28,16
2016-06-29,40
2016-06-30,8
2016-07-01,68
2016-07-02,0
2016-07-03,10
2016-07-04,8
2016-07-05,25
2016-07-06,34
2016-07-07,52
2016-07-08,18
2016-07-09,0
2016-07-10,0
2016-07-11,58
2016-07-12,25
2016-07-13,67
2016-07-14,48
2016-07-15,60
2016-07-16,10
2016-07-17,0
2016-07-18,25
2016-07-19,50
2016-07-20,26
2016-07-21,26
2016-07-22,26
2016-07-23,20
2016-07-24,0
2016-07-25,41
2016-07-26,33
2016-07-27,25
2016-07-28,76
2016-07-29,87
2016-07-30,10
2016-07-31,10
2016-08-01,33
2016-08-02,16
2016-08-03,34
2016-08-04,51
2016-08-05,63
2016-08-06,10
2016-08-07,0
2016-08-08,26
2016-08-09,17
2016-08-10,17
2016-08-11,62
2016-08-12,27
2016-08-13,0
2016-08-14,10
2016-08-15,37
2016-08-16,53
2016-08-17,9
2016-08-18,18
2016-08-19,27
2016-08-20,0
2016-08-21,10
2016-08-22,26
2016-08-23,26
2016-08-24,51
2016-08-25,8
2016-08-26,26
2016-08-27,10
2016-08-28,0
2016-08-29,41
2016-08-30,33
2016-08-31,8
2016-09-01,25
2016-09-02,26
2016-09-03,0
2016-09-04,0
2016-09-05,17
2016-09-06,64
2016-09-07,74
2016-09-08,16
2016-09-09,26
2016-09-10,0
2016-09-11,0
2016-09-12,8
2016-09-13,41
2016-09-14,8
2016-09-15,0
2016-09-16,34
2016-09-17,0
2016-09-18,9
2016-09-19,32
2016-09-20,16
2016-09-21,40
2016-09-22,16
2016-09-23,51
2016-09-24,0
2016-09-25,0
2016-09-26,8
2016-09-27,24
2016-09-28,8
2016-09-29,40
2016-09-30,17
2016-10-01,9
2016-10-02,0
2016-10-03,40
2016-10-04,16
2016-10-05,24
2016-10-06,8
2016-10-07,16
2016-10-08,18
2016-10-09,0
2016-10-10,24
2016-10-11,24
2016-10-12,8
2016-10-13,32
2016-10-14,25
2016-10-15,0
2016-10-16,9
2016-10-17,24
2016-10-18,16
2016-10-19,16
2016-10-20,39
2016-10-21,17
2016-10-22,0
2016-10-23,0
2016-10-24,16
2016-10-25,39
2016-10-26,8
2016-10-27,24
2016-10-28,75
2016-10-29,19
2016-10-30,0
2016-10-31,16
2016-11-01,8
2016-11-02,24
2016-11-03,40
2016-11-04,8
2016-11-05,18
2016-11-06,0
2016-11-07,31
2016-11-08,8
2016-11-09,36
2016-11-10,24
2016-11-11,25
2016-11-12,9
2016-11-13,9
2016-11-14,16
2016-11-15,47
2016-11-16,8
2016-11-17,24
2016-11-18,24
2016-11-19,0
2016-11-20,0
2016-11-21,31
2016-11-22,15
2016-11-23,31
2016-11-24,8
2016-11-25,8
2016-11-26,0
2016-11-27,0
2016-11-28,22
2016-11-29,22
2016-11-30,15
2016-12-01,15
2016-12-02,32
2016-12-03,17
2016-12-04,0
2016-12-05,42
2016-12-06,7
2016-12-07,23
2016-12-08,70
2016-12-09,32
2016-12-10,9
2016-12-11,0
2016-12-12,37
2016-12-13,51
2016-12-14,30
2016-12-15,16
2016-12-16,16
2016-12-17,18
2016-12-18,9
2016-12-19,8
2016-12-20,32
2016-12-21,32
2016-12-22,33
2016-12-23,26
2016-12-24,10
2016-12-25,0
2016-12-26,0
2016-12-27,24
2016-12-28,32
2016-12-29,41
2016-12-30,9
2016-12-31,9
2017-01-01,0
2017-01-02,8
2017-01-03,8
2017-01-04,54
2017-01-05,39
2017-01-06,24
2017-01-07,17
2017-01-08,0
2017-01-09,15
2017-01-10,37
2017-01-11,22
2017-01-12,22
2017-01-13,62
2017-01-14,0
2017-01-15,25
2017-01-16,7
2017-01-17,29
2017-01-18,7
2017-01-19,30
