date,BIDU stock
2014-03-16,0
2014-03-17,23
2014-03-18,30
2014-03-19,38
2014-03-20,23
2014-03-21,40
2014-03-22,0
2014-03-23,0
2014-03-24,15
2014-03-25,30
2014-03-26,15
2014-03-27,8
2014-03-28,71
2014-03-29,9
2014-03-30,18
2014-03-31,23
2014-04-01,38
2014-04-02,15
2014-04-03,38
2014-04-04,71
2014-04-05,9
2014-04-06,9
2014-04-07,37
2014-04-08,22
2014-04-09,38
2014-04-10,38
2014-04-11,40
2014-04-12,0
2014-04-13,9
2014-04-14,38
2014-04-15,23
2014-04-16,54
2014-04-17,32
2014-04-18,9
2014-04-19,9
2014-04-20,0
2014-04-21,66
2014-04-22,45
2014-04-23,46
2014-04-24,31
2014-04-25,56
2014-04-26,9
2014-04-27,0
2014-04-28,45
2014-04-29,30
2014-04-30,23
2014-05-01,42
2014-05-02,49
2014-05-03,0
2014-05-04,0
2014-05-05,23
2014-05-06,15
2014-05-07,38
2014-05-08,23
2014-05-09,24
2014-05-10,9
2014-05-11,9
2014-05-12,37
2014-05-13,30
2014-05-14,52
2014-05-15,30
2014-05-16,31
2014-05-17,18
2014-05-18,0
2014-05-19,30
2014-05-20,45
2014-05-21,25
2014-05-22,8
2014-05-23,35
2014-05-24,0
2014-05-25,0
2014-05-26,17
2014-05-27,16
2014-05-28,16
2014-05-29,25
2014-05-30,26
2014-05-31,10
2014-06-01,10
2014-06-02,8
2014-06-03,16
2014-06-04,25
2014-06-05,17
2014-06-06,36
2014-06-07,10
2014-06-08,11
2014-06-09,25
2014-06-10,8
2014-06-11,17
2014-06-12,42
2014-06-13,35
2014-06-14,10
2014-06-15,10
2014-06-16,25
2014-06-17,50
2014-06-18,50
2014-06-19,17
2014-06-20,45
2014-06-21,21
2014-06-22,10
2014-06-23,17
2014-06-24,25
2014-06-25,8
2014-06-26,26
2014-06-27,36
2014-06-28,0
2014-06-29,0
2014-06-30,25
2014-07-01,68
2014-07-02,26
2014-07-03,53
2014-07-04,9
2014-07-05,11
2014-07-06,10
2014-07-07,26
2014-07-08,25
2014-07-09,43
2014-07-10,26
2014-07-11,27
2014-07-12,0
2014-07-13,10
2014-07-14,34
2014-07-15,17
2014-07-16,44
2014-07-17,43
2014-07-18,18
2014-07-19,0
2014-07-20,10
2014-07-21,51
2014-07-22,17
2014-07-23,0
2014-07-24,35
2014-07-25,100
2014-07-26,42
2014-07-27,0
2014-07-28,35
2014-07-29,68
2014-07-30,34
2014-07-31,17
2014-08-01,45
2014-08-02,0
2014-08-03,21
2014-08-04,59
2014-08-05,34
2014-08-06,51
2014-08-07,62
2014-08-08,36
2014-08-09,21
2014-08-10,10
2014-08-11,25
2014-08-12,25
2014-08-13,42
2014-08-14,34
2014-08-15,46
2014-08-16,0
2014-08-17,20
2014-08-18,51
2014-08-19,25
2014-08-20,17
2014-08-21,34
2014-08-22,17
2014-08-23,10
2014-08-24,0
2014-08-25,25
2014-08-26,24
2014-08-27,16
2014-08-28,25
2014-08-29,0
2014-08-30,10
2014-08-31,10
2014-09-01,0
2014-09-02,24
2014-09-03,32
2014-09-04,32
2014-09-05,42
2014-09-06,19
2014-09-07,0
2014-09-08,40
2014-09-09,16
2014-09-10,16
2014-09-11,16
2014-09-12,17
2014-09-13,0
2014-09-14,0
2014-09-15,40
2014-09-16,32
2014-09-17,40
2014-09-18,48
2014-09-19,58
2014-09-20,10
2014-09-21,0
2014-09-22,39
2014-09-23,40
2014-09-24,40
2014-09-25,16
2014-09-26,17
2014-09-27,10
2014-09-28,10
2014-09-29,16
2014-09-30,40
2014-10-01,32
2014-10-02,32
2014-10-03,9
2014-10-04,10
2014-10-05,0
2014-10-06,24
2014-10-07,16
2014-10-08,63
2014-10-09,16
2014-10-10,42
2014-10-11,10
2014-10-12,19
2014-10-13,16
2014-10-14,31
2014-10-15,31
2014-10-16,71
2014-10-17,33
2014-10-18,0
2014-10-19,9
2014-10-20,16
2014-10-21,31
2014-10-22,0
2014-10-23,16
2014-10-24,49
2014-10-25,0
2014-10-26,9
2014-10-27,23
2014-10-28,39
2014-10-29,63
2014-10-30,79
2014-10-31,25
2014-11-01,0
2014-11-02,9
2014-11-03,31
2014-11-04,23
2014-11-05,23
2014-11-06,55
2014-11-07,40
2014-11-08,0
2014-11-09,0
2014-11-10,31
2014-11-11,85
2014-11-12,15
2014-11-13,46
2014-11-14,64
2014-11-15,0
2014-11-16,0
2014-11-17,30
2014-11-18,33
2014-11-19,24
2014-11-20,16
2014-11-21,32
2014-11-22,9
2014-11-23,0
2014-11-24,23
2014-11-25,38
2014-11-26,8
2014-11-27,8
2014-11-28,41
2014-11-29,18
2014-11-30,0
2014-12-01,22
