date,BIDU stock
2017-05-29,0
2017-05-30,0
2017-05-31,16
2017-06-01,13
2017-06-02,3
2017-06-03,8
2017-06-04,4
2017-06-05,6
2017-06-06,0
2017-06-07,19
2017-06-08,22
2017-06-09,7
2017-06-10,4
2017-06-11,0
2017-06-12,6
2017-06-13,16
2017-06-14,19
2017-06-15,7
2017-06-16,7
2017-06-17,8
2017-06-18,4
2017-06-19,6
2017-06-20,28
2017-06-21,16
2017-06-22,19
2017-06-23,10
2017-06-24,0
2017-06-25,8
2017-06-26,17
2017-06-27,13
2017-06-28,13
2017-06-29,13
2017-06-30,10
2017-07-01,4
2017-07-02,4
2017-07-03,7
2017-07-04,3
2017-07-05,17
2017-07-06,7
2017-07-07,14
2017-07-08,12
2017-07-09,4
2017-07-10,7
2017-07-11,3
2017-07-12,7
2017-07-13,13
2017-07-14,28
2017-07-15,8
2017-07-16,12
2017-07-17,0
2017-07-18,20
2017-07-19,29
2017-07-20,7
2017-07-21,14
2017-07-22,4
2017-07-23,8
2017-07-24,30
2017-07-25,26
2017-07-26,16
2017-07-27,49
2017-07-28,61
2017-07-29,0
2017-07-30,23
2017-07-31,46
2017-08-01,41
2017-08-02,18
2017-08-03,32
2017-08-04,13
2017-08-05,4
2017-08-06,11
2017-08-07,13
2017-08-08,33
2017-08-09,16
2017-08-10,19
2017-08-11,23
2017-08-12,0
2017-08-13,0
2017-08-14,10
2017-08-15,20
2017-08-16,26
2017-08-17,6
2017-08-18,20
2017-08-19,4
2017-08-20,0
2017-08-21,25
2017-08-22,13
2017-08-23,16
2017-08-24,7
2017-08-25,10
2017-08-26,11
2017-08-27,0
2017-08-28,16
2017-08-29,3
2017-08-30,16
2017-08-31,13
2017-09-01,10
2017-09-02,8
2017-09-03,4
2017-09-04,3
2017-09-05,16
2017-09-06,15
2017-09-07,22
2017-09-08,23
2017-09-09,0
2017-09-10,11
2017-09-11,12
2017-09-12,22
2017-09-13,15
2017-09-14,13
2017-09-15,32
2017-09-16,7
2017-09-17,4
2017-09-18,19
2017-09-19,25
2017-09-20,13
2017-09-21,19
2017-09-22,17
2017-09-23,4
2017-09-24,0
2017-09-25,9
2017-09-26,15
2017-09-27,12
2017-09-28,13
2017-09-29,20
2017-09-30,7
2017-10-01,4
2017-10-02,18
2017-10-03,9
2017-10-04,12
2017-10-05,13
2017-10-06,20
2017-10-07,4
2017-10-08,7
2017-10-09,19
2017-10-10,27
2017-10-11,40
2017-10-12,22
2017-10-13,19
2017-10-14,4
2017-10-15,0
2017-10-16,34
2017-10-17,28
2017-10-18,31
2017-10-19,31
2017-10-20,23
2017-10-21,7
2017-10-22,3
2017-10-23,34
2017-10-24,21
2017-10-25,18
2017-10-26,72
2017-10-27,100
2017-10-28,14
2017-10-29,3
2017-10-30,31
2017-10-31,43
2017-11-01,38
2017-11-02,40
2017-11-03,41
2017-11-04,7
2017-11-05,7
2017-11-06,24
2017-11-07,33
2017-11-08,27
2017-11-09,18
2017-11-10,13
2017-11-11,7
2017-11-12,0
2017-11-13,36
2017-11-14,30
2017-11-15,24
2017-11-16,33
2017-11-17,25
2017-11-18,3
2017-11-19,3
2017-11-20,30
2017-11-21,27
2017-11-22,27
2017-11-23,16
2017-11-24,12
2017-11-25,7
2017-11-26,3
2017-11-27,20
2017-11-28,18
2017-11-29,18
2017-11-30,21
2017-12-01,13
2017-12-02,10
2017-12-03,3
2017-12-04,15
2017-12-05,27
2017-12-06,9
2017-12-07,12
2017-12-08,35
2017-12-09,7
2017-12-10,7
2017-12-11,9
2017-12-12,21
2017-12-13,9
2017-12-14,15
2017-12-15,22
2017-12-16,4
2017-12-17,4
2017-12-18,12
2017-12-19,25
2017-12-20,12
2017-12-21,16
2017-12-22,3
2017-12-23,0
2017-12-24,12
2017-12-25,4
2017-12-26,24
2017-12-27,13
2017-12-28,26
2017-12-29,24
2017-12-30,7
2017-12-31,0
2018-01-01,0
2018-01-02,9
2018-01-03,21
2018-01-04,24
2018-01-05,15
2018-01-06,10
2018-01-07,0
2018-01-08,21
2018-01-09,15
2018-01-10,27
2018-01-11,27
2018-01-12,25
2018-01-13,7
2018-01-14,3
2018-01-15,15
2018-01-16,32
2018-01-17,26
2018-01-18,21
2018-01-19,24
2018-01-20,13
2018-01-21,10
2018-01-22,17
2018-01-23,17
2018-01-24,35
2018-01-25,15
2018-01-26,28
2018-01-27,10
2018-01-28,10
2018-01-29,40
2018-01-30,29
2018-01-31,41
2018-02-01,53
2018-02-02,21
2018-02-03,3
2018-02-04,10
2018-02-05,23
2018-02-06,35
2018-02-07,26
2018-02-08,21
2018-02-09,21
2018-02-10,10
2018-02-11,0
2018-02-12,56
2018-02-13,92
