date,BIDU stock
2018-02-13,100
2018-02-14,81
2018-02-15,55
2018-02-16,31
2018-02-17,7
2018-02-18,7
2018-02-19,12
2018-02-20,18
2018-02-21,45
2018-02-22,24
2018-02-23,31
2018-02-24,10
2018-02-25,7
2018-02-26,41
2018-02-27,23
2018-02-28,15
2018-03-01,17
2018-03-02,34
2018-03-03,10
2018-03-04,10
2018-03-05,14
2018-03-06,20
2018-03-07,24
2018-03-08,21
2018-03-09,19
2018-03-10,10
2018-03-11,0
2018-03-12,35
2018-03-13,47
2018-03-14,18
2018-03-15,18
2018-03-16,18
2018-03-17,3
2018-03-18,3
2018-03-19,6
2018-03-20,24
2018-03-21,18
2018-03-22,39
2018-03-23,37
2018-03-24,3
2018-03-25,3
2018-03-26,24
2018-03-27,18
2018-03-28,43
2018-03-29,48
2018-03-30,0
2018-03-31,4
2018-04-01,7
2018-04-02,29
2018-04-03,24
2018-04-04,30
2018-04-05,33
2018-04-06,19
2018-04-07,10
2018-04-08,3
