date,Ulta,isPartial
2011-01-01,79,False
2011-01-02,96,False
2011-01-03,64,False
2011-01-04,71,False
2011-01-05,66,False
2011-01-06,64,False
2011-01-07,54,False
2011-01-08,78,False
2011-01-09,73,False
2011-01-10,54,False
2011-01-11,47,False
2011-01-12,48,False
2011-01-13,56,False
2011-01-14,70,False
2011-01-15,67,False
2011-01-16,70,False
2011-01-17,56,False
2011-01-18,49,False
2011-01-19,54,False
2011-01-20,49,False
2011-01-21,60,False
2011-01-22,71,False
2011-01-23,85,False
2011-01-24,51,False
2011-01-25,60,False
2011-01-26,61,False
2011-01-27,66,False
2011-01-28,76,False
2011-01-29,89,False
2011-01-30,82,False
2011-01-31,61,False
2011-02-01,48,False
2011-02-02,62,False
2011-02-03,48,False
2011-02-04,60,False
2011-02-05,79,False
2011-02-06,72,False
2011-02-07,49,False
2011-02-08,51,False
2011-02-09,52,False
2011-02-10,59,False
2011-02-11,68,False
2011-02-12,76,False
2011-02-13,88,False
2011-02-14,51,False
2011-02-15,66,False
2011-02-16,66,False
2011-02-17,72,False
2011-02-18,73,False
2011-02-19,89,False
2011-02-20,91,False
2011-02-21,71,False
2011-02-22,50,False
2011-02-23,60,False
2011-02-24,65,False
2011-02-25,61,False
2011-02-26,93,False
2011-02-27,75,False
2011-02-28,57,False
2011-03-01,55,False
2011-03-02,62,False
2011-03-03,54,False
2011-03-04,67,False
2011-03-05,70,False
2011-03-06,71,False
2011-03-07,56,False
2011-03-08,75,False
2011-03-09,73,False
2011-03-10,57,False
2011-03-11,65,False
2011-03-12,70,False
2011-03-13,62,False
2011-03-14,56,False
2011-03-15,55,False
2011-03-16,55,False
2011-03-17,62,False
2011-03-18,54,False
2011-03-19,74,False
2011-03-20,69,False
2011-03-21,68,False
2011-03-22,57,False
2011-03-23,59,False
2011-03-24,64,False
2011-03-25,67,False
2011-03-26,69,False
2011-03-27,73,False
2011-03-28,60,False
2011-03-29,51,False
2011-03-30,69,False
2011-03-31,58,False
2011-04-01,62,False
2011-04-02,88,False
2011-04-03,84,False
2011-04-04,65,False
2011-04-05,63,False
2011-04-06,63,False
2011-04-07,63,False
2011-04-08,62,False
2011-04-09,82,False
2011-04-10,75,False
2011-04-11,56,False
2011-04-12,64,False
2011-04-13,72,False
2011-04-14,61,False
2011-04-15,74,False
2011-04-16,91,False
2011-04-17,85,False
2011-04-18,59,False
2011-04-19,63,False
2011-04-20,70,False
2011-04-21,72,False
2011-04-22,82,False
2011-04-23,82,False
2011-04-24,67,False
2011-04-25,73,False
2011-04-26,70,False
2011-04-27,55,False
2011-04-28,59,False
2011-04-29,63,False
2011-04-30,82,False
2011-05-01,81,False
2011-05-02,66,False
2011-05-03,68,False
2011-05-04,65,False
2011-05-05,81,False
2011-05-06,75,False
2011-05-07,99,False
2011-05-08,95,False
2011-05-09,72,False
2011-05-10,68,False
2011-05-11,70,False
2011-05-12,69,False
2011-05-13,76,False
2011-05-14,82,False
2011-05-15,86,False
2011-05-16,66,False
2011-05-17,60,False
2011-05-18,62,False
2011-05-19,78,False
2011-05-20,60,False
2011-05-21,88,False
2011-05-22,68,False
2011-05-23,69,False
2011-05-24,63,False
2011-05-25,66,False
2011-05-26,62,False
2011-05-27,72,False
2011-05-28,82,False
2011-05-29,75,False
2011-05-30,66,False
2011-05-31,66,False
2011-06-01,74,False
2011-06-02,77,False
2011-06-03,83,False
2011-06-04,78,False
2011-06-05,74,False
2011-06-06,63,False
2011-06-07,68,False
2011-06-08,70,False
2011-06-09,72,False
2011-06-10,76,False
2011-06-11,82,False
2011-06-12,82,False
2011-06-13,72,False
2011-06-14,62,False
2011-06-15,65,False
2011-06-16,61,False
2011-06-17,72,False
2011-06-18,81,False
2011-06-19,63,False
2011-06-20,58,False
2011-06-21,65,False
2011-06-22,74,False
2011-06-23,76,False
2011-06-24,66,False
2011-06-25,82,False
2011-06-26,86,False
2011-06-27,74,False
2011-06-28,71,False
2011-06-29,73,False
2011-06-30,84,False
2011-07-01,87,False
2011-07-02,86,False
2011-07-03,94,False
2011-07-04,67,False
2011-07-05,67,False
2011-07-06,74,False
2011-07-07,73,False
2011-07-08,86,False
2011-07-09,93,False
2011-07-10,94,False
2011-07-11,72,False
2011-07-12,70,False
2011-07-13,84,False
2011-07-14,70,False
2011-07-15,66,False
2011-07-16,92,False
2011-07-17,75,False
2011-07-18,67,False
2011-07-19,75,False
2011-07-20,76,False
2011-07-21,75,False
2011-07-22,78,False
2011-07-23,81,False
2011-07-24,81,False
2011-07-25,79,False
2011-07-26,77,False
2011-07-27,77,False
2011-07-28,79,False
2011-07-29,88,False
2011-07-30,100,False
2011-07-31,94,False
2011-08-01,79,False
2011-08-02,85,False
2011-08-03,83,False
2011-08-04,86,False
2011-08-05,87,False
2011-08-06,96,False
2011-08-07,88,False
2011-08-08,78,False
2011-08-09,75,False
2011-08-10,63,False
2011-08-11,84,False
2011-08-12,77,False
2011-08-13,85,False
2011-08-14,84,False
2011-08-15,68,False
2011-08-16,78,False
2011-08-17,77,False
2011-08-18,64,False
2011-08-19,77,False
2011-08-20,75,False
2011-08-21,83,False
2011-08-22,76,False
2011-08-23,59,False
2011-08-24,55,False
2011-08-25,60,False
2011-08-26,55,False
2011-08-27,78,False
2011-08-28,86,False
2011-08-29,51,False
2011-08-30,62,False
2011-08-31,69,False
2011-09-01,74,False
2011-09-02,88,False
2011-09-03,85,False
2011-09-04,95,False
2011-09-05,77,False
2011-09-06,73,False
2011-09-07,58,False
2011-09-08,70,False
2011-09-09,74,False
2011-09-10,85,False
2011-09-11,85,False
2011-09-12,65,False
2011-09-13,73,False
2011-09-14,65,False
2011-09-15,63,False
2011-09-16,62,False
2011-09-17,87,False
2011-09-18,75,False
