date,Ulta,isPartial
2015-12-26,97,False
2015-12-27,88,False
2015-12-28,74,False
2015-12-29,75,False
2015-12-30,73,False
2015-12-31,83,False
2016-01-01,72,False
2016-01-02,66,False
2016-01-03,70,False
2016-01-04,50,False
2016-01-05,51,False
2016-01-06,47,False
2016-01-07,48,False
2016-01-08,51,False
2016-01-09,58,False
2016-01-10,58,False
2016-01-11,41,False
2016-01-12,41,False
2016-01-13,37,False
2016-01-14,45,False
2016-01-15,48,False
2016-01-16,61,False
2016-01-17,58,False
2016-01-18,46,False
2016-01-19,39,False
2016-01-20,40,False
2016-01-21,42,False
2016-01-22,41,False
2016-01-23,56,False
2016-01-24,58,False
2016-01-25,42,False
2016-01-26,41,False
2016-01-27,41,False
2016-01-28,44,False
2016-01-29,46,False
2016-01-30,62,False
2016-01-31,59,False
2016-02-01,39,False
2016-02-02,39,False
2016-02-03,37,False
2016-02-04,42,False
2016-02-05,46,False
2016-02-06,59,False
2016-02-07,50,False
2016-02-08,40,False
2016-02-09,43,False
2016-02-10,41,False
2016-02-11,40,False
2016-02-12,50,False
2016-02-13,62,False
2016-02-14,58,False
2016-02-15,50,False
2016-02-16,47,False
2016-02-17,44,False
2016-02-18,50,False
2016-02-19,56,False
2016-02-20,65,False
2016-02-21,68,False
2016-02-22,44,False
2016-02-23,39,False
2016-02-24,41,False
2016-02-25,43,False
2016-02-26,50,False
2016-02-27,57,False
2016-02-28,61,False
2016-02-29,44,False
2016-03-01,39,False
2016-03-02,41,False
2016-03-03,45,False
2016-03-04,47,False
2016-03-05,61,False
2016-03-06,57,False
2016-03-07,43,False
2016-03-08,43,False
2016-03-09,42,False
2016-03-10,51,False
2016-03-11,54,False
2016-03-12,65,False
2016-03-13,72,False
2016-03-14,54,False
2016-03-15,49,False
2016-03-16,48,False
2016-03-17,52,False
2016-03-18,62,False
2016-03-19,71,False
2016-03-20,68,False
2016-03-21,51,False
2016-03-22,47,False
2016-03-23,52,False
2016-03-24,57,False
2016-03-25,72,False
