date,Ulta,isPartial
2014-07-24,29,False
2014-07-25,32,False
2014-07-26,34,False
2014-07-27,36,False
2014-07-28,24,False
2014-07-29,26,False
2014-07-30,26,False
2014-07-31,27,False
2014-08-01,28,False
2014-08-02,33,False
2014-08-03,32,False
2014-08-04,25,False
2014-08-05,25,False
2014-08-06,28,False
2014-08-07,27,False
2014-08-08,32,False
2014-08-09,32,False
2014-08-10,34,False
2014-08-11,26,False
2014-08-12,25,False
2014-08-13,25,False
2014-08-14,29,False
2014-08-15,27,False
2014-08-16,33,False
2014-08-17,29,False
2014-08-18,25,False
2014-08-19,22,False
2014-08-20,24,False
2014-08-21,24,False
2014-08-22,26,False
2014-08-23,30,False
2014-08-24,31,False
2014-08-25,23,False
2014-08-26,22,False
2014-08-27,21,False
2014-08-28,23,False
2014-08-29,25,False
2014-08-30,33,False
2014-08-31,32,False
2014-09-01,29,False
2014-09-02,23,False
2014-09-03,22,False
2014-09-04,23,False
2014-09-05,29,False
2014-09-06,39,False
2014-09-07,35,False
2014-09-08,22,False
2014-09-09,25,False
2014-09-10,23,False
2014-09-11,28,False
2014-09-12,29,False
2014-09-13,33,False
2014-09-14,34,False
2014-09-15,24,False
2014-09-16,24,False
2014-09-17,27,False
2014-09-18,23,False
2014-09-19,28,False
2014-09-20,33,False
2014-09-21,30,False
2014-09-22,22,False
2014-09-23,22,False
2014-09-24,22,False
2014-09-25,25,False
2014-09-26,29,False
2014-09-27,30,False
2014-09-28,32,False
2014-09-29,24,False
2014-09-30,24,False
2014-10-01,25,False
2014-10-02,25,False
2014-10-03,27,False
2014-10-04,36,False
2014-10-05,34,False
2014-10-06,22,False
2014-10-07,25,False
2014-10-08,24,False
2014-10-09,23,False
2014-10-10,27,False
2014-10-11,27,False
2014-10-12,32,False
2014-10-13,25,False
2014-10-14,23,False
2014-10-15,23,False
2014-10-16,25,False
2014-10-17,28,False
2014-10-18,32,False
2014-10-19,28,False
2014-10-20,22,False
2014-10-21,22,False
2014-10-22,24,False
2014-10-23,24,False
2014-10-24,27,False
2014-10-25,33,False
2014-10-26,33,False
2014-10-27,24,False
2014-10-28,26,False
2014-10-29,26,False
2014-10-30,25,False
2014-10-31,28,False
2014-11-01,30,False
2014-11-02,33,False
2014-11-03,25,False
2014-11-04,25,False
2014-11-05,24,False
2014-11-06,29,False
2014-11-07,29,False
